都道府県,種類,1_観光,2_観光,3_観光,4_観光,1_ビジネス,2_ビジネス,3_ビジネス,4_ビジネス
33 岡山県,②,45529,56930,58770,66722,46568,42472,41773,43388
34 広島県,①,4248,4678,4744,4630,1250,1422,1510,1268
34 広島県,②,40013,37067,51631,41597,46568,42472,48210,27215
35 山口県,①,3586,4021,4180,3490,411,534,689,589
35 山口県,②,44769,54536,58780,84894,46568,42472,41773,43388
36 徳島県,①,1555,1786,1971,1680,308,387,442,328
36 徳島県,②,48076,48705,37112,36068,38587,37409,33392,34921
37 香川県,①,4026,3535,4136,3557,355,432,543,426
37 香川県,②,50563,49782,50774,63389,58497,52017,48400,50131
38 愛媛県,①,2634,3501,3792,3061,415,392,446,369
38 愛媛県,②,47980,47236,47385,47753,58497,52017,48400,50131
39 高知県,①,956,1209,1247,1025,197,366,372,354
39 高知県,②,60071,60259,63509,59352,58497,52017,48400,50131
40 福岡県,①,22261,26243,23507,19642,2179,1661,1989,2493
40 福岡県,②,77564,74060,70632,68301,99090,73999,69452,64553
41 佐賀県,①,4324,3846,4225,3980,406,577,533,582
41 佐賀県,②,46329,91102,95979,77033,99090,73999,55636,64553
42 長崎県,①,3307,2802,2771,2564,619,643,577,665
42 長崎県,②,46848,76321,91201,96574,108959,68262,69451,64552
43 熊本県,①,6706,4860,5107,4951,764,975,1153,829
43 熊本県,②,69755,86952,83452,81954,95773,73999,69452,64553
44 大分県,①,3433,3791,4604,4592,491,547,475,586
44 大分県,②,58895,58709,60059,56089,99090,73999,69452,64553
45 宮崎県,①,3492,3074,2749,3001,471,402,566,585
45 宮崎県,②,52281,51523,50168,61933,66164,73999,69452,64553
46 鹿児島県,①,4014,3561,3473,3237,813,823,933,953
46 鹿児島県,②,98342,82761,76080,64450,88307,52110,69452,64553
