都道府県,種類,1_観光,2_観光,3_観光,4_観光,1_ビジネス,2_ビジネス,3_ビジネス,4_ビジネス
01 北海道,①,7722,13179,18134,7024,1327,1499,1924,1248
01 北海道,②,122606,111141,136739,115165,60364,52707,49743,50131
02 青森県,①,1982,3617,3385,2829,610,795,1000,699
02 青森県,②,50930,52951,47735,52123,53954,70895,49277,48875
03 岩手県,①,1971,1722,2675,1555,707,939,1057,824
03 岩手県,②,46961,62266,57520,60615,44549,70895,49277,48875
04 宮城県,①,5080,6388,6624,4541,1499,2007,2033,1600
04 宮城県,②,50113,56449,61213,54541,55558,69014,49277,48875
05 秋田県,①,1754,2370,3440,2415,382,535,615,499
05 秋田県,②,77452,86931,80738,94672,58497,52017,48400,50131
06 山形県,①,2083,3965,3615,2415,494,603,744,561
06 山形県,②,48542,62474,58377,54979,55259,70895,49277,49326
07 福島県,①,2843,2200,5314,2973,950,836,1158,1192
07 福島県,②,45524,63620,73242,55616,55259,40568,56798,45281
08 茨城県,①,5544,7454,6376,8451,1026,1547,1540,1404
08 茨城県,②,46838,45515,44863,38678,58497,44298,48400,50131
09 栃木県,①,5850,7915,8875,7826,874,1210,1324,1160
09 栃木県,②,53078,59492,51673,48636,53835,46138,45718,49571
10 群馬県,①,2035,4088,4876,4220,740,1045,1163,1119
10 群馬県,②,42062,42149,43818,51564,53835,46138,45718,49571
11 埼玉県,①,8451,7585,9268,7108,884,1310,1283,1240
11 埼玉県,②,51924,30704,38665,31107,53835,46138,45718,49571
12 千葉県,①,22861,14817,21984,19063,1597,1800,1799,2614
12 千葉県,②,64030,60601,82845,83102,53835,46138,45718,49571
13 東京都,①,112813,113840,117166,111020,11024,14100,14469,11817
13 東京都,②,87942,91393,92349,91360,113758,109430,109376,97590
14 神奈川県,①,18937,13973,10297,8089,2073,2526,2693,2506
14 神奈川県,②,59832,57224,60749,73119,53835,46137,45718,49571
15 新潟県,①,6353,8704,10152,6926,948,1210,1372,1487
15 新潟県,②,31800,60623,67133,63573,55449,42506,44919,49191
16 富山県,①,1647,2308,3178,2863,368,531,606,517
16 富山県,②,27576,35389,35598,33087,54683,29763,25367,59309
17 石川県,①,3160,3565,4854,3369,559,898,803,641
17 石川県,②,63458,68111,67991,79307,54385,56939,43081,64403
19 山梨県,①,3189,5128,7013,4752,396,564,734,587
19 山梨県,②,37759,39185,44773,44763,33925,31530,30710,34361
20 長野県,①,4527,4115,7724,5894,655,1390,1512,1297
20 長野県,②,67383,62649,96229,70766,69409,42932,43081,49191
21 岐阜県,①,7365,9146,8622,8850,485,530,623,648
21 岐阜県,②,56401,62192,47161,57004,49944,42117,43919,45391
22 静岡県,①,9054,16845,18083,14463,2094,2447,2825,2212
22 静岡県,②,37494,32456,34387,35099,24823,22930,23223,16975
23 愛知県,①,29764,19995,20435,20195,2986,3840,3811,3402
23 愛知県,②,56272,36208,52394,47711,49944,42117,42072,45391
24 三重県,①,6595,6853,6737,7027,1513,864,1163,1041
24 三重県,②,67021,61736,53871,47957,49944,42117,42072,45391
25 滋賀県,①,2966,3055,4071,2640,476,726,684,657
25 滋賀県,②,41068,50337,59217,37954,49449,44044,47413,45598
26 京都府,①,16390,16296,11044,10947,1521,2288,1838,1799
26 京都府,②,64198,47625,40274,63715,49449,47141,47413,45598
28 兵庫県,①,17338,19711,21354,14492,1422,1597,1657,1503
28 兵庫県,②,70778,65163,84230,90628,49449,47141,47413,48450
29 奈良県,①,6833,4561,3920,4229,193,255,280,253
29 奈良県,②,41973,43185,57241,59309,49449,47141,47413,45598
30 和歌山県,①,3144,2205,2325,1843,339,479,424,447
30 和歌山県,②,51372,55758,60507,63324,49449,45035,47413,55623
31 鳥取県,①,1863,2104,1813,2059,233,306,443,338
31 鳥取県,②,70117,58094,53205,45614,60829,42409,47379,43388
32 島根県,①,2976,2356,2724,2539,546,473,556,438
32 島根県,②,54509,47958,42878,48685,43488,43093,41773,43388
33 岡山県,①,1568,2703,2953,3133,808,987,999,965
