都道府県,種類,1_観光,2_観光,3_観光,4_観光,1_ビジネス,2_ビジネス,3_ビジネス,4_ビジネス
01 北海道,①,7816,13001,17519,7089,1278,1742,2776,1228
01 北海道,②,124397,113660,141155,117015,59254,50985,54323,50753
02 青森県,①,2247,3206,4205,2084,507,845,846,710
02 青森県,②,48180,68962,60365,64023,64658,50205,56846,52178
03 岩手県,①,1869,2054,2616,1767,707,880,1007,662
03 岩手県,②,48662,67668,56379,66512,43149,50205,51499,52178
04 宮城県,①,3556,5294,6624,6011,1394,1597,1312,1513
04 宮城県,②,52369,51900,46633,54672,48631,50205,52257,52178
05 秋田県,①,1451,2690,3337,2292,314,481,514,424
05 秋田県,②,74317,76936,61436,84496,49882,50205,51499,52178
06 山形県,①,2908,4614,5296,3710,602,741,1066,637
06 山形県,②,44753,66156,55635,55965,49882,50205,51499,52178
07 福島県,①,2992,3223,5031,3958,1181,1369,1271,1357
07 福島県,②,71764,62771,64507,65035,49882,50205,51499,52178
08 茨城県,①,6497,9697,8375,8254,1436,1425,1523,1145
08 茨城県,②,40390,47234,40938,46263,49477,50985,49903,49050
09 栃木県,①,6537,7928,7469,7912,1038,1200,1238,1333
09 栃木県,②,47098,55473,53602,64623,54178,54043,52834,51189
10 群馬県,①,2479,4580,4531,3959,978,1032,1182,1278
10 群馬県,②,42456,43308,45813,48999,54178,54043,52834,51189
11 埼玉県,①,22903,27464,27636,24869,1496,1504,1536,1659
11 埼玉県,②,35505,38692,27888,30034,54178,54043,52834,51189
12 千葉県,①,17278,21938,21476,16482,3185,2549,2993,2658
12 千葉県,②,79417,61662,73450,64818,54178,54043,52834,51189
13 東京都,①,117876,113289,120308,115732,11681,12517,13717,11320
13 東京都,②,83508,90051,90451,92703,110105,105381,113814,99697
14 神奈川県,①,31663,26247,18310,20886,2853,3269,3070,3300
14 神奈川県,②,52347,56705,61183,51367,47624,54043,52834,51189
15 新潟県,①,10221,6946,7918,6068,1332,1095,2069,1030
15 新潟県,②,56316,31409,90590,74671,52254,32110,50725,50753
16 富山県,①,2185,1849,4999,3630,517,677,732,466
16 富山県,②,29262,29110,43780,41358,47589,34542,39035,57987
19 山梨県,①,3991,5181,5821,5053,644,624,740,746
19 山梨県,②,42657,38919,44269,41184,36960,37407,36057,32877
20 長野県,①,4372,9099,9224,6362,798,1715,1974,1195
20 長野県,②,72921,75822,73990,62834,52398,51178,50725,51440
21 岐阜県,①,7387,10214,11978,10222,838,649,814,673
21 岐阜県,②,69462,62490,62294,69210,45616,45393,43186,42041
22 静岡県,①,13500,17488,16866,15960,3468,2477,2791,2621
22 静岡県,②,47023,49620,65763,53143,40462,45393,43186,42041
23 愛知県,①,21350,20602,24473,22252,3584,3061,2656,3432
23 愛知県,②,21682,38424,47854,37964,27050,39233,25324,25875
24 三重県,①,8054,7567,7349,7442,1210,944,1306,1276
24 三重県,②,38194,41289,38444,34027,28398,28757,26409,27650
25 滋賀県,①,4604,4946,5938,4452,620,877,916,719
25 滋賀県,②,29158,30848,29820,34690,32314,21991,27547,28092
26 京都府,①,14339,14493,14026,17100,1369,1321,1439,1160
26 京都府,②,63273,63826,102276,88368,49532,45926,44324,46404
28 兵庫県,①,16230,16563,21782,14877,1523,1440,1639,1435
28 兵庫県,②,79052,89208,88811,91247,49532,45926,44324,46404
29 奈良県,①,5054,5515,4809,5456,193,202,216,212
29 奈良県,②,41954,62732,53008,60251,47939,44199,46415,48116
30 和歌山県,①,2190,1967,3640,2363,565,403,274,482
30 和歌山県,②,50244,34923,25503,15119,38617,28173,13625,12362
31 鳥取県,①,997,1683,1904,1008,297,404,378,304
31 鳥取県,②,33714,28003,30938,33669,35036,34349,33126,25053
32 島根県,①,2365,2504,2607,2417,376,455,504,410
32 島根県,②,46898,53308,42632,52844,52888,50985,49903,66892
33 岡山県,①,2309,2901,3079,2831,781,869,927,658
33 岡山県,②,50148,50699,53471,51489,52888,50985,49903,66892
34 広島県,①,3680,4563,4604,4249,1464,1248,1526,1308
34 広島県,②,47370,45685,84725,46036,46501,50985,49903,49277
35 山口県,①,3255,3845,4653,4339,443,472,500,483
35 山口県,②,61617,38562,62899,47013,52888,50985,49903,59451
36 徳島県,①,1567,1817,1984,1726,329,268,241,240
36 徳島県,②,42452,42688,30353,29303,28692,30757,30079,29362
37 香川県,①,4245,2975,3174,3113,588,775,938,744
37 香川県,②,40166,55002,51273,64620,52254,50985,49903,50753
38 愛媛県,①,2825,3559,3813,3150,385,365,402,395
38 愛媛県,②,47780,47205,47920,48580,52254,50985,49903,49903
39 高知県,①,1094,1418,1251,1212,413,480,316,383
39 高知県,②,63795,54172,63098,62731,46740,50985,49903,50753
40 福岡県,①,26534,21045,22525,22984,1932,1727,2362,2469
40 福岡県,②,83894,69321,87808,72801,55398,52081,48350,64553
41 佐賀県,①,4832,4153,4432,4147,512,621,647,533
41 佐賀県,②,61626,66646,69196,65412,55398,64553,48350,52027
42 長崎県,①,3111,2189,3185,2689,691,698,820,709
42 長崎県,②,83172,65650,61278,100367,55397,52080,62905,52026
43 熊本県,①,5005,6537,6930,5797,960,1121,1062,980
43 熊本県,②,77684,74959,82964,86160,58053,52081,48350,52027
44 大分県,①,4701,4302,5336,5386,475,594,720,493
44 大分県,②,53556,54507,57385,54253,55398,52081,50868,52027
45 宮崎県,①,3494,2619,3652,3295,670,631,681,714
45 宮崎県,②,52343,52173,45206,53424,55398,64179,50226,55479
46 鹿児島県,①,3343,3373,4176,3666,933,884,992,982
46 鹿児島県,②,73103,83085,67769,83383,56276,52081,42611,57244
