都道府県,目的,1_客数,2_客数,3_客数,4_客数,地点数
01 北海道,自然,1323,3932,6834,3059,107
01 北海道,歴史・文化,3931,7159,9706,4965,149
01 北海道,温泉・健康,3052,3770,5012,3814,140
01 北海道,スポーツ・レク,5384,4949,7618,3350,261
01 北海道,都市型観光,4143,6351,7557,5396,74
01 北海道,その他,3171,6637,9526,4606,105
01 北海道,イベント,7308,5433,10939,5760,78
02 青森県,自然,134,903,1788,630,46
02 青森県,歴史・文化,448,1916,2015,958,60
02 青森県,温泉・健康,767,773,910,820,45
02 青森県,スポーツ・レク,671,1271,1681,623,72
02 青森県,都市型観光,2376,3598,4526,3372,52
02 青森県,その他,632,1280,1566,1104,25
02 青森県,イベント,850,4055,9389,1247,33
03 岩手県,自然,911,1406,1922,969,35
03 岩手県,歴史・文化,598,890,1079,699,60
03 岩手県,温泉・健康,1248,1264,1481,1398,73
03 岩手県,スポーツ・レク,876,638,741,451,56
03 岩手県,都市型観光,532,870,1075,764,25
03 岩手県,その他,423,810,1012,566,21
03 岩手県,イベント,786,1502,3010,1017,35
04 宮城県,自然,575,991,1378,1108,33
04 宮城県,歴史・文化,3211,2397,2724,2297,83
04 宮城県,温泉・健康,1311,1363,1485,1650,36
04 宮城県,スポーツ・レク,883,1994,2204,1389,61
04 宮城県,都市型観光,1637,2000,2112,1913,48
04 宮城県,その他,1485,2129,2234,2038,31
04 宮城県,イベント,645,2841,5318,5054,36
05 秋田県,自然,139,1143,1701,1012,33
05 秋田県,歴史・文化,244,930,1000,563,48
05 秋田県,温泉・健康,1003,1106,1228,1154,62
05 秋田県,スポーツ・レク,731,976,1393,649,67
05 秋田県,都市型観光,169,345,397,321,19
05 秋田県,その他,668,1586,1846,1337,34
05 秋田県,イベント,1033,2748,5186,1329,35
07 福島県,自然,430,1772,1663,1945,51
07 福島県,歴史・文化,1690,3327,2608,2206,73
07 福島県,温泉・健康,1626,1516,1631,1617,50
07 福島県,スポーツ・レク,3015,2325,3111,1699,81
07 福島県,都市型観光,1059,969,1625,1237,14
07 福島県,その他,1627,2564,2651,2038,26
07 福島県,イベント,913,521,3523,895,24
08 茨城県,自然,1130,2222,1610,2150,17
08 茨城県,歴史・文化,2528,3310,2529,3243,50
08 茨城県,温泉・健康,412,371,412,349,14
08 茨城県,スポーツ・レク,1836,2493,2878,2408,51
08 茨城県,都市型観光,1798,2092,1865,1972,9
08 茨城県,その他,1535,1756,1887,1937,19
08 茨城県,イベント,2868,1737,5342,2372,30
09 栃木県,自然,1121,2009,2037,2340,35
09 栃木県,歴史・文化,4025,4558,4156,5036,90
09 栃木県,温泉・健康,1398,1120,1331,1239,28
09 栃木県,スポーツ・レク,2424,3468,3820,3157,125
09 栃木県,都市型観光,2697,2981,2794,2633,18
09 栃木県,その他,3913,4790,4705,4607,31
09 栃木県,イベント,645,1752,3028,1712,30
10 群馬県,自然,780,2302,2774,2028,55
10 群馬県,歴史・文化,2346,3041,2685,2645,96
10 群馬県,温泉・健康,3780,3032,3724,3535,81
10 群馬県,スポーツ・レク,3109,3278,2636,2613,119
10 群馬県,都市型観光,1066,1326,1358,1287,27
10 群馬県,その他,796,1525,1892,1725,20
