都道府県,目的,1_客数,2_客数,3_客数,4_客数,地点数
10 群馬県,イベント,1145,1618,5144,2616,47
11 埼玉県,自然,853,3252,2269,1492,45
11 埼玉県,歴史・文化,4876,4578,3938,4786,113
11 埼玉県,温泉・健康,1542,1394,1501,1451,33
11 埼玉県,スポーツ・レク,2830,4017,5353,3654,165
11 埼玉県,都市型観光,15682,16096,16326,15423,46
11 埼玉県,その他,1203,1342,1249,1333,23
11 埼玉県,イベント,7446,6973,12230,10780,114
12 千葉県,自然,1408,933,518,260,33
12 千葉県,歴史・文化,10475,5419,4964,5172,138
12 千葉県,温泉・健康,1199,1112,1327,1102,24
12 千葉県,スポーツ・レク,15238,15956,18670,17436,296
12 千葉県,都市型観光,5104,5861,6331,5544,23
12 千葉県,その他,5712,6127,6180,5811,32
12 千葉県,イベント,4650,4553,11079,5564,72
13 東京都,自然,435,598,643,1025,6
13 東京都,歴史・文化,14787,20087,19213,17333,325
13 東京都,温泉・健康,7740,5257,6684,7510,35
13 東京都,スポーツ・レク,34947,34790,32244,29422,170
13 東京都,都市型観光,194958,214513,204216,212392,93
13 東京都,その他,3699,9754,4659,3795,25
13 東京都,イベント,8768,11343,18013,18951,123
14 神奈川県,自然,5358,6334,7928,7006,40
14 神奈川県,歴史・文化,22044,12437,10177,8884,135
14 神奈川県,温泉・健康,231,257,340,231,10
14 神奈川県,スポーツ・レク,7473,10888,11077,8193,96
14 神奈川県,都市型観光,906,939,977,987,7
14 神奈川県,その他,5364,6927,7373,8639,41
14 神奈川県,イベント,3890,9399,10250,4176,70
15 新潟県,自然,419,1263,1609,1317,72
15 新潟県,歴史・文化,1730,2578,3093,2451,160
15 新潟県,温泉・健康,2348,2065,2611,2321,109
15 新潟県,スポーツ・レク,5002,2273,4739,2008,241
15 新潟県,都市型観光,2373,4550,5239,4651,62
15 新潟県,その他,608,1035,1199,888,34
15 新潟県,イベント,2512,5193,8397,2975,104
16 富山県,自然,232,970,1273,585,26
16 富山県,歴史・文化,838,1612,1739,1678,74
16 富山県,温泉・健康,611,681,771,745,23
16 富山県,スポーツ・レク,994,1929,2480,1418,49
16 富山県,都市型観光,251,241,1913,1943,7
16 富山県,その他,942,1508,1621,1445,18
16 富山県,イベント,585,1823,1875,744,35
19 山梨県,自然,788,2799,3071,2026,16
19 山梨県,歴史・文化,1810,2116,3059,2085,83
19 山梨県,温泉・健康,1258,1366,1766,1345,59
19 山梨県,スポーツ・レク,1635,2617,3115,2177,86
19 山梨県,都市型観光,701,1167,1477,1093,33
19 山梨県,その他,769,1546,2053,1435,18
19 山梨県,イベント,325,882,1503,846,21
20 長野県,自然,1076,1949,4891,1621,50
20 長野県,歴史・文化,2366,11081,5362,4190,58
20 長野県,温泉・健康,3166,3005,4168,3529,71
20 長野県,スポーツ・レク,4939,1323,2584,1858,84
20 長野県,都市型観光,1810,2799,4017,2674,13
20 長野県,その他,618,1130,1524,1212,21
20 長野県,イベント,1179,2286,3076,1636,31
21 岐阜県,自然,299,820,1140,677,37
21 岐阜県,歴史・文化,4453,4175,3880,4449,96
21 岐阜県,温泉・健康,2345,2121,2443,2188,56
21 岐阜県,スポーツ・レク,3360,3823,3598,3422,157
21 岐阜県,都市型観光,2465,2840,3085,2891,27
21 岐阜県,その他,2877,4450,5194,4400,54
21 岐阜県,イベント,529,2635,3442,3066,55
22 静岡県,自然,3179,3648,4167,3406,48
22 静岡県,歴史・文化,6352,5340,4864,4228,180
22 静岡県,温泉・健康,1119,1069,1292,1029,50
22 静岡県,スポーツ・レク,4204,6162,8150,4999,284
22 静岡県,都市型観光,4781,5095,5378,5036,42
22 静岡県,その他,2702,2881,3728,2737,19
22 静岡県,イベント,4390,6464,7633,5200,109
23 愛知県,自然,1209,1971,2177,2195,38
23 愛知県,歴史・文化,12569,8430,7446,7840,139
23 愛知県,温泉・健康,790,727,771,806,21
23 愛知県,スポーツ・レク,4898,7999,8163,7030,124
23 愛知県,都市型観光,5085,6938,7678,6911,44
23 愛知県,その他,881,1491,1210,1217,13
23 愛知県,イベント,5461,7497,12503,7873,63
24 三重県,自然,271,721,835,550,36
24 三重県,歴史・文化,7032,3745,3676,3880,71
24 三重県,温泉・健康,1574,1431,1790,1633,29
24 三重県,スポーツ・レク,7386,7254,10029,7514,130
24 三重県,都市型観光,835,883,856,1023,23
24 三重県,その他,1338,1312,2029,1777,26
24 三重県,イベント,312,620,2008,1331,21
25 滋賀県,自然,84,337,358,224,21
25 滋賀県,歴史・文化,3236,2685,2491,2725,112
25 滋賀県,温泉・健康,402,385,411,361,21
25 滋賀県,スポーツ・レク,1796,2566,2923,2182,110
25 滋賀県,都市型観光,695,999,1243,999,29
25 滋賀県,その他,1840,2869,2872,2774,60
25 滋賀県,イベント,443,747,1461,684,25
26 京都府,自然,152,486,288,335,18
26 京都府,歴史・文化,15660,17682,15046,16718,81
26 京都府,温泉・健康,498,453,542,561,19
26 京都府,スポーツ・レク,999,2278,2728,2132,70
26 京都府,都市型観光,201,324,412,359,8
26 京都府,その他,360,624,595,574,17
26 京都府,イベント,40,311,527,660,11
28 兵庫県,自然,453,704,1037,697,82
28 兵庫県,歴史・文化,11644,8232,7720,6228,291
28 兵庫県,温泉・健康,2135,1770,225,2032,74
28 兵庫県,スポーツ・レク,7058,9748,11168,8112,365
28 兵庫県,都市型観光,4453,7823,10378,5045,47
28 兵庫県,その他,2776,3322,3719,3713,95
28 兵庫県,イベント,5322,5805,5371,8912,82
29 奈良県,自然,313,890,772,886,25
29 奈良県,歴史・文化,6139,7549,4887,6255,91
29 奈良県,温泉・健康,382,404,526,384,26
29 奈良県,スポーツ・レク,210,561,466,303,19
29 奈良県,都市型観光,34,46,42,53,3
29 奈良県,その他,733,1111,1021,1055,34
29 奈良県,イベント,3229,835,1486,888,17
30 和歌山県,自然,428,47,689,388,14
30 和歌山県,歴史・文化,1329,513,506,603,31
30 和歌山県,温泉・健康,474,172,243,221,14
30 和歌山県,スポーツ・レク,1566,1180,2129,1743,43
30 和歌山県,都市型観光,39,10,13,11,2
30 和歌山県,その他,255,787,579,499,4
30 和歌山県,イベント,358,952,1366,217,15
31 鳥取県,自然,232,417,563,413,10
31 鳥取県,歴史・文化,477,758,1028,906,36
31 鳥取県,温泉・健康,535,480,604,604,19
31 鳥取県,スポーツ・レク,355,261,430,178,27
31 鳥取県,都市型観光,1210,1661,1965,1571,17
31 鳥取県,その他,884,1273,1706,1454,22
31 鳥取県,イベント,114,143,789,223,9
32 島根県,自然,320,713,807,616,15
32 島根県,歴史・文化,3509,3399,4019,3695,69
32 島根県,温泉・健康,598,632,657,677,23
32 島根県,スポーツ・レク,488,506,630,298,35
32 島根県,都市型観光,432,542,536,548,12
32 島根県,その他,549,782,874,800,19
32 島根県,イベント,250,312,990,381,7
33 岡山県,自然,76,147,232,137,18
33 岡山県,歴史・文化,1129,1464,1511,1464,105
33 岡山県,温泉・健康,561,545,718,569,30
33 岡山県,スポーツ・レク,1152,1783,1803,1368,62
33 岡山県,都市型観光,961,1231,1525,1375,46
33 岡山県,その他,839,1057,1297,1119,26
33 岡山県,イベント,873,1311,2341,2405,30
34 広島県,自然,250,487,674,631,23
34 広島県,歴史・文化,2785,3356,3704,3344,80
34 広島県,温泉・健康,652,645,706,673,30
34 広島県,スポーツ・レク,1980,2107,2533,2329,93
34 広島県,都市型観光,885,1089,1137,1058,17
34 広島県,その他,1119,1733,1649,1528,29
34 広島県,イベント,1755,5624,4291,3605,31
35 山口県,自然,546,659,1004,727,33
35 山口県,歴史・文化,2041,2023,2097,2122,76
35 山口県,温泉・健康,895,861,983,944,30
35 山口県,スポーツ・レク,1189,1634,2164,1471,58
35 山口県,都市型観光,531,534,573,560,4
35 山口県,その他,1707,2144,2310,2068,42
35 山口県,イベント,808,997,2092,1356,30
36 徳島県,自然,210,508,597,376,16
36 徳島県,歴史・文化,1522,1217,1101,1046,50
36 徳島県,温泉・健康,320,292,301,301,20
36 徳島県,スポーツ・レク,502,813,898,704,34
36 徳島県,都市型観光,870,1036,1088,1000,21
36 徳島県,その他,196,268,267,235,6
36 徳島県,イベント,485,726,2242,781,18
37 香川県,自然,240,369,362,366,9
37 香川県,歴史・文化,2691,2444,1661,1742,59
37 香川県,温泉・健康,521,488,555,488,18
37 香川県,スポーツ・レク,1133,1978,2186,1712,50
37 香川県,都市型観光,719,843,958,891,12
37 香川県,その他,975,1181,1385,1067,8
37 香川県,イベント,179,417,1304,331,10
38 愛媛県,自然,287,712,698,454,44
38 愛媛県,歴史・文化,1209,1647,1559,1418,64
38 愛媛県,温泉・健康,826,718,827,766,26
38 愛媛県,スポーツ・レク,537,727,936,557,37
38 愛媛県,都市型観光,229,291,345,300,29
38 愛媛県,その他,1703,2055,2173,1979,28
38 愛媛県,イベント,54,387,2138,632,23
39 高知県,自然,149,275,325,205,14
39 高知県,歴史・文化,596,598,723,547,29
39 高知県,温泉・健康,214,218,235,211,16
39 高知県,スポーツ・レク,324,419,431,356,27
39 高知県,都市型観光,1288,1446,1544,1420,22
39 高知県,その他,698,852,916,759,19
39 高知県,イベント,144,376,1670,276,12
40 福岡県,自然,551,927,1028,728,39
40 福岡県,歴史・文化,10241,6016,5965,5734,132
40 福岡県,温泉・健康,950,845,842,893,26
40 福岡県,スポーツ・レク,1959,2826,3560,2436,85
40 福岡県,都市型観光,22852,21925,24057,23692,74
40 福岡県,その他,2572,2849,3033,2765,38
40 福岡県,イベント,1926,2062,3612,2332,34
41 佐賀県,自然,125,236,226,140,14
41 佐賀県,歴史・文化,2386,1162,972,1260,31
41 佐賀県,温泉・健康,554,486,534,515,16
41 佐賀県,スポーツ・レク,332,441,473,484,30
41 佐賀県,都市型観光,2458,2595,2927,2881,30
41 佐賀県,その他,256,271,262,300,11
41 佐賀県,イベント,459,1524,1157,2663,19
42 長崎県,自然,184,266,321,337,18
42 長崎県,歴史・文化,1500,2072,2136,2083,63
42 長崎県,温泉・健康,563,529,589,554,18
42 長崎県,スポーツ・レク,1556,1878,2064,1800,67
42 長崎県,都市型観光,3127,2913,3354,3099,12
42 長崎県,その他,671,1036,1094,1085,19
42 長崎県,イベント,1683,1396,1453,884,33
43 熊本県,自然,377,818,1083,640,27
43 熊本県,歴史・文化,2820,2263,2241,2307,89
43 熊本県,温泉・健康,2506,2244,2477,2338,43
43 熊本県,スポーツ・レク,1046,1429,1855,1343,99
43 熊本県,都市型観光,2691,3153,3147,3117,53
43 熊本県,その他,1770,2452,2453,2227,25
43 熊本県,イベント,1167,1030,1910,1337,34
44 大分県,自然,366,719,1500,967,37
44 大分県,歴史・文化,3208,2326,2943,2963,88
44 大分県,温泉・健康,2309,2472,3002,2174,48
44 大分県,スポーツ・レク,1452,1817,2330,1768,73
44 大分県,都市型観光,225,300,311,291,16
44 大分県,その他,1725,2016,2141,2166,41
44 大分県,イベント,511,834,1276,1244,25
45 宮崎県,自然,396,485,458,632,19
45 宮崎県,歴史・文化,2825,1661,1702,1422,55
45 宮崎県,温泉・健康,858,652,687,688,26
45 宮崎県,スポーツ・レク,1205,1278,1766,1286,83
45 宮崎県,都市型観光,256,274,315,297,10
45 宮崎県,その他,1021,1265,1156,1090,22
45 宮崎県,イベント,1036,714,1470,1128,27
46 鹿児島県,自然,351,454,408,522,38
46 鹿児島県,歴史・文化,2458,1609,1864,1706,66
46 鹿児島県,温泉・健康,893,740,701,769,48
46 鹿児島県,スポーツ・レク,1937,2442,2469,2161,99
46 鹿児島県,都市型観光,1044,1202,1232,1166,41
46 鹿児島県,その他,528,674,668,640,16
46 鹿児島県,イベント,1531,691,1301,1199,30
