都道府県,目的,1_客数,2_客数,3_客数,4_客数,地点数
01 北海道,自然,1193,3579,5908,2749,98
01 北海道,歴史・文化,3344,6667,9176,4400,145
01 北海道,温泉・健康,3510,3506,5185,3711,134
01 北海道,スポーツ・レク,4452,4493,7485,3378,250
01 北海道,都市型観光,4055,5730,7329,5251,72
01 北海道,その他,2752,5400,7982,3845,98
01 北海道,イベント,7138,5152,13877,2776,75
02 青森県,自然,116,864,1649,642,47
02 青森県,歴史・文化,470,2054,1799,963,59
02 青森県,温泉・健康,753,771,872,805,44
02 青森県,スポーツ・レク,672,1160,1644,757,72
02 青森県,都市型観光,2110,3497,4499,3271,52
02 青森県,その他,623,1251,1490,1060,25
02 青森県,イベント,722,3995,9299,856,34
03 岩手県,自然,604,1226,1706,914,33
03 岩手県,歴史・文化,575,895,1070,733,58
03 岩手県,温泉・健康,1294,1374,1447,1390,75
03 岩手県,スポーツ・レク,880,638,767,539,55
03 岩手県,都市型観光,471,876,1067,872,24
03 岩手県,その他,416,822,1057,582,21
03 岩手県,イベント,799,1593,2887,960,33
04 宮城県,自然,586,1074,1472,1102,31
04 宮城県,歴史・文化,3128,2226,2070,1708,79
04 宮城県,温泉・健康,1176,1215,1231,1231,35
04 宮城県,スポーツ・レク,846,2044,2087,1426,58
04 宮城県,都市型観光,1372,1759,2065,1838,44
04 宮城県,その他,1437,2056,2268,1958,30
04 宮城県,イベント,630,2729,5295,4511,33
05 秋田県,自然,123,1111,1690,1029,30
05 秋田県,歴史・文化,236,953,999,591,48
05 秋田県,温泉・健康,1062,1192,1360,1187,67
05 秋田県,スポーツ・レク,728,990,1266,752,67
05 秋田県,都市型観光,153,341,400,334,20
05 秋田県,その他,748,1519,1826,1263,33
05 秋田県,イベント,938,2689,5198,1376,34
07 福島県,自然,310,1912,1825,1956,49
07 福島県,歴史・文化,1536,3300,2409,2010,78
07 福島県,温泉・健康,1467,1490,1587,1584,49
07 福島県,スポーツ・レク,2257,2216,2831,1740,76
07 福島県,都市型観光,682,967,1282,930,17
07 福島県,その他,928,1746,1956,1972,25
07 福島県,イベント,653,458,3293,795,22
08 茨城県,自然,1186,1980,1616,2034,15
08 茨城県,歴史・文化,2357,3231,2640,3384,51
08 茨城県,温泉・健康,388,362,424,388,13
08 茨城県,スポーツ・レク,1667,3088,3034,2457,52
08 茨城県,都市型観光,1693,2019,1944,1895,11
08 茨城県,その他,307,368,545,477,6
08 茨城県,イベント,2434,1252,5446,2138,36
09 栃木県,自然,1096,2007,2178,2507,38
09 栃木県,歴史・文化,3593,4049,3856,4514,87
09 栃木県,温泉・健康,1279,1740,1711,1612,29
09 栃木県,スポーツ・レク,2342,3308,4060,3064,126
09 栃木県,都市型観光,2537,2849,2804,2550,14
09 栃木県,その他,3455,4781,4846,4630,32
09 栃木県,イベント,467,1844,2810,2011,28
10 群馬県,自然,740,2069,2913,1977,46
10 群馬県,歴史・文化,2209,2910,2871,2738,78
10 群馬県,温泉・健康,3476,2969,3713,3469,71
10 群馬県,スポーツ・レク,2732,3263,2642,2492,94
10 群馬県,都市型観光,1011,1322,1465,1338,25
10 群馬県,その他,505,1018,1250,1218,15
10 群馬県,イベント,831,1476,4335,2488,42
11 埼玉県,自然,791,2660,2247,1402,41
11 埼玉県,歴史・文化,5214,4534,4021,5003,142
11 埼玉県,温泉・健康,1220,1161,1259,1242,30
11 埼玉県,スポーツ・レク,2163,3316,4623,3024,160
11 埼玉県,都市型観光,14146,14022,14222,14215,41
11 埼玉県,その他,1263,1597,1528,1404,23
11 埼玉県,イベント,6617,7683,12004,10739,120
12 千葉県,自然,1244,871,578,228,34
12 千葉県,歴史・文化,10251,5361,4734,4898,139
12 千葉県,温泉・健康,1155,1074,1279,1092,25
12 千葉県,スポーツ・レク,13675,16146,18898,17290,296
