都道府県,目的,1_客数,2_客数,3_客数,4_客数,地点数
12 千葉県,都市型観光,4680,4939,5994,4968,24
12 千葉県,その他,5294,5624,5923,4983,27
12 千葉県,イベント,4359,5286,11021,5822,69
13 東京都,自然,400,628,687,855,6
13 東京都,歴史・文化,13491,18839,16237,16433,326
13 東京都,温泉・健康,7342,5777,6457,7723,35
13 東京都,スポーツ・レク,30399,33211,30124,26232,167
13 東京都,都市型観光,183872,207439,200255,204667,86
13 東京都,その他,3691,10836,4340,3809,26
13 東京都,イベント,10540,11714,14119,17305,119
14 神奈川県,自然,5034,6589,8833,5953,62
14 神奈川県,歴史・文化,20707,10867,7634,7739,111
14 神奈川県,温泉・健康,191,225,295,195,8
14 神奈川県,スポーツ・レク,6122,9119,10845,7346,81
14 神奈川県,都市型観光,895,948,1060,949,7
14 神奈川県,その他,5771,7908,8811,9730,40
14 神奈川県,イベント,2835,9342,9014,4094,66
15 新潟県,自然,427,1291,1532,1302,76
15 新潟県,歴史・文化,1763,2615,3035,2307,155
15 新潟県,温泉・健康,2341,2129,2523,2286,106
15 新潟県,スポーツ・レク,4763,2161,4312,2193,252
15 新潟県,都市型観光,2126,4352,5139,4336,62
15 新潟県,その他,498,925,1084,762,32
15 新潟県,イベント,2021,5081,7406,2278,98
16 富山県,自然,222,942,1142,571,24
16 富山県,歴史・文化,797,1455,1616,1400,71
16 富山県,温泉・健康,623,621,699,673,19
16 富山県,スポーツ・レク,780,1539,1907,1033,48
16 富山県,都市型観光,229,237,241,264,5
16 富山県,その他,1033,1442,1435,1244,15
16 富山県,イベント,457,1685,1898,737,29
17 石川県,自然,222,572,712,572,26
17 石川県,歴史・文化,2534,3540,3218,2781,94
17 石川県,温泉・健康,1477,1280,1538,1446,26
17 石川県,スポーツ・レク,903,1814,1759,1188,72
17 石川県,都市型観光,3415,5231,5227,4944,15
17 石川県,その他,276,503,578,367,10
17 石川県,イベント,424,1602,284,171,21
19 山梨県,自然,453,2047,2652,1450,17
19 山梨県,歴史・文化,1691,2206,3353,2012,92
19 山梨県,温泉・健康,1216,1357,1800,1344,59
19 山梨県,スポーツ・レク,1384,2471,3092,2095,89
19 山梨県,都市型観光,584,1050,1431,982,31
19 山梨県,その他,656,1393,1909,1267,17
19 山梨県,イベント,292,907,1489,827,22
20 長野県,自然,1253,2023,4512,1411,63
20 長野県,歴史・文化,2603,4777,4848,3710,74
20 長野県,温泉・健康,3290,2929,3889,3382,84
20 長野県,スポーツ・レク,4943,1789,2410,2046,98
20 長野県,都市型観光,1487,2098,4341,2505,15
20 長野県,その他,618,1286,1545,1090,24
20 長野県,イベント,1142,2193,3366,1628,30
21 岐阜県,自然,307,906,1091,617,37
21 岐阜県,歴史・文化,4496,3988,3835,4106,93
21 岐阜県,温泉・健康,2680,2185,2351,2096,55
21 岐阜県,スポーツ・レク,3377,3439,3392,3016,151
21 岐阜県,都市型観光,2010,2349,2492,2614,23
21 岐阜県,その他,2935,4381,5243,4002,55
21 岐阜県,イベント,548,2971,2754,2822,55
22 静岡県,自然,2483,2868,3995,3224,46
22 静岡県,歴史・文化,7145,5533,5045,4817,187
22 静岡県,温泉・健康,1078,964,1102,903,46
22 静岡県,スポーツ・レク,4237,5620,8504,5129,273
22 静岡県,都市型観光,4485,4813,5256,5133,38
22 静岡県,その他,2519,2394,3279,2455,18
22 静岡県,イベント,4626,7271,7608,6510,104
23 愛知県,自然,1139,1665,1875,2160,37
23 愛知県,歴史・文化,18112,8913,7473,7830,143
23 愛知県,温泉・健康,874,885,815,833,21
23 愛知県,スポーツ・レク,5416,8664,7950,6721,139
23 愛知県,都市型観光,6951,6781,7606,6793,44
23 愛知県,その他,1168,1533,1169,1190,12
23 愛知県,イベント,2120,7103,11330,7477,58
24 三重県,自然,281,712,755,498,36
24 三重県,歴史・文化,8752,4342,3812,4160,70
24 三重県,温泉・健康,1639,1480,1667,1630,29
24 三重県,スポーツ・レク,5621,5505,7394,5792,134
24 三重県,都市型観光,827,890,833,1024,22
24 三重県,その他,1370,1334,1511,1408,26
24 三重県,イベント,310,583,1955,1082,19
25 滋賀県,自然,160,481,464,177,21
25 滋賀県,歴史・文化,3711,2475,2399,2124,104
25 滋賀県,温泉・健康,408,377,411,328,21
25 滋賀県,スポーツ・レク,1884,2634,2962,1690,103
25 滋賀県,都市型観光,821,1148,1275,768,27
25 滋賀県,その他,1832,2672,2722,2009,47
25 滋賀県,イベント,511,695,1448,588,24
26 京都府,自然,138,503,257,344,18
26 京都府,歴史・文化,16424,17876,13444,15260,83
26 京都府,温泉・健康,510,472,550,564,18
26 京都府,スポーツ・レク,1073,2430,2375,1957,73
26 京都府,都市型観光,200,274,344,295,7
26 京都府,その他,333,518,548,527,18
26 京都府,イベント,74,387,331,644,11
28 兵庫県,自然,666,1051,1281,956,88
28 兵庫県,歴史・文化,11803,7630,7236,5998,290
28 兵庫県,温泉・健康,2122,1780,2144,1916,74
28 兵庫県,スポーツ・レク,6473,9361,10325,7747,360
28 兵庫県,都市型観光,3051,9413,10127,4969,43
28 兵庫県,その他,2374,2446,2714,3091,80
28 兵庫県,イベント,5233,5678,4875,8880,83
29 奈良県,自然,378,1288,912,1063,25
29 奈良県,歴史・文化,7787,6390,3996,5492,92
29 奈良県,温泉・健康,348,357,454,354,24
29 奈良県,スポーツ・レク,92,308,344,194,19
29 奈良県,都市型観光,121,175,151,162,5
29 奈良県,その他,634,999,807,846,30
29 奈良県,イベント,1359,919,1453,728,14
30 和歌山県,自然,156,67,170,153,10
30 和歌山県,歴史・文化,4176,1029,1064,1135,31
30 和歌山県,温泉・健康,329,157,195,160,13
30 和歌山県,スポーツ・レク,983,1590,2739,1201,35
30 和歌山県,都市型観光,68,60,48,56,2
30 和歌山県,その他,416,436,423,436,3
30 和歌山県,イベント,191,92,704,370,11
31 鳥取県,自然,247,474,532,389,11
31 鳥取県,歴史・文化,465,876,923,842,39
31 鳥取県,温泉・健康,542,489,564,564,19
31 鳥取県,スポーツ・レク,380,279,385,195,35
31 鳥取県,都市型観光,1154,1521,1910,1541,16
31 鳥取県,その他,873,1242,1405,1145,22
31 鳥取県,イベント,153,208,718,200,9
32 島根県,自然,376,741,764,551,17
32 島根県,歴史・文化,3880,3735,3918,3395,69
32 島根県,温泉・健康,646,538,665,678,24
32 島根県,スポーツ・レク,501,518,677,419,36
32 島根県,都市型観光,463,569,556,590,14
32 島根県,その他,545,753,775,703,17
32 島根県,イベント,256,278,749,244,6
33 岡山県,自然,83,159,255,145,19
33 岡山県,歴史・文化,1091,1357,1296,1234,106
33 岡山県,温泉・健康,669,625,760,628,32
33 岡山県,スポーツ・レク,1213,1750,1821,1523,76
33 岡山県,都市型観光,772,1082,1232,1099,36
33 岡山県,その他,752,993,1032,919,21
33 岡山県,イベント,363,996,1994,1684,26
34 広島県,自然,256,453,549,626,17
34 広島県,歴史・文化,2867,3228,3240,3120,69
34 広島県,温泉・健康,585,587,632,625,26
34 広島県,スポーツ・レク,1739,1996,2324,2159,68
34 広島県,都市型観光,841,1057,1089,977,14
34 広島県,その他,990,1545,1544,1556,26
34 広島県,イベント,1681,5518,3862,3490,33
35 山口県,自然,634,648,885,651,28
35 山口県,歴史・文化,1805,1852,1915,1875,71
35 山口県,温泉・健康,970,872,982,929,31
35 山口県,スポーツ・レク,1048,1457,1653,1118,58
35 山口県,都市型観光,548,520,551,550,4
35 山口県,その他,1691,2164,2291,2013,37
35 山口県,イベント,810,1263,1990,1358,30
36 徳島県,自然,213,482,510,295,20
36 徳島県,歴史・文化,1749,1420,1145,1120,50
36 徳島県,温泉・健康,338,318,299,296,24
36 徳島県,スポーツ・レク,541,762,694,533,47
36 徳島県,都市型観光,943,1057,1124,1025,30
36 徳島県,その他,210,301,260,236,8
36 徳島県,イベント,476,675,1955,775,19
37 香川県,自然,232,346,370,418,9
37 香川県,歴史・文化,2912,2468,1763,2235,60
37 香川県,温泉・健康,503,433,540,483,18
37 香川県,スポーツ・レク,1157,1998,2072,1431,51
37 香川県,都市型観光,724,860,969,865,11
37 香川県,その他,980,1135,1324,1075,8
37 香川県,イベント,222,442,1114,302,9
38 愛媛県,自然,289,680,697,487,44
38 愛媛県,歴史・文化,1239,1535,1484,1336,64
38 愛媛県,温泉・健康,836,767,834,761,26
38 愛媛県,スポーツ・レク,553,733,936,637,37
38 愛媛県,都市型観光,245,347,356,280,29
38 愛媛県,その他,1408,2097,2074,1815,28
38 愛媛県,イベント,59,524,1317,819,22
39 高知県,自然,267,242,282,198,17
39 高知県,歴史・文化,477,585,534,458,28
39 高知県,温泉・健康,170,158,160,147,13
39 高知県,スポーツ・レク,246,331,373,256,25
39 高知県,都市型観光,1335,1353,1401,1314,22
39 高知県,その他,552,780,761,623,18
39 高知県,イベント,72,375,1303,227,10
40 福岡県,自然,504,947,934,777,36
40 福岡県,歴史・文化,10234,6400,6047,6387,130
40 福岡県,温泉・健康,1123,998,1026,1079,35
40 福岡県,スポーツ・レク,1817,2553,3072,2183,83
40 福岡県,都市型観光,22721,23919,25381,25107,66
40 福岡県,その他,2637,2853,3124,2932,40
40 福岡県,イベント,2882,2681,3819,2582,41
41 佐賀県,自然,76,109,135,104,11
41 佐賀県,歴史・文化,2509,1103,783,1186,30
41 佐賀県,温泉・健康,602,493,551,541,17
41 佐賀県,スポーツ・レク,362,450,433,447,33
41 佐賀県,都市型観光,2558,2340,2426,2571,28
41 佐賀県,その他,144,207,283,201,10
41 佐賀県,イベント,501,1561,1133,2482,20
42 長崎県,自然,180,267,264,272,15
42 長崎県,歴史・文化,1569,2048,1850,1900,59
42 長崎県,温泉・健康,494,607,632,609,21
42 長崎県,スポーツ・レク,1506,1809,1813,1798,65
42 長崎県,都市型観光,3048,2863,3163,3028,11
42 長崎県,その他,697,977,847,968,19
42 長崎県,イベント,1594,1381,1415,1443,34
43 熊本県,自然,425,912,893,602,25
43 熊本県,歴史・文化,2663,2221,1978,2109,87
43 熊本県,温泉・健康,2314,2394,2325,2138,42
43 熊本県,スポーツ・レク,1054,1532,1640,1260,102
43 熊本県,都市型観光,2431,2979,2781,2657,54
43 熊本県,その他,1335,1768,1494,1488,21
43 熊本県,イベント,1183,1064,1721,1100,31
44 大分県,自然,369,649,1634,509,47
44 大分県,歴史・文化,2477,2323,2542,3371,104
44 大分県,温泉・健康,2238,2389,2398,2143,46
44 大分県,スポーツ・レク,1422,1836,2206,1612,82
44 大分県,都市型観光,159,192,223,183,11
44 大分県,その他,1427,1967,2163,2111,45
44 大分県,イベント,2449,1062,1137,1350,31
45 宮崎県,自然,497,563,416,432,18
45 宮崎県,歴史・文化,2891,1603,1602,1382,59
45 宮崎県,温泉・健康,776,582,666,672,26
45 宮崎県,スポーツ・レク,1236,1322,1649,1152,86
45 宮崎県,都市型観光,286,270,271,284,10
45 宮崎県,その他,847,1014,888,806,19
45 宮崎県,イベント,828,724,1404,1016,27
46 鹿児島県,自然,399,478,417,558,38
46 鹿児島県,歴史・文化,2780,1770,1894,1656,66
46 鹿児島県,温泉・健康,784,675,656,710,48
46 鹿児島県,スポーツ・レク,1962,2397,2319,1932,97
46 鹿児島県,都市型観光,1061,1228,1271,1141,41
46 鹿児島県,その他,686,752,749,681,16
46 鹿児島県,イベント,1752,797,1258,1121,30
