都道府県,目的,地点数,客数
滋賀県,イベント,13.0,511.0
京都府,自然,18.0,138.0
京都府,歴史・文化,83.0,16424.0
京都府,温泉・健康,18.0,510.0
京都府,スポーツ・レク,73.0,1073.0
京都府,都市型観光,7.0,200.0
京都府,イベント,5.0,74.0
兵庫県,自然,87.0,666.0
兵庫県,歴史・文化,288.0,11803.0
兵庫県,温泉・健康,74.0,2122.0
兵庫県,スポーツ・レク,358.0,6473.0
兵庫県,都市型観光,43.0,3051.0
兵庫県,イベント,53.0,5233.0
奈良県,自然,25.0,378.0
奈良県,歴史・文化,92.0,7787.0
奈良県,温泉・健康,24.0,348.0
奈良県,スポーツ・レク,19.0,92.0
奈良県,都市型観光,5.0,121.0
奈良県,イベント,10.0,1359.0
和歌山県,自然,10.0,156.0
和歌山県,歴史・文化,38.0,4176.0
和歌山県,温泉・健康,16.0,329.0
和歌山県,スポーツ・レク,13.0,983.0
和歌山県,都市型観光,2.0,68.0
和歌山県,イベント,9.0,191.0
鳥取県,自然,11.0,247.0
鳥取県,歴史・文化,39.0,465.0
鳥取県,温泉・健康,19.0,542.0
鳥取県,スポーツ・レク,35.0,380.0
鳥取県,都市型観光,16.0,1154.0
鳥取県,イベント,5.0,153.0
島根県,自然,17.0,376.0
島根県,歴史・文化,69.0,3880.0
島根県,温泉・健康,24.0,646.0
島根県,スポーツ・レク,36.0,501.0
島根県,都市型観光,14.0,463.0
島根県,イベント,3.0,256.0
岡山県,自然,20.0,83.0
岡山県,歴史・文化,109.0,1091.0
岡山県,温泉・健康,33.0,669.0
岡山県,スポーツ・レク,79.0,1213.0
岡山県,都市型観光,37.0,772.0
岡山県,イベント,14.0,363.0
広島県,自然,7.0,256.0
広島県,歴史・文化,46.0,2867.0
広島県,温泉・健康,21.0,585.0
広島県,スポーツ・レク,36.0,1739.0
広島県,都市型観光,10.0,841.0
広島県,イベント,20.0,1681.0
山口県,自然,28.0,634.0
山口県,歴史・文化,71.0,1805.0
山口県,温泉・健康,31.0,970.0
山口県,スポーツ・レク,58.0,1048.0
山口県,都市型観光,4.0,548.0
山口県,イベント,15.0,810.0
徳島県,自然,20.0,213.0
徳島県,歴史・文化,50.0,1749.0
徳島県,温泉・健康,24.0,338.0
徳島県,スポーツ・レク,47.0,541.0
徳島県,都市型観光,30.0,943.0
徳島県,イベント,13.0,476.0
香川県,自然,9.0,232.0
香川県,歴史・文化,60.0,2912.0
香川県,温泉・健康,18.0,503.0
香川県,スポーツ・レク,51.0,1157.0
香川県,都市型観光,11.0,724.0
香川県,イベント,5.0,222.0
愛媛県,自然,44.0,289.0
愛媛県,歴史・文化,64.0,1239.0
愛媛県,温泉・健康,26.0,836.0
愛媛県,スポーツ・レク,37.0,553.0
愛媛県,都市型観光,29.0,245.0
愛媛県,イベント,6.0,59.0
高知県,自然,19.0,267.0
高知県,歴史・文化,29.0,477.0
高知県,温泉・健康,14.0,170.0
高知県,スポーツ・レク,25.0,246.0
高知県,都市型観光,23.0,1335.0
高知県,イベント,5.0,72.0
福岡県,自然,36.0,504.0
福岡県,歴史・文化,130.0,10234.0
福岡県,温泉・健康,35.0,1123.0
福岡県,スポーツ・レク,83.0,1817.0
福岡県,都市型観光,66.0,22721.0
福岡県,イベント,32.0,2882.0
佐賀県,自然,10.0,76.0
佐賀県,歴史・文化,31.0,2509.0
佐賀県,温泉・健康,17.0,602.0
佐賀県,スポーツ・レク,33.0,362.0
佐賀県,都市型観光,30.0,2558.0
佐賀県,イベント,14.0,501.0
長崎県,自然,13.0,180.0
長崎県,歴史・文化,50.0,1569.0
長崎県,温泉・健康,16.0,494.0
長崎県,スポーツ・レク,65.0,1506.0
長崎県,都市型観光,9.0,3048.0
長崎県,イベント,19.0,1594.0
熊本県,自然,25.0,425.0
熊本県,歴史・文化,88.0,2663.0
熊本県,温泉・健康,42.0,2314.0
熊本県,スポーツ・レク,102.0,1054.0
熊本県,都市型観光,54.0,2431.0
熊本県,イベント,23.0,1183.0
大分県,自然,47.0,369.0
大分県,歴史・文化,104.0,2477.0
大分県,温泉・健康,46.0,2238.0
大分県,スポーツ・レク,82.0,1422.0
大分県,都市型観光,11.0,159.0
大分県,イベント,20.0,2449.0
宮崎県,自然,18.0,497.0
宮崎県,歴史・文化,59.0,2891.0
宮崎県,温泉・健康,26.0,776.0
宮崎県,スポーツ・レク,86.0,1236.0
宮崎県,都市型観光,10.0,286.0
宮崎県,イベント,15.0,828.0
鹿児島県,自然,38.0,399.0
鹿児島県,歴史・文化,66.0,2780.0
鹿児島県,温泉・健康,48.0,784.0
鹿児島県,スポーツ・レク,99.0,1962.0
鹿児島県,都市型観光,41.0,1061.0
鹿児島県,イベント,25.0,1752.0
沖縄県,自然,29.0,1321.0
沖縄県,歴史・文化,31.0,2963.0
沖縄県,温泉・健康,3.0,78.0
沖縄県,スポーツ・レク,21.0,1799.0
沖縄県,都市型観光,5.0,807.0
沖縄県,イベント,15.0,1131.0
北海道,自然,92.0,3579.0
北海道,歴史・文化,138.0,6667.0
北海道,温泉・健康,120.0,3506.0
北海道,スポーツ・レク,222.0,4493.0
北海道,都市型観光,69.0,5730.0
北海道,イベント,54.0,5152.0
青森県,自然,47.0,864.0
青森県,歴史・文化,59.0,2054.0
青森県,温泉・健康,44.0,771.0
青森県,スポーツ・レク,72.0,1160.0
青森県,都市型観光,52.0,3497.0
青森県,イベント,29.0,3995.0
岩手県,自然,33.0,1226.0
岩手県,歴史・文化,57.0,895.0
岩手県,温泉・健康,74.0,1374.0
岩手県,スポーツ・レク,54.0,638.0
岩手県,都市型観光,23.0,876.0
岩手県,イベント,30.0,1593.0
宮城県,自然,31.0,1074.0
宮城県,歴史・文化,79.0,2226.0
宮城県,温泉・健康,36.0,1215.0
宮城県,スポーツ・レク,57.0,2044.0
宮城県,都市型観光,44.0,1759.0
宮城県,イベント,29.0,2729.0
秋田県,自然,30.0,1111.0
秋田県,歴史・文化,48.0,953.0
秋田県,温泉・健康,67.0,1192.0
秋田県,スポーツ・レク,67.0,990.0
秋田県,都市型観光,20.0,341.0
秋田県,イベント,38.0,2689.0
山形県,自然,39.0,1175.0
山形県,歴史・文化,78.0,2646.0
山形県,温泉・健康,49.0,2075.0
山形県,スポーツ・レク,68.0,1492.0
山形県,都市型観光,30.0,982.0
山形県,イベント,31.0,2775.0
福島県,自然,49.0,1912.0
福島県,歴史・文化,78.0,3300.0
福島県,温泉・健康,49.0,1490.0
福島県,スポーツ・レク,76.0,2216.0
福島県,都市型観光,17.0,967.0
福島県,イベント,10.0,458.0
茨城県,自然,15.0,1980.0
茨城県,歴史・文化,51.0,3231.0
茨城県,温泉・健康,13.0,362.0
茨城県,スポーツ・レク,52.0,3088.0
茨城県,都市型観光,11.0,2019.0
茨城県,イベント,26.0,1252.0
栃木県,自然,38.0,2007.0
栃木県,歴史・文化,88.0,4049.0
栃木県,温泉・健康,30.0,1740.0
栃木県,スポーツ・レク,128.0,3308.0
栃木県,都市型観光,14.0,2849.0
栃木県,イベント,29.0,1844.0
群馬県,自然,46.0,2069.0
群馬県,歴史・文化,78.0,2910.0
群馬県,温泉・健康,71.0,2969.0
群馬県,スポーツ・レク,94.0,3263.0
群馬県,都市型観光,25.0,1322.0
群馬県,イベント,34.0,1476.0
埼玉県,自然,41.0,2660.0
埼玉県,歴史・文化,142.0,4534.0
埼玉県,温泉・健康,30.0,1161.0
埼玉県,スポーツ・レク,160.0,3316.0
埼玉県,都市型観光,41.0,14022.0
埼玉県,イベント,131.0,7683.0
千葉県,自然,34.0,871.0
千葉県,歴史・文化,139.0,5361.0
千葉県,温泉・健康,25.0,1074.0
千葉県,スポーツ・レク,296.0,16146.0
千葉県,都市型観光,24.0,4939.0
千葉県,イベント,63.0,5286.0
東京都,自然,6.0,628.0
東京都,歴史・文化,326.0,18839.0
東京都,温泉・健康,35.0,5777.0
東京都,スポーツ・レク,167.0,33211.0
東京都,都市型観光,86.0,207439.0
東京都,イベント,98.0,11714.0
神奈川県,自然,62.0,6589.0
神奈川県,歴史・文化,111.0,10867.0
神奈川県,温泉・健康,8.0,225.0
