都道府県,目的,1_客数,2_客数,3_客数,4_客数,地点数
16 富山県,スポーツ・レク,907,2225,2401,1477,43
16 富山県,都市型観光,1471,1494,1513,1498,8
16 富山県,その他,746,1182,1233,1038,18
16 富山県,イベント,517,1878,1885,739,32
18 福井県,自然,523,1341,1367,1258,26
18 福井県,歴史・文化,1592,2627,2866,2139,91
18 福井県,温泉・健康,583,554,922,572,23
18 福井県,スポーツ・レク,896,1362,1762,980,62
18 福井県,都市型観光,418,542,546,646,18
18 福井県,その他,685,1011,1097,905,13
18 福井県,イベント,197,1225,1274,344,13
19 山梨県,自然,875,2501,3115,1814,19
19 山梨県,歴史・文化,2108,2360,3429,2172,89
19 山梨県,温泉・健康,1267,1328,1697,1270,61
19 山梨県,スポーツ・レク,1726,2842,3272,2135,87
19 山梨県,都市型観光,672,1072,1434,979,31
19 山梨県,その他,863,1638,2364,1550,22
19 山梨県,イベント,349,902,1346,707,22
20 長野県,自然,1733,2122,4902,1386,62
20 長野県,歴史・文化,2747,5020,4883,3846,78
20 長野県,温泉・健康,2997,3100,4000,3354,79
20 長野県,スポーツ・レク,4427,1770,2457,1791,94
20 長野県,都市型観光,2093,2938,4218,2729,17
20 長野県,その他,861,1450,1832,1376,27
20 長野県,イベント,1278,2099,2904,1448,28
21 岐阜県,自然,333,915,1152,632,41
21 岐阜県,歴史・文化,4777,4610,3947,4275,96
21 岐阜県,温泉・健康,2451,2147,2451,2261,55
21 岐阜県,スポーツ・レク,3258,3633,3404,2966,157
21 岐阜県,都市型観光,2457,3019,3137,2779,29
21 岐阜県,その他,2770,4497,5296,3873,55
21 岐阜県,イベント,566,3028,3450,2900,53
23 愛知県,自然,605,1185,1428,1098,30
23 愛知県,歴史・文化,15576,8927,8551,7860,142
23 愛知県,温泉・健康,776,700,789,774,21
23 愛知県,スポーツ・レク,5558,8290,7899,5810,133
23 愛知県,都市型観光,4356,4491,4720,4365,35
23 愛知県,その他,5139,5699,6067,5219,18
23 愛知県,イベント,2250,7300,11533,3830,53
24 三重県,自然,310,738,854,460,34
24 三重県,歴史・文化,7437,4200,3793,3804,72
24 三重県,温泉・健康,1575,1480,1706,1582,27
24 三重県,スポーツ・レク,7929,8945,10756,9046,128
24 三重県,都市型観光,918,1053,924,1039,23
24 三重県,その他,1670,1700,1787,1622,28
24 三重県,イベント,327,613,2402,1176,22
25 滋賀県,自然,79,365,336,187,20
25 滋賀県,歴史・文化,3542,2892,2505,2833,110
25 滋賀県,温泉・健康,358,365,393,353,21
25 滋賀県,スポーツ・レク,1769,3142,3318,2476,118
25 滋賀県,都市型観光,1353,2049,2356,2091,32
25 滋賀県,その他,2114,3591,3821,3328,61
25 滋賀県,イベント,833,962,1392,721,26
26 京都府,自然,167,167,167,167,14
26 京都府,歴史・文化,15712,15712,15712,15712,76
26 京都府,温泉・健康,683,683,683,683,18
26 京都府,スポーツ・レク,2276,2275,2275,2275,74
26 京都府,都市型観光,253,252,252,252,7
26 京都府,その他,1202,1202,1202,1202,19
26 京都府,イベント,706,705,705,705,15
29 奈良県,自然,392,1036,880,835,25
29 奈良県,歴史・文化,6805,7959,5208,6297,95
29 奈良県,温泉・健康,387,430,547,377,27
29 奈良県,スポーツ・レク,259,607,510,314,23
29 奈良県,都市型観光,37,50,42,45,4
29 奈良県,その他,871,1411,1230,1162,33
29 奈良県,イベント,3397,787,1548,770,15
30 和歌山県,自然,148,239,251,168,19
30 和歌山県,歴史・文化,2742,1561,1557,1575,40
30 和歌山県,温泉・健康,209,238,297,229,12
30 和歌山県,スポーツ・レク,923,1553,2507,1426,32
30 和歌山県,都市型観光,177,216,259,219,6
30 和歌山県,その他,239,307,324,315,10
30 和歌山県,イベント,90,133,931,379,11
31 鳥取県,自然,256,405,435,370,10
31 鳥取県,歴史・文化,574,839,900,804,36
31 鳥取県,温泉・健康,526,489,566,579,19
31 鳥取県,スポーツ・レク,274,274,333,165,27
31 鳥取県,都市型観光,1079,1563,1822,1478,17
31 鳥取県,その他,1072,1460,1694,1447,22
31 鳥取県,イベント,143,74,86,50,4
32 島根県,自然,284,744,761,526,18
32 島根県,歴史・文化,3981,3852,3658,3370,74
32 島根県,温泉・健康,566,605,609,607,23
32 島根県,スポーツ・レク,369,359,650,277,36
32 島根県,都市型観光,361,424,445,462,11
32 島根県,その他,503,784,778,739,20
32 島根県,イベント,310,474,934,289,9
33 岡山県,自然,81,218,210,122,18
33 岡山県,歴史・文化,1231,1658,1470,1422,106
33 岡山県,温泉・健康,554,533,640,555,28
33 岡山県,スポーツ・レク,1224,1754,1662,1277,66
33 岡山県,都市型観光,934,1233,1417,1192,45
33 岡山県,その他,889,1180,1242,1087,25
33 岡山県,イベント,951,1378,2151,2231,30
34 広島県,自然,266,527,715,599,22
34 広島県,歴史・文化,3322,3792,3617,3514,90
34 広島県,温泉・健康,642,557,619,573,30
34 広島県,スポーツ・レク,1842,2424,2581,2279,97
34 広島県,都市型観光,887,1064,1279,1004,17
34 広島県,その他,1219,1895,1805,1647,30
34 広島県,イベント,1889,6022,4339,3448,30
35 山口県,自然,742,988,1267,1167,33
35 山口県,歴史・文化,1921,1968,1853,1946,82
35 山口県,温泉・健康,893,877,975,909,31
35 山口県,スポーツ・レク,1302,1922,2118,1579,67
35 山口県,都市型観光,570,596,640,772,6
35 山口県,その他,1930,2348,2497,2196,45
35 山口県,イベント,816,1646,2174,1414,34
36 徳島県,自然,260,516,577,365,16
36 徳島県,歴史・文化,1533,1239,1108,1029,39
36 徳島県,温泉・健康,321,300,288,281,20
36 徳島県,スポーツ・レク,595,909,882,657,32
36 徳島県,都市型観光,839,1028,1017,924,21
36 徳島県,その他,200,275,245,216,6
36 徳島県,イベント,491,686,2031,687,15
37 香川県,自然,225,311,327,403,9
37 香川県,歴史・文化,2817,2505,1796,1859,61
37 香川県,温泉・健康,539,510,562,520,18
37 香川県,スポーツ・レク,1190,2194,2240,1595,52
37 香川県,都市型観光,734,844,943,887,11
37 香川県,その他,1437,1700,1908,1602,9
37 香川県,イベント,144,516,1265,284,11
38 愛媛県,自然,351,718,667,431,44
38 愛媛県,歴史・文化,1297,1593,1307,1291,64
38 愛媛県,温泉・健康,824,743,704,710,26
38 愛媛県,スポーツ・レク,717,797,969,662,37
38 愛媛県,都市型観光,241,264,309,282,29
38 愛媛県,その他,1683,2120,2048,1917,28
38 愛媛県,イベント,86,516,1727,577,19
40 福岡県,自然,684,1077,1224,916,42
40 福岡県,歴史・文化,12282,7482,7212,6771,154
40 福岡県,温泉・健康,1154,1043,1010,1046,32
40 福岡県,スポーツ・レク,2073,3060,3685,2832,104
40 福岡県,都市型観光,29733,29255,31400,31066,66
40 福岡県,その他,2745,3088,3284,3133,36
40 福岡県,イベント,1976,2876,3909,2857,48
41 佐賀県,自然,99,206,205,159,13
41 佐賀県,歴史・文化,2516,1216,1100,1616,32
41 佐賀県,温泉・健康,442,366,452,458,16
41 佐賀県,スポーツ・レク,418,627,613,510,37
41 佐賀県,都市型観光,2726,2901,2754,2925,27
41 佐賀県,その他,252,243,191,239,9
41 佐賀県,イベント,442,1421,1269,2402,17
43 熊本県,自然,327,668,731,418,24
43 熊本県,歴史・文化,2229,2036,1726,1835,71
43 熊本県,温泉・健康,1558,1605,1583,1517,44
43 熊本県,スポーツ・レク,1119,1348,1545,1055,76
43 熊本県,都市型観光,2599,3182,3009,2877,58
43 熊本県,その他,1670,2146,2146,1926,26
43 熊本県,イベント,1236,857,2006,1615,40
44 大分県,自然,293,499,528,594,37
44 大分県,歴史・文化,3404,1974,2305,2747,93
44 大分県,温泉・健康,1428,1253,1332,1366,49
44 大分県,スポーツ・レク,1503,1819,1999,1579,74
44 大分県,都市型観光,222,290,258,266,16
44 大分県,その他,1696,1874,1722,1809,44
44 大分県,イベント,472,860,1153,1094,22
45 宮崎県,自然,469,597,445,501,18
45 宮崎県,歴史・文化,2778,1817,1539,1395,56
45 宮崎県,温泉・健康,899,672,656,670,27
45 宮崎県,スポーツ・レク,1067,1275,1589,1047,78
45 宮崎県,都市型観光,298,326,323,250,10
45 宮崎県,その他,1145,1348,1185,1148,23
45 宮崎県,イベント,816,742,1595,772,28
