都道府県,観光地数・イベント数,1,2,3,4
01 北海道,自然,99,92,107,96
01 北海道,歴史・文化,152,138,158,133
01 北海道,温泉・健康,139,120,153,124
01 北海道,スポーツ・レク,261,222,280,238
01 北海道,都市型観光,71,69,79,71
01 北海道,その他,105,91,102,97
01 北海道,イベント,38,54,172,38
02 青森県,自然,47,47,47,47
02 青森県,歴史・文化,59,59,59,59
02 青森県,温泉・健康,44,44,44,44
02 青森県,スポーツ・レク,72,72,72,72
02 青森県,都市型観光,52,52,52,52
02 青森県,その他,25,25,25,25
02 青森県,イベント,8,29,78,24
03 岩手県,自然,33,33,34,34
03 岩手県,歴史・文化,57,57,59,60
03 岩手県,温泉・健康,74,74,77,78
03 岩手県,スポーツ・レク,54,54,57,57
03 岩手県,都市型観光,21,23,25,27
03 岩手県,その他,21,21,21,21
03 岩手県,イベント,12,30,58,35
04 宮城県,自然,31,31,31,31
04 宮城県,歴史・文化,79,79,80,80
04 宮城県,温泉・健康,35,36,36,35
04 宮城県,スポーツ・レク,57,57,59,59
04 宮城県,都市型観光,44,44,45,45
04 宮城県,その他,30,30,30,30
04 宮城県,イベント,17,29,52,35
05 秋田県,自然,30,30,30,30
05 秋田県,歴史・文化,48,48,48,48
05 秋田県,温泉・健康,67,67,67,67
05 秋田県,スポーツ・レク,67,67,67,67
05 秋田県,都市型観光,20,20,20,20
05 秋田県,その他,33,33,33,33
05 秋田県,イベント,17,38,61,21
06 山形県,自然,35,39,39,39
06 山形県,歴史・文化,72,78,78,78
06 山形県,温泉・健康,45,49,49,49
06 山形県,スポーツ・レク,62,68,68,68
06 山形県,都市型観光,22,30,30,30
06 山形県,その他,25,29,29,29
06 山形県,イベント,16,31,45,19
07 福島県,自然,49,49,49,49
07 福島県,歴史・文化,78,78,78,78
07 福島県,温泉・健康,49,49,49,49
07 福島県,スポーツ・レク,76,76,76,76
07 福島県,都市型観光,17,17,17,17
07 福島県,その他,25,25,25,25
07 福島県,イベント,13,10,47,21
08 茨城県,自然,15,15,15,15
08 茨城県,歴史・文化,51,51,51,51
08 茨城県,温泉・健康,13,13,13,13
08 茨城県,スポーツ・レク,52,52,52,52
08 茨城県,都市型観光,11,11,11,11
08 茨城県,その他,6,6,6,6
08 茨城県,イベント,20,26,57,41
09 栃木県,自然,38,38,38,38
09 栃木県,歴史・文化,85,88,88,88
09 栃木県,温泉・健康,28,30,30,30
09 栃木県,スポーツ・レク,122,128,128,128
