都道府県,観光地数・イベント数,1,2,3,4
01 北海道,自然,106,107,108,108
01 北海道,歴史・文化,147,149,149,151
01 北海道,温泉・健康,139,141,141,142
01 北海道,スポーツ・レク,262,261,261,262
01 北海道,都市型観光,74,74,75,76
01 北海道,その他,103,106,106,106
01 北海道,イベント,39,56,177,42
02 青森県,自然,46,46,46,46
02 青森県,歴史・文化,60,60,60,60
02 青森県,温泉・健康,45,45,45,45
02 青森県,スポーツ・レク,72,72,72,72
02 青森県,都市型観光,52,52,52,52
02 青森県,その他,26,26,25,25
02 青森県,イベント,9,30,71,25
03 岩手県,自然,34,35,35,36
03 岩手県,歴史・文化,59,60,60,61
03 岩手県,温泉・健康,75,73,73,73
03 岩手県,スポーツ・レク,54,56,57,57
03 岩手県,都市型観光,26,26,26,25
03 岩手県,その他,21,21,21,21
03 岩手県,イベント,11,30,63,37
04 宮城県,自然,32,32,34,34
04 宮城県,歴史・文化,82,82,84,84
04 宮城県,温泉・健康,37,37,36,36
04 宮城県,スポーツ・レク,61,61,62,62
04 宮城県,都市型観光,48,48,48,48
04 宮城県,その他,30,30,33,33
04 宮城県,イベント,19,35,55,37
05 秋田県,自然,33,34,34,34
05 秋田県,歴史・文化,48,48,48,48
05 秋田県,温泉・健康,62,62,62,62
05 秋田県,スポーツ・レク,67,67,67,67
05 秋田県,都市型観光,19,19,19,19
05 秋田県,その他,34,34,34,34
05 秋田県,イベント,17,38,64,21
06 山形県,自然,38,38,39,41
06 山形県,歴史・文化,75,75,75,77
06 山形県,温泉・健康,48,48,48,48
06 山形県,スポーツ・レク,61,61,64,65
06 山形県,都市型観光,26,26,26,28
06 山形県,その他,30,30,30,31
06 山形県,イベント,14,33,45,19
07 福島県,自然,57,49,50,48
07 福島県,歴史・文化,80,70,73,72
07 福島県,温泉・健康,55,49,49,49
07 福島県,スポーツ・レク,97,76,77,76
07 福島県,都市型観光,16,13,15,15
07 福島県,その他,29,25,26,26
07 福島県,イベント,16,10,46,24
08 茨城県,自然,16,16,16,20
08 茨城県,歴史・文化,50,50,50,50
08 茨城県,温泉・健康,14,14,14,14
08 茨城県,スポーツ・レク,51,51,51,51
08 茨城県,都市型観光,9,9,9,9
08 茨城県,その他,19,19,19,19
08 茨城県,イベント,25,32,33,33
09 栃木県,自然,37,35,35,35
09 栃木県,歴史・文化,92,90,90,90
09 栃木県,温泉・健康,32,27,27,27
09 栃木県,スポーツ・レク,128,124,124,124
09 栃木県,都市型観光,16,19,19,19
09 栃木県,その他,31,31,31,31
09 栃木県,イベント,15,28,43,36
10 群馬県,自然,55,55,56,55
10 群馬県,歴史・文化,96,96,96,96
10 群馬県,温泉・健康,81,81,81,81
10 群馬県,スポーツ・レク,119,119,119,119
10 群馬県,都市型観光,27,27,27,27
10 群馬県,その他,20,21,21,21
10 群馬県,イベント,31,38,68,53
11 埼玉県,自然,45,45,45,45
11 埼玉県,歴史・文化,113,113,113,113
11 埼玉県,温泉・健康,33,33,33,33
11 埼玉県,スポーツ・レク,165,165,165,165
11 埼玉県,都市型観光,46,46,46,46
11 埼玉県,その他,23,23,23,23
11 埼玉県,イベント,77,110,119,153
12 千葉県,自然,33,33,33,33
12 千葉県,歴史・文化,138,138,138,138
12 千葉県,温泉・健康,24,24,24,24
12 千葉県,スポーツ・レク,296,296,296,296
12 千葉県,都市型観光,23,23,23,23
12 千葉県,その他,32,32,32,32
12 千葉県,イベント,53,64,88,83
13 東京都,自然,6,6,6,6
13 東京都,歴史・文化,325,325,325,325
13 東京都,温泉・健康,35,35,35,35
13 東京都,スポーツ・レク,170,170,170,170
13 東京都,都市型観光,93,93,93,93
13 東京都,その他,25,25,25,25
13 東京都,イベント,103,97,140,152
14 神奈川県,自然,40,40,40,40
14 神奈川県,歴史・文化,135,135,135,135
14 神奈川県,温泉・健康,10,10,10,10
14 神奈川県,スポーツ・レク,96,96,96,96
14 神奈川県,都市型観光,7,7,7,7
14 神奈川県,その他,41,41,41,41
14 神奈川県,イベント,46,78,86,73
15 新潟県,自然,72,72,72,72
15 新潟県,歴史・文化,160,160,160,160
15 新潟県,温泉・健康,109,109,109,109
15 新潟県,スポーツ・レク,241,241,241,241
15 新潟県,都市型観光,62,62,62,62
15 新潟県,その他,34,34,34,34
15 新潟県,イベント,67,114,148,88
16 富山県,自然,26,26,26,26
16 富山県,歴史・文化,74,74,74,74
16 富山県,温泉・健康,23,23,23,23
16 富山県,スポーツ・レク,49,49,49,49
16 富山県,都市型観光,7,7,7,7
16 富山県,その他,18,18,18,18
16 富山県,イベント,23,41,53,24
19 山梨県,自然,16,16,16,16
19 山梨県,歴史・文化,83,83,83,83
19 山梨県,温泉・健康,59,59,59,59
19 山梨県,スポーツ・レク,86,86,86,86
19 山梨県,都市型観光,33,33,33,33
19 山梨県,その他,18,18,18,18
19 山梨県,イベント,7,28,26,25
20 長野県,自然,32,45,61,64
20 長野県,歴史・文化,34,56,69,76
20 長野県,温泉・健康,63,68,73,81
20 長野県,スポーツ・レク,78,73,92,95
20 長野県,都市型観光,10,14,15,15
