都道府県,観光地数・イベント数,1,2,3,4
24 三重県,温泉・健康,28,28,29,29
24 三重県,スポーツ・レク,129,129,130,130
24 三重県,都市型観光,23,23,24,24
24 三重県,その他,27,27,29,29
24 三重県,イベント,8,20,35,23
25 滋賀県,自然,21,21,21,21
25 滋賀県,歴史・文化,111,111,111,111
25 滋賀県,温泉・健康,21,21,21,21
25 滋賀県,スポーツ・レク,114,114,114,114
25 滋賀県,都市型観光,28,28,28,28
25 滋賀県,その他,59,59,59,59
25 滋賀県,イベント,9,28,34,25
26 京都府,自然,14,14,14,14
26 京都府,歴史・文化,76,76,76,76
26 京都府,温泉・健康,19,19,19,19
26 京都府,スポーツ・レク,77,77,77,77
26 京都府,都市型観光,8,8,8,8
26 京都府,その他,19,19,19,19
26 京都府,イベント,5,8,15,17
28 兵庫県,自然,77,79,79,79
28 兵庫県,歴史・文化,291,294,294,292
28 兵庫県,温泉・健康,73,74,74,74
28 兵庫県,スポーツ・レク,352,362,362,352
28 兵庫県,都市型観光,43,44,44,44
28 兵庫県,その他,95,99,99,98
28 兵庫県,イベント,45,70,77,117
29 奈良県,自然,25,25,25,25
29 奈良県,歴史・文化,94,94,94,94
29 奈良県,温泉・健康,27,27,27,27
29 奈良県,スポーツ・レク,22,22,22,22
29 奈良県,都市型観光,5,5,5,5
29 奈良県,その他,32,32,32,32
29 奈良県,イベント,15,14,21,20
30 和歌山県,自然,19,19,20,20
30 和歌山県,歴史・文化,39,40,40,41
30 和歌山県,温泉・健康,12,12,12,12
30 和歌山県,スポーツ・レク,31,32,32,33
30 和歌山県,都市型観光,6,6,6,6
30 和歌山県,その他,13,10,10,10
30 和歌山県,イベント,8,7,17,17
31 鳥取県,自然,10,10,10,10
31 鳥取県,歴史・文化,36,36,36,36
31 鳥取県,温泉・健康,19,19,19,19
31 鳥取県,スポーツ・レク,27,27,27,27
31 鳥取県,都市型観光,17,17,17,17
31 鳥取県,その他,22,22,22,22
31 鳥取県,イベント,5,9,18,5
32 島根県,自然,18,18,18,18
32 島根県,歴史・文化,74,74,74,75
32 島根県,温泉・健康,24,24,24,24
32 島根県,スポーツ・レク,37,37,37,38
32 島根県,都市型観光,10,10,10,10
32 島根県,その他,19,19,19,20
32 島根県,イベント,5,9,13,12
33 岡山県,自然,17,17,17,17
33 岡山県,歴史・文化,107,107,107,107
33 岡山県,温泉・健康,29,29,29,29
33 岡山県,スポーツ・レク,63,63,63,63
33 岡山県,都市型観光,45,45,45,45
33 岡山県,その他,28,28,28,28
33 岡山県,イベント,20,27,40,46
34 広島県,自然,23,23,23,23
34 広島県,歴史・文化,89,89,89,90
34 広島県,温泉・健康,30,30,30,30
34 広島県,スポーツ・レク,94,95,95,95
34 広島県,都市型観光,17,17,18,18
34 広島県,その他,29,28,30,30
34 広島県,イベント,20,27,42,37
35 山口県,自然,34,34,34,34
35 山口県,歴史・文化,77,77,77,77
35 山口県,温泉・健康,32,32,32,32
35 山口県,スポーツ・レク,65,65,65,65
35 山口県,都市型観光,5,5,5,5
35 山口県,その他,42,42,42,42
35 山口県,イベント,15,39,29,38
36 徳島県,自然,16,16,16,16
36 徳島県,歴史・文化,50,50,50,50
36 徳島県,温泉・健康,20,20,20,20
36 徳島県,スポーツ・レク,34,34,34,34
36 徳島県,都市型観光,21,21,21,21
36 徳島県,その他,6,6,6,6
36 徳島県,イベント,11,20,23,17
37 香川県,自然,9,9,9,9
37 香川県,歴史・文化,59,59,59,59
37 香川県,温泉・健康,18,18,18,18
37 香川県,スポーツ・レク,50,50,50,50
37 香川県,都市型観光,12,12,12,12
37 香川県,その他,8,8,8,8
37 香川県,イベント,4,7,19,8
38 愛媛県,自然,44,44,44,44
38 愛媛県,歴史・文化,64,64,64,64
38 愛媛県,温泉・健康,26,26,26,26
38 愛媛県,スポーツ・レク,37,37,37,37
38 愛媛県,都市型観光,29,29,29,29
38 愛媛県,その他,28,28,28,28
38 愛媛県,イベント,7,15,38,21
39 高知県,自然,15,15,15,15
39 高知県,歴史・文化,27,27,27,27
39 高知県,温泉・健康,13,13,13,13
39 高知県,スポーツ・レク,28,28,28,28
39 高知県,都市型観光,23,23,23,23
39 高知県,その他,18,18,18,18
39 高知県,イベント,6,9,22,10
40 福岡県,自然,36,36,36,36
40 福岡県,歴史・文化,135,135,135,135
40 福岡県,温泉・健康,31,31,31,31
40 福岡県,スポーツ・レク,89,89,89,89
40 福岡県,都市型観光,72,72,72,72
40 福岡県,その他,44,44,44,44
40 福岡県,イベント,35,40,45,59
41 佐賀県,自然,10,10,14,14
41 佐賀県,歴史・文化,34,34,33,33
41 佐賀県,温泉・健康,16,16,16,16
41 佐賀県,スポーツ・レク,33,33,40,40
41 佐賀県,都市型観光,27,27,27,27
41 佐賀県,その他,10,10,9,9
41 佐賀県,イベント,12,10,25,26
43 熊本県,自然,24,24,24,24
43 熊本県,歴史・文化,75,75,75,75
43 熊本県,温泉・健康,44,44,44,44
43 熊本県,スポーツ・レク,78,78,78,78
43 熊本県,都市型観光,60,59,59,59
43 熊本県,その他,26,26,26,26
43 熊本県,イベント,43,15,38,48
44 大分県,自然,37,37,37,37
44 大分県,歴史・文化,88,88,88,88
44 大分県,温泉・健康,48,48,48,48
44 大分県,スポーツ・レク,73,73,73,73
44 大分県,都市型観光,16,16,16,16
44 大分県,その他,42,42,42,42
44 大分県,イベント,12,17,35,27
45 宮崎県,自然,18,18,18,18
45 宮崎県,歴史・文化,56,56,56,56
45 宮崎県,温泉・健康,26,26,26,26
45 宮崎県,スポーツ・レク,81,81,81,81
45 宮崎県,都市型観光,10,10,10,10
45 宮崎県,その他,21,21,21,21
45 宮崎県,イベント,13,14,30,32
46 鹿児島県,自然,38,38,38,38
46 鹿児島県,歴史・文化,66,66,66,66
46 鹿児島県,温泉・健康,48,48,48,48
46 鹿児島県,スポーツ・レク,99,99,99,99
46 鹿児島県,都市型観光,41,41,41,41
46 鹿児島県,その他,16,16,16,16
46 鹿児島県,イベント,23,20,40,34
