都道府県,観光地数・イベント数,1,2,3,4
08 茨城県,その他,21,21,21,21
08 茨城県,イベント,33,39,67,52
09 栃木県,自然,39,39,39,39
09 栃木県,歴史・文化,103,103,103,103
09 栃木県,温泉・健康,32,32,32,32
09 栃木県,スポーツ・レク,138,138,138,138
09 栃木県,都市型観光,20,20,20,20
09 栃木県,その他,37,37,37,37
09 栃木県,イベント,17,31,40,34
10 群馬県,自然,54,54,54,51
10 群馬県,歴史・文化,98,98,98,85
10 群馬県,温泉・健康,79,79,79,74
10 群馬県,スポーツ・レク,114,114,114,111
10 群馬県,都市型観光,29,29,29,29
10 群馬県,その他,25,25,25,24
10 群馬県,イベント,35,48,73,60
11 埼玉県,自然,49,49,49,49
11 埼玉県,歴史・文化,125,125,125,125
11 埼玉県,温泉・健康,30,30,30,30
11 埼玉県,スポーツ・レク,180,180,180,180
11 埼玉県,都市型観光,51,51,51,51
11 埼玉県,その他,25,25,25,25
11 埼玉県,イベント,97,139,124,173
12 千葉県,自然,32,32,32,32
12 千葉県,歴史・文化,138,138,138,138
12 千葉県,温泉・健康,26,26,26,26
12 千葉県,スポーツ・レク,290,290,290,290
12 千葉県,都市型観光,28,28,28,28
12 千葉県,その他,34,34,34,34
12 千葉県,イベント,57,68,94,86
13 東京都,自然,9,9,9,9
13 東京都,歴史・文化,303,303,303,303
13 東京都,温泉・健康,35,35,35,35
13 東京都,スポーツ・レク,174,174,174,174
13 東京都,都市型観光,93,93,93,93
13 東京都,その他,28,28,28,28
13 東京都,イベント,85,107,132,131
14 神奈川県,自然,40,40,40,40
14 神奈川県,歴史・文化,137,137,137,137
14 神奈川県,温泉・健康,11,11,11,11
14 神奈川県,スポーツ・レク,102,102,102,102
14 神奈川県,都市型観光,8,8,8,8
14 神奈川県,その他,43,43,43,43
14 神奈川県,イベント,43,73,90,58
15 新潟県,自然,68,68,68,68
15 新潟県,歴史・文化,161,161,161,161
15 新潟県,温泉・健康,110,110,110,110
15 新潟県,スポーツ・レク,239,239,239,239
15 新潟県,都市型観光,58,58,58,58
15 新潟県,その他,33,33,33,33
15 新潟県,イベント,66,108,140,83
16 富山県,自然,26,26,26,26
16 富山県,歴史・文化,76,76,76,76
16 富山県,温泉・健康,20,20,20,20
16 富山県,スポーツ・レク,43,43,43,43
16 富山県,都市型観光,8,8,8,8
16 富山県,その他,18,18,18,18
16 富山県,イベント,20,37,49,23
18 福井県,自然,26,26,26,26
18 福井県,歴史・文化,91,91,91,91
18 福井県,温泉・健康,23,23,23,23
18 福井県,スポーツ・レク,62,62,62,62
18 福井県,都市型観光,18,18,18,18
18 福井県,その他,13,13,13,13
18 福井県,イベント,5,17,20,13
19 山梨県,自然,19,19,19,19
19 山梨県,歴史・文化,89,89,89,89
19 山梨県,温泉・健康,61,61,61,61
19 山梨県,スポーツ・レク,87,87,87,87
19 山梨県,都市型観光,31,31,31,31
19 山梨県,その他,22,22,22,22
19 山梨県,イベント,9,29,30,21
20 長野県,自然,62,62,62,62
20 長野県,歴史・文化,78,78,78,78
20 長野県,温泉・健康,79,79,79,79
20 長野県,スポーツ・レク,94,94,94,94
20 長野県,都市型観光,17,17,17,17
20 長野県,その他,27,27,27,27
20 長野県,イベント,13,25,53,24
21 岐阜県,自然,41,41,41,41
21 岐阜県,歴史・文化,96,96,96,96
21 岐阜県,温泉・健康,55,55,55,55
21 岐阜県,スポーツ・レク,157,157,157,157
21 岐阜県,都市型観光,29,29,29,29
21 岐阜県,その他,55,55,55,55
21 岐阜県,イベント,22,57,63,70
23 愛知県,自然,30,30,30,30
23 愛知県,歴史・文化,142,142,142,142
23 愛知県,温泉・健康,21,21,21,21
23 愛知県,スポーツ・レク,133,133,133,133
23 愛知県,都市型観光,35,35,35,35
23 愛知県,その他,18,18,18,18
23 愛知県,イベント,32,60,60,61
24 三重県,自然,34,34,34,34
24 三重県,歴史・文化,72,72,72,72
24 三重県,温泉・健康,27,27,27,27
24 三重県,スポーツ・レク,128,128,128,128
24 三重県,都市型観光,23,23,23,23
24 三重県,その他,28,28,28,28
24 三重県,イベント,10,22,30,27
25 滋賀県,自然,19,21,21,21
25 滋賀県,歴史・文化,107,112,112,112
25 滋賀県,温泉・健康,21,22,22,22
25 滋賀県,スポーツ・レク,115,120,120,120
25 滋賀県,都市型観光,29,33,33,33
25 滋賀県,その他,59,62,62,62
25 滋賀県,イベント,13,32,33,27
26 京都府,自然,14,14,14,14
26 京都府,歴史・文化,76,76,76,76
26 京都府,温泉・健康,18,18,18,18
26 京都府,スポーツ・レク,74,74,74,74
26 京都府,都市型観光,7,7,7,7
26 京都府,その他,19,19,19,19
26 京都府,イベント,15,15,15,15
29 奈良県,自然,25,25,25,25
29 奈良県,歴史・文化,95,95,95,95
29 奈良県,温泉・健康,27,27,27,27
29 奈良県,スポーツ・レク,23,23,23,23
29 奈良県,都市型観光,4,4,4,4
29 奈良県,その他,33,33,33,33
29 奈良県,イベント,15,12,18,18
30 和歌山県,自然,18,19,20,20
30 和歌山県,歴史・文化,39,40,41,41
30 和歌山県,温泉・健康,11,12,13,13
30 和歌山県,スポーツ・レク,30,33,33,33
30 和歌山県,都市型観光,6,6,6,6
30 和歌山県,その他,10,10,10,10
30 和歌山県,イベント,7,7,17,15
31 鳥取県,自然,10,10,10,10
31 鳥取県,歴史・文化,36,36,36,36
31 鳥取県,温泉・健康,19,19,19,19
31 鳥取県,スポーツ・レク,27,27,27,28
31 鳥取県,都市型観光,17,17,17,17
31 鳥取県,その他,22,22,22,22
31 鳥取県,イベント,5,6,5,2
32 島根県,自然,18,18,18,18
32 島根県,歴史・文化,74,74,74,76
32 島根県,温泉・健康,23,23,23,23
32 島根県,スポーツ・レク,36,36,36,36
32 島根県,都市型観光,11,11,11,11
32 島根県,その他,20,20,20,20
32 島根県,イベント,5,9,13,10
33 岡山県,自然,18,18,18,18
33 岡山県,歴史・文化,106,106,106,106
33 岡山県,温泉・健康,28,28,28,28
33 岡山県,スポーツ・レク,66,66,66,66
33 岡山県,都市型観光,45,45,45,45
33 岡山県,その他,25,25,25,25
33 岡山県,イベント,19,28,34,39
34 広島県,自然,22,22,23,23
34 広島県,歴史・文化,90,90,90,90
34 広島県,温泉・健康,30,30,30,30
34 広島県,スポーツ・レク,97,97,97,97
34 広島県,都市型観光,17,17,17,17
34 広島県,その他,30,30,30,30
34 広島県,イベント,19,32,38,34
35 山口県,自然,33,33,33,33
35 山口県,歴史・文化,82,82,82,82
35 山口県,温泉・健康,31,31,31,31
35 山口県,スポーツ・レク,67,67,67,67
35 山口県,都市型観光,6,6,6,6
35 山口県,その他,45,45,45,45
35 山口県,イベント,19,39,37,41
36 徳島県,自然,16,16,16,16
36 徳島県,歴史・文化,39,39,39,39
36 徳島県,温泉・健康,20,20,20,20
36 徳島県,スポーツ・レク,32,32,32,32
36 徳島県,都市型観光,21,21,21,21
36 徳島県,その他,6,6,6,6
36 徳島県,イベント,11,18,20,13
37 香川県,自然,9,9,9,9
37 香川県,歴史・文化,61,61,61,61
37 香川県,温泉・健康,18,18,18,18
37 香川県,スポーツ・レク,52,52,52,52
37 香川県,都市型観光,11,11,11,11
37 香川県,その他,9,9,9,9
37 香川県,イベント,5,9,21,9
38 愛媛県,自然,44,44,44,44
38 愛媛県,歴史・文化,64,64,64,64
38 愛媛県,温泉・健康,26,26,26,26
38 愛媛県,スポーツ・レク,37,37,37,37
38 愛媛県,都市型観光,29,29,29,29
38 愛媛県,その他,28,28,28,28
38 愛媛県,イベント,8,16,35,20
40 福岡県,自然,42,42,42,42
40 福岡県,歴史・文化,154,154,154,154
40 福岡県,温泉・健康,32,32,32,32
40 福岡県,スポーツ・レク,104,104,104,104
40 福岡県,都市型観光,66,66,66,66
40 福岡県,その他,36,36,36,36
40 福岡県,イベント,35,51,45,62
41 佐賀県,自然,14,14,13,13
41 佐賀県,歴史・文化,32,32,33,33
41 佐賀県,温泉・健康,15,15,17,17
41 佐賀県,スポーツ・レク,34,34,41,41
41 佐賀県,都市型観光,27,27,27,27
41 佐賀県,その他,9,9,9,9
41 佐賀県,イベント,13,9,27,22
43 熊本県,自然,24,24,24,24
43 熊本県,歴史・文化,71,71,71,71
43 熊本県,温泉・健康,44,44,44,44
43 熊本県,スポーツ・レク,76,76,76,76
43 熊本県,都市型観光,58,58,58,58
43 熊本県,その他,26,26,26,26
43 熊本県,イベント,39,24,46,53
44 大分県,自然,37,37,37,37
44 大分県,歴史・文化,93,93,93,93
44 大分県,温泉・健康,49,49,49,49
44 大分県,スポーツ・レク,74,74,74,74
44 大分県,都市型観光,16,16,16,16
44 大分県,その他,44,44,44,44
44 大分県,イベント,13,19,32,26
45 宮崎県,自然,18,18,18,18
45 宮崎県,歴史・文化,56,56,56,56
45 宮崎県,温泉・健康,27,27,27,27
45 宮崎県,スポーツ・レク,78,78,78,78
45 宮崎県,都市型観光,10,10,10,10
45 宮崎県,その他,23,23,23,23
45 宮崎県,イベント,24,18,36,34
