都道府県,観光地数・イベント数,1,2,3,4
01 北海道,自然,111,111,111,112
01 北海道,歴史・文化,147,146,149,152
01 北海道,温泉・健康,146,146,147,148
01 北海道,スポーツ・レク,260,264,269,271
01 北海道,都市型観光,79,78,78,83
01 北海道,その他,113,113,114,114
01 北海道,イベント,40,56,194,42
02 青森県,自然,35,37,37,37
02 青森県,歴史・文化,46,60,58,58
02 青森県,温泉・健康,40,43,45,45
02 青森県,スポーツ・レク,64,71,71,71
02 青森県,都市型観光,46,54,52,52
02 青森県,その他,24,30,28,28
02 青森県,イベント,9,30,71,24
03 岩手県,自然,38,38,38,38
03 岩手県,歴史・文化,65,65,65,65
03 岩手県,温泉・健康,73,73,73,73
03 岩手県,スポーツ・レク,53,53,53,53
03 岩手県,都市型観光,27,27,27,27
03 岩手県,その他,25,25,25,25
03 岩手県,イベント,11,31,60,38
04 宮城県,自然,36,36,36,36
04 宮城県,歴史・文化,80,80,80,80
04 宮城県,温泉・健康,36,36,36,36
04 宮城県,スポーツ・レク,66,65,65,65
04 宮城県,都市型観光,53,53,53,53
04 宮城県,その他,32,31,31,31
04 宮城県,イベント,20,37,61,43
05 秋田県,自然,28,28,28,28
05 秋田県,歴史・文化,52,52,52,52
05 秋田県,温泉・健康,61,61,61,61
05 秋田県,スポーツ・レク,68,68,68,68
05 秋田県,都市型観光,20,20,20,20
05 秋田県,その他,33,33,33,33
05 秋田県,イベント,18,40,66,20
06 山形県,自然,39,39,39,38
06 山形県,歴史・文化,76,76,76,77
06 山形県,温泉・健康,50,50,50,48
06 山形県,スポーツ・レク,68,68,68,69
06 山形県,都市型観光,28,29,29,32
06 山形県,その他,34,35,35,34
06 山形県,イベント,15,17,19,6
07 福島県,自然,45,45,45,45
07 福島県,歴史・文化,80,80,80,80
07 福島県,温泉・健康,48,48,48,48
07 福島県,スポーツ・レク,69,69,69,69
07 福島県,都市型観光,15,15,15,15
07 福島県,その他,31,31,31,31
07 福島県,イベント,15,20,53,26
08 茨城県,自然,15,15,15,15
08 茨城県,歴史・文化,52,52,52,52
08 茨城県,温泉・健康,17,17,17,17
08 茨城県,スポーツ・レク,58,58,58,58
08 茨城県,都市型観光,12,12,12,12
