都道府県,県内_宿泊,県内_日帰り,県外_宿泊,県外_日帰り,消費額
埼玉県,78,13711,186,8928,79985
千葉県,508,6134,2721,7915,252013
東京都,890,60517,1917,54552,877519
神奈川県,1153,11192,2384,16934,208491
新潟県,640,4113,984,4484,103222
富山県,136,1090,192,767,14792
石川県,298,1087,593,1480,44368
山梨県,142,1352,776,3073,58815
長野県,468,3179,1759,2145,125582
岐阜県,189,2089,553,4556,45828
静岡県,530,4085,2309,6576,116088
愛知県,528,15197,702,4923,90192
三重県,222,3004,995,3833,76052
京都府,223,4824,1253,8039,109921
兵庫県,518,8712,1049,5951,119790
奈良県,42,1316,228,3468,25155
和歌山県,104,629,510,947,34482
鳥取県,59,410,295,643,14099
島根県,81,621,218,1445,16526
岡山県,78,902,260,1069,16867
広島県,219,2193,389,879,24230
山口県,91,1881,236,1047,21058
香川県,50,770,282,3143,27042
愛媛県,73,1817,291,644,19772
高知県,119,413,257,305,14672
福岡県,376,17523,489,8146,239615
佐賀県,62,999,231,3540,51003
長崎県,123,1354,537,1096,50742
熊本県,188,2836,507,1474,68743
大分県,183,1927,599,1992,33770
宮崎県,95,2079,177,1143,25691
鹿児島県,178,2335,506,324,35065
北海道,1460,10776,765,9,138119
青森県,160,1877,320,849,31338
岩手県,224,997,372,461,26590
宮城県,361,3428,557,948,37781
秋田県,106,1206,230,1148,24886
山形県,232,1372,411,2599,45955
福島県,334,1260,698,931,39281
茨城県,141,3911,283,5362,58760
栃木県,346,4713,1365,6217,100742
群馬県,299,3662,1175,3106,51633
埼玉県,103,17316,207,9838,95034
千葉県,534,9081,2517,9806,203830
東京都,786,56905,1998,53600,907976
神奈川県,660,10505,1441,13641,168815
新潟県,340,5009,637,960,22313
富山県,117,539,270,923,14224
長野県,361,1396,1722,7016,123644
岐阜県,184,3343,539,6148,55001
静岡県,506,6801,2232,7949,170717
愛知県,734,13400,567,5901,119221
三重県,302,3753,832,2680,79895
滋賀県,105,968,576,3297,36258
京都府,337,4114,1528,8514,131604
兵庫県,522,5355,948,9738,162116
奈良県,84,1127,395,3909,35105
和歌山県,98,174,646,1049,25256
鳥取県,76,615,341,1266,18289
島根県,85,617,271,1531,18022
岡山県,141,1290,328,1142,23752
広島県,267,2860,497,939,30843
山口県,238,2065,312,1230,20106
香川県,77,609,338,1951,29873
愛媛県,79,2305,343,832,23972
高知県,61,464,271,622,15035
福岡県,235,16584,484,3742,215623
佐賀県,76,1091,427,2559,59177
長崎県,129,772,626,661,29859
熊本県,240,3074,623,2600,73651
