都道府県,県内_宿泊,県内_日帰り,県外_宿泊,県外_日帰り,消費額単価
埼玉県,78,13711,186,8928,35505
千葉県,508,6134,2721,7915,79417
東京都,890,60517,1917,54552,83508
神奈川県,1153,11192,2384,16934,52347
新潟県,640,4113,984,4484,56316
富山県,136,1090,192,767,41468
石川県,298,1087,593,1480,64239
山梨県,142,1352,776,3073,61936
長野県,468,3179,1759,2145,72921
岐阜県,189,2089,553,4556,69462
静岡県,530,4085,2309,6576,47023
愛知県,528,15197,702,4923,28536
三重県,222,3004,995,3833,57376
京都府,223,4824,1253,8039,63273
兵庫県,518,8712,1049,5951,79052
奈良県,42,1316,228,3468,41954
和歌山県,104,629,510,947,72220
鳥取県,59,410,295,643,51680
島根県,81,621,218,1445,46898
岡山県,78,902,260,1069,50148
広島県,219,2193,389,879,47370
山口県,91,1881,236,1047,61617
香川県,50,770,282,3143,40166
愛媛県,73,1817,291,644,47780
高知県,119,413,257,305,63795
福岡県,376,17523,489,8146,83894
佐賀県,62,999,231,3540,61626
長崎県,123,1354,537,1096,83172
熊本県,188,2836,507,1474,77684
大分県,183,1927,599,1992,53556
宮崎県,95,2079,177,1143,52343
鹿児島県,178,2335,506,324,73103
北海道,1460,10776,765,9,113660
青森県,160,1877,320,849,68962
岩手県,224,997,372,461,67668
宮城県,361,3428,557,948,51900
秋田県,106,1206,230,1148,76936
山形県,232,1372,411,2599,66156
福島県,334,1260,698,931,62771
茨城県,141,3911,283,5362,47234
栃木県,346,4713,1365,6217,55473
群馬県,299,3662,1175,3106,43308
埼玉県,103,17316,207,9838,38692
千葉県,534,9081,2517,9806,61662
東京都,786,56905,1998,53600,90051
神奈川県,660,10505,1441,13641,56705
新潟県,340,5009,637,960,31409
富山県,117,539,270,923,43772
長野県,361,1396,1722,7016,75822
岐阜県,184,3343,539,6148,62490
静岡県,506,6801,2232,7949,49620
愛知県,734,13400,567,5901,59931
三重県,302,3753,832,2680,53065
滋賀県,105,968,576,3297,38068
京都府,337,4114,1528,8514,63826
兵庫県,522,5355,948,9738,89208
奈良県,84,1127,395,3909,62732
和歌山県,98,174,646,1049,57740
鳥取県,76,615,341,1266,60590
島根県,85,617,271,1531,53308
岡山県,141,1290,328,1142,50699
広島県,267,2860,497,939,45685
山口県,238,2065,312,1230,38562
香川県,77,609,338,1951,55002
愛媛県,79,2305,343,832,47205
高知県,61,464,271,622,54172
福岡県,235,16584,484,3742,69321
佐賀県,76,1091,427,2559,66646
長崎県,129,772,626,661,65650
熊本県,240,3074,623,2600,74959
大分県,140,1916,592,1654,54507
宮崎県,157,1507,171,784,52173
鹿児島県,233,2167,503,470,83085
北海道,1741,14556,1222,79,141155
青森県,195,2301,494,1215,60365
岩手県,245,986,524,861,56379
宮城県,659,3762,806,1397,46633
秋田県,118,1613,511,1095,61436
山形県,291,1968,650,2387,55635
福島県,496,1594,925,2016,64507
茨城県,139,4110,427,3699,40938
栃木県,377,3190,1923,5169,53602
群馬県,370,2763,1453,2708,45813
埼玉県,124,18108,252,9152,27888
千葉県,579,8903,2834,9160,73450
東京都,1127,61665,2641,54875,90451
神奈川県,685,6648,1487,9490,61183
新潟県,395,5027,1316,1180,90590
富山県,261,2979,499,1260,55358
山梨県,168,2336,1686,3967,47569
長野県,543,2342,3543,5138,73990
岐阜県,219,4403,796,6560,62294
