都道府県,目的,地点数,客数
石川県,温泉・健康,26,1446
石川県,スポーツ・レク,74,1188
石川県,都市型観光,16,4944
石川県,イベント,17,171
山梨県,自然,17,1450
山梨県,歴史・文化,92,2012
山梨県,温泉・健康,59,1344
山梨県,スポーツ・レク,89,2095
山梨県,都市型観光,31,982
山梨県,イベント,25,827
長野県,自然,63,1411
長野県,歴史・文化,75,3710
長野県,温泉・健康,84,3382
長野県,スポーツ・レク,100,2046
長野県,都市型観光,15,2505
長野県,イベント,28,1628
岐阜県,自然,37,617
岐阜県,歴史・文化,93,4106
岐阜県,温泉・健康,55,2096
岐阜県,スポーツ・レク,151,3016
岐阜県,都市型観光,23,2614
岐阜県,イベント,77,2822
静岡県,自然,46,3224
静岡県,歴史・文化,187,4817
静岡県,温泉・健康,46,903
静岡県,スポーツ・レク,273,5129
静岡県,都市型観光,38,5133
静岡県,イベント,110,6510
愛知県,自然,37,2160
愛知県,歴史・文化,143,7830
愛知県,温泉・健康,21,833
愛知県,スポーツ・レク,139,6721
愛知県,都市型観光,44,6793
愛知県,イベント,72,7477
三重県,自然,36,498
三重県,歴史・文化,72,4160
三重県,温泉・健康,29,1630
三重県,スポーツ・レク,134,5792
三重県,都市型観光,23,1024
三重県,イベント,21,1082
滋賀県,自然,13,177
滋賀県,歴史・文化,78,2124
滋賀県,温泉・健康,20,328
滋賀県,スポーツ・レク,83,1690
滋賀県,都市型観光,23,768
滋賀県,イベント,20,588
京都府,自然,18,344
京都府,歴史・文化,83,15260
京都府,温泉・健康,18,564
京都府,スポーツ・レク,73,1957
京都府,都市型観光,7,295
京都府,イベント,20,644
兵庫県,自然,89,956
兵庫県,歴史・文化,292,5998
兵庫県,温泉・健康,74,1916
兵庫県,スポーツ・レク,362,7747
兵庫県,都市型観光,44,4969
兵庫県,イベント,125,8880
奈良県,自然,25,1063
奈良県,歴史・文化,92,5492
奈良県,温泉・健康,24,354
奈良県,スポーツ・レク,19,194
奈良県,都市型観光,5,162
奈良県,イベント,17,728
和歌山県,自然,13,153
和歌山県,歴史・文化,31,1135
和歌山県,温泉・健康,13,160
和歌山県,スポーツ・レク,44,1201
和歌山県,都市型観光,2,56
和歌山県,イベント,13,370
鳥取県,自然,11,389
鳥取県,歴史・文化,39,842
鳥取県,温泉・健康,19,564
鳥取県,スポーツ・レク,35,195
鳥取県,都市型観光,16,1541
鳥取県,イベント,7,200
島根県,自然,17,551
島根県,歴史・文化,69,3395
島根県,温泉・健康,24,678
島根県,スポーツ・レク,36,419
島根県,都市型観光,14,590
島根県,イベント,6,244
岡山県,自然,17,145
岡山県,歴史・文化,100,1234
岡山県,温泉・健康,32,628
岡山県,スポーツ・レク,68,1523
岡山県,都市型観光,36,1099
岡山県,イベント,33,1684
広島県,自然,23,626
広島県,歴史・文化,86,3120
広島県,温泉・健康,30,625
広島県,スポーツ・レク,90,2159
広島県,都市型観光,17,977
広島県,イベント,39,3490
山口県,自然,28,651
山口県,歴史・文化,71,1875
山口県,温泉・健康,31,929
山口県,スポーツ・レク,58,1118
山口県,都市型観光,4,550
山口県,イベント,36,1358
徳島県,自然,20,295
徳島県,歴史・文化,50,1120
徳島県,温泉・健康,24,296
徳島県,スポーツ・レク,47,533
徳島県,都市型観光,30,1025
徳島県,イベント,22,775
香川県,自然,9,418
香川県,歴史・文化,60,2235
香川県,温泉・健康,18,483
香川県,スポーツ・レク,51,1431
香川県,都市型観光,11,865
香川県,イベント,7,302
愛媛県,自然,44,487
愛媛県,歴史・文化,64,1336
愛媛県,温泉・健康,26,761
愛媛県,スポーツ・レク,37,637
愛媛県,都市型観光,29,280
愛媛県,イベント,25,819
高知県,自然,17,198
高知県,歴史・文化,28,458
高知県,温泉・健康,14,147
高知県,スポーツ・レク,25,256
高知県,都市型観光,22,1314
高知県,イベント,10,227
福岡県,自然,36,777
福岡県,歴史・文化,130,6387
福岡県,温泉・健康,35,1079
福岡県,スポーツ・レク,83,2183
福岡県,都市型観光,66,25107
福岡県,イベント,55,2582
佐賀県,自然,13,104
佐賀県,歴史・文化,31,1186
佐賀県,温泉・健康,18,541
佐賀県,スポーツ・レク,35,447
佐賀県,都市型観光,29,2571
佐賀県,イベント,26,2482
長崎県,自然,16,272
長崎県,歴史・文化,62,1900
長崎県,温泉・健康,23,609
長崎県,スポーツ・レク,65,1798
長崎県,都市型観光,12,3028
長崎県,イベント,40,1443
熊本県,自然,25,602
熊本県,歴史・文化,87,2109
熊本県,温泉・健康,42,2138
熊本県,スポーツ・レク,102,1260
熊本県,都市型観光,54,2657
熊本県,イベント,37,1100
大分県,自然,47,509
大分県,歴史・文化,104,3371
大分県,温泉・健康,46,2143
大分県,スポーツ・レク,82,1612
大分県,都市型観光,11,183
大分県,イベント,34,1350
宮崎県,自然,18,432
宮崎県,歴史・文化,59,1382
宮崎県,温泉・健康,26,672
宮崎県,スポーツ・レク,86,1152
宮崎県,都市型観光,10,284
宮崎県,イベント,41,1016
鹿児島県,自然,38,558
鹿児島県,歴史・文化,66,1656
鹿児島県,温泉・健康,48,710
鹿児島県,スポーツ・レク,97,1932
鹿児島県,都市型観光,41,1141
鹿児島県,イベント,41,1121
北海道,自然,106,1323
北海道,歴史・文化,147,3931
北海道,温泉・健康,139,3052
北海道,スポーツ・レク,262,5384
北海道,都市型観光,74,4143
北海道,イベント,39,7308
青森県,自然,46,134
青森県,歴史・文化,60,448
青森県,温泉・健康,45,767
青森県,スポーツ・レク,72,671
青森県,都市型観光,52,2376
青森県,イベント,9,850
岩手県,自然,34,911
岩手県,歴史・文化,59,598
岩手県,温泉・健康,75,1248
岩手県,スポーツ・レク,54,876
岩手県,都市型観光,26,532
岩手県,イベント,11,786
宮城県,自然,32,575
宮城県,歴史・文化,82,3211
宮城県,温泉・健康,37,1311
宮城県,スポーツ・レク,61,883
宮城県,都市型観光,48,1637
宮城県,イベント,19,645
秋田県,自然,33,139
秋田県,歴史・文化,48,244
秋田県,温泉・健康,62,1003
秋田県,スポーツ・レク,67,731
秋田県,都市型観光,19,169
秋田県,イベント,17,1033
山形県,自然,38,241
山形県,歴史・文化,75,1188
山形県,温泉・健康,48,1998
山形県,スポーツ・レク,61,884
山形県,都市型観光,26,590
山形県,イベント,14,876
福島県,自然,57,430
福島県,歴史・文化,80,1690
福島県,温泉・健康,55,1626
福島県,スポーツ・レク,97,3015
福島県,都市型観光,16,1059
福島県,イベント,16,913
茨城県,自然,16,1130
茨城県,歴史・文化,50,2528
茨城県,温泉・健康,14,412
茨城県,スポーツ・レク,51,1836
茨城県,都市型観光,9,1798
茨城県,イベント,25,2868
栃木県,自然,37,1121
栃木県,歴史・文化,92,4025
栃木県,温泉・健康,32,1398
栃木県,スポーツ・レク,128,2424
栃木県,都市型観光,16,2697
栃木県,イベント,15,645
群馬県,自然,55,780
群馬県,歴史・文化,96,2346
群馬県,温泉・健康,81,3780
群馬県,スポーツ・レク,119,3109
群馬県,都市型観光,27,1066
群馬県,イベント,31,1145
埼玉県,自然,45,853
埼玉県,歴史・文化,113,4876
埼玉県,温泉・健康,33,1542
埼玉県,スポーツ・レク,165,2830
埼玉県,都市型観光,46,15682
埼玉県,イベント,77,7446
千葉県,自然,33,1408
千葉県,歴史・文化,138,10475
千葉県,温泉・健康,24,1199
千葉県,スポーツ・レク,296,15238
千葉県,都市型観光,23,5104
千葉県,イベント,53,4650
東京都,自然,6,435
東京都,歴史・文化,325,14787
東京都,温泉・健康,35,7740
東京都,スポーツ・レク,170,34947
東京都,都市型観光,93,194958
東京都,イベント,103,8768
神奈川県,自然,40,5358
神奈川県,歴史・文化,135,22044
神奈川県,温泉・健康,10,231
神奈川県,スポーツ・レク,96,7473
神奈川県,都市型観光,7,906
神奈川県,イベント,46,3890
新潟県,自然,72,419
新潟県,歴史・文化,160,1730
新潟県,温泉・健康,109,2348
新潟県,スポーツ・レク,241,5002
新潟県,都市型観光,62,2373
新潟県,イベント,67,2512
富山県,自然,26,232
富山県,歴史・文化,74,838
富山県,温泉・健康,23,611
富山県,スポーツ・レク,49,994
富山県,都市型観光,7,251
富山県,イベント,23,585
石川県,自然,21,193
石川県,歴史・文化,76,2790
石川県,温泉・健康,26,1190
石川県,スポーツ・レク,69,881
石川県,都市型観光,13,3654
石川県,イベント,9,204
山梨県,自然,16,788
山梨県,歴史・文化,83,1810
山梨県,温泉・健康,59,1258
山梨県,スポーツ・レク,86,1635
山梨県,都市型観光,33,701
山梨県,イベント,7,325
長野県,自然,32,1076
長野県,歴史・文化,34,2366
長野県,温泉・健康,63,3166
長野県,スポーツ・レク,78,4939
長野県,都市型観光,10,1810
長野県,イベント,13,1179
岐阜県,自然,37,299
岐阜県,歴史・文化,96,4453
岐阜県,温泉・健康,56,2345
岐阜県,スポーツ・レク,157,3360
岐阜県,都市型観光,27,2465
岐阜県,イベント,24,529
静岡県,自然,48,3179
静岡県,歴史・文化,180,6352
静岡県,温泉・健康,50,1119
静岡県,スポーツ・レク,284,4204
静岡県,都市型観光,42,4781
静岡県,イベント,75,4390
愛知県,自然,38,1209
愛知県,歴史・文化,139,12569
愛知県,温泉・健康,21,790
愛知県,スポーツ・レク,124,4898
愛知県,都市型観光,44,5085
愛知県,イベント,42,5461
三重県,自然,36,271
三重県,歴史・文化,70,7032
三重県,温泉・健康,29,1574
三重県,スポーツ・レク,130,7386
三重県,都市型観光,23,835
三重県,イベント,9,312
滋賀県,自然,21,84
滋賀県,歴史・文化,112,3236
滋賀県,温泉・健康,21,402
滋賀県,スポーツ・レク,110,1796
滋賀県,都市型観光,29,695
滋賀県,イベント,11,443
京都府,自然,18,152
京都府,歴史・文化,81,15660
京都府,温泉・健康,19,498
京都府,スポーツ・レク,70,999
京都府,都市型観光,8,201
京都府,イベント,3,40
兵庫県,自然,82,453
兵庫県,歴史・文化,291,11644
兵庫県,温泉・健康,74,2135
兵庫県,スポーツ・レク,365,7058
兵庫県,都市型観光,47,4453
兵庫県,イベント,51,5322
奈良県,自然,25,313
奈良県,歴史・文化,91,6139
奈良県,温泉・健康,26,382
奈良県,スポーツ・レク,19,210
奈良県,都市型観光,3,34
奈良県,イベント,16,3229
和歌山県,自然,18,428
和歌山県,歴史・文化,45,1329
和歌山県,温泉・健康,22,474
和歌山県,スポーツ・レク,52,1566
和歌山県,都市型観光,4,39
和歌山県,イベント,18,358
鳥取県,自然,10,232
鳥取県,歴史・文化,36,477
鳥取県,温泉・健康,19,535
鳥取県,スポーツ・レク,27,355
鳥取県,都市型観光,17,1210
鳥取県,イベント,5,114
島根県,自然,16,320
島根県,歴史・文化,66,3509
島根県,温泉・健康,24,598
島根県,スポーツ・レク,36,488
島根県,都市型観光,14,432
島根県,イベント,3,250
岡山県,自然,18,76
岡山県,歴史・文化,105,1129
岡山県,温泉・健康,30,561
岡山県,スポーツ・レク,62,1152
岡山県,都市型観光,47,961
岡山県,イベント,17,873
広島県,自然,23,250
広島県,歴史・文化,57,2785
広島県,温泉・健康,30,652
広島県,スポーツ・レク,94,1980
広島県,都市型観光,17,885
広島県,イベント,19,1755
山口県,自然,33,546
山口県,歴史・文化,76,2041
山口県,温泉・健康,30,895
山口県,スポーツ・レク,58,1189
山口県,都市型観光,4,531
山口県,イベント,17,808
徳島県,自然,16,210
徳島県,歴史・文化,50,1522
徳島県,温泉・健康,20,320
徳島県,スポーツ・レク,34,502
徳島県,都市型観光,21,870
徳島県,イベント,13,485
香川県,自然,9,240
香川県,歴史・文化,59,2691
香川県,温泉・健康,18,521
香川県,スポーツ・レク,50,1133
香川県,都市型観光,12,719
香川県,イベント,5,179
愛媛県,自然,44,287
愛媛県,歴史・文化,64,1209
愛媛県,温泉・健康,26,826
愛媛県,スポーツ・レク,37,537
愛媛県,都市型観光,29,229
愛媛県,イベント,5,54
高知県,自然,14,149
高知県,歴史・文化,29,596
高知県,温泉・健康,16,214
高知県,スポーツ・レク,27,324
高知県,都市型観光,22,1288
高知県,イベント,6,144
福岡県,自然,39,551
福岡県,歴史・文化,132,10241
福岡県,温泉・健康,26,950
福岡県,スポーツ・レク,85,1959
福岡県,都市型観光,74,22852
福岡県,イベント,26,1926
佐賀県,自然,15,125
佐賀県,歴史・文化,32,2386
佐賀県,温泉・健康,16,554
佐賀県,スポーツ・レク,29,332
佐賀県,都市型観光,30,2458
佐賀県,イベント,11,459
長崎県,自然,18,184
長崎県,歴史・文化,63,1500
長崎県,温泉・健康,18,563
長崎県,スポーツ・レク,67,1556
長崎県,都市型観光,12,3127
長崎県,イベント,23,1683
熊本県,自然,27,377
熊本県,歴史・文化,89,2820
熊本県,温泉・健康,43,2506
熊本県,スポーツ・レク,99,1046
熊本県,都市型観光,53,2691
熊本県,イベント,23,1167
大分県,自然,37,366
大分県,歴史・文化,88,3208
大分県,温泉・健康,48,2309
大分県,スポーツ・レク,73,1452
大分県,都市型観光,16,225
大分県,イベント,14,511
宮崎県,自然,19,396
宮崎県,歴史・文化,55,2825
宮崎県,温泉・健康,26,858
宮崎県,スポーツ・レク,83,1205
宮崎県,都市型観光,10,256
宮崎県,イベント,19,1036
鹿児島県,自然,38,351
鹿児島県,歴史・文化,66,2458
鹿児島県,温泉・健康,48,893
鹿児島県,スポーツ・レク,99,1937
鹿児島県,都市型観光,41,1044
鹿児島県,イベント,24,1531
北海道,自然,107,3932
北海道,歴史・文化,149,7159
北海道,温泉・健康,141,3770
北海道,スポーツ・レク,261,4949
北海道,都市型観光,74,6351
北海道,イベント,56,5433
青森県,自然,46,903
青森県,歴史・文化,60,1916
青森県,温泉・健康,45,773
青森県,スポーツ・レク,72,1271
青森県,都市型観光,52,3598
青森県,イベント,30,4055
岩手県,自然,35,1406
岩手県,歴史・文化,60,890
岩手県,温泉・健康,73,1264
岩手県,スポーツ・レク,56,638
岩手県,都市型観光,26,870
岩手県,イベント,30,1502
宮城県,自然,32,991
宮城県,歴史・文化,82,2397
宮城県,温泉・健康,37,1363
宮城県,スポーツ・レク,61,1994
宮城県,都市型観光,48,2000
宮城県,イベント,35,2841
秋田県,自然,34,1143
秋田県,歴史・文化,48,930
秋田県,温泉・健康,62,1106
秋田県,スポーツ・レク,67,976
秋田県,都市型観光,19,345
秋田県,イベント,38,2748
山形県,自然,38,1146
山形県,歴史・文化,75,2496
山形県,温泉・健康,48,1932
山形県,スポーツ・レク,61,1554
山形県,都市型観光,26,991
山形県,イベント,33,2950
福島県,自然,49,1772
福島県,歴史・文化,70,3327
福島県,温泉・健康,49,1516
福島県,スポーツ・レク,76,2325
福島県,都市型観光,13,969
福島県,イベント,10,521
茨城県,自然,16,2222
茨城県,歴史・文化,50,3310
茨城県,温泉・健康,14,371
茨城県,スポーツ・レク,51,2493
茨城県,都市型観光,9,2092
茨城県,イベント,32,1737
栃木県,自然,35,2009
栃木県,歴史・文化,90,4558
栃木県,温泉・健康,27,1120
栃木県,スポーツ・レク,124,3468
栃木県,都市型観光,19,2981
栃木県,イベント,28,1752
群馬県,自然,55,2302
群馬県,歴史・文化,96,3041
群馬県,温泉・健康,81,3032
群馬県,スポーツ・レク,119,3278
群馬県,都市型観光,27,1326
群馬県,イベント,38,1618
埼玉県,自然,45,3252
埼玉県,歴史・文化,113,4578
埼玉県,温泉・健康,33,1394
埼玉県,スポーツ・レク,165,4017
埼玉県,都市型観光,46,16096
埼玉県,イベント,110,6973
千葉県,自然,33,933
千葉県,歴史・文化,138,5419
千葉県,温泉・健康,24,1112
千葉県,スポーツ・レク,296,15956
千葉県,都市型観光,23,5861
千葉県,イベント,64,4553
東京都,自然,6,598
東京都,歴史・文化,325,20087
東京都,温泉・健康,35,5257
東京都,スポーツ・レク,170,34790
東京都,都市型観光,93,214513
東京都,イベント,97,11343
神奈川県,自然,40,6334
神奈川県,歴史・文化,135,12437
神奈川県,温泉・健康,10,257
神奈川県,スポーツ・レク,96,10888
神奈川県,都市型観光,7,939
神奈川県,イベント,78,9399
新潟県,自然,72,1263
新潟県,歴史・文化,160,2578
新潟県,温泉・健康,109,2065
新潟県,スポーツ・レク,241,2273
新潟県,都市型観光,62,4550
新潟県,イベント,114,5193
富山県,自然,26,970
富山県,歴史・文化,74,1612
富山県,温泉・健康,23,681
富山県,スポーツ・レク,49,1929
富山県,都市型観光,7,241
富山県,イベント,41,1823
山梨県,自然,16,2799
山梨県,歴史・文化,83,2116
山梨県,温泉・健康,59,1366
山梨県,スポーツ・レク,86,2617
山梨県,都市型観光,33,1167
山梨県,イベント,28,882
長野県,自然,45,1949
長野県,歴史・文化,56,11081
長野県,温泉・健康,68,3005
長野県,スポーツ・レク,73,1323
長野県,都市型観光,14,2799
長野県,イベント,27,2286
岐阜県,自然,37,820
岐阜県,歴史・文化,96,4175
岐阜県,温泉・健康,56,2121
岐阜県,スポーツ・レク,157,3823
岐阜県,都市型観光,27,2840
岐阜県,イベント,59,2635
静岡県,自然,48,3648
静岡県,歴史・文化,180,5340
静岡県,温泉・健康,50,1069
静岡県,スポーツ・レク,284,6162
静岡県,都市型観光,42,5095
静岡県,イベント,106,6464
愛知県,自然,38,1971
愛知県,歴史・文化,139,8430
愛知県,温泉・健康,21,727
愛知県,スポーツ・レク,124,7999
愛知県,都市型観光,44,6938
愛知県,イベント,75,7497
三重県,自然,36,721
三重県,歴史・文化,71,3745
三重県,温泉・健康,29,1431
三重県,スポーツ・レク,130,7254
三重県,都市型観光,23,883
三重県,イベント,23,620
滋賀県,自然,21,337
滋賀県,歴史・文化,112,2685
滋賀県,温泉・健康,21,385
滋賀県,スポーツ・レク,110,2566
滋賀県,都市型観光,29,999
滋賀県,イベント,28,747
京都府,自然,18,486
京都府,歴史・文化,81,17682
京都府,温泉・健康,19,453
京都府,スポーツ・レク,70,2278
京都府,都市型観光,8,324
京都府,イベント,9,311
兵庫県,自然,82,704
兵庫県,歴史・文化,291,8232
兵庫県,温泉・健康,74,1770
兵庫県,スポーツ・レク,365,9748
兵庫県,都市型観光,47,7823
兵庫県,イベント,73,5805
奈良県,自然,25,890
奈良県,歴史・文化,91,7549
奈良県,温泉・健康,26,404
奈良県,スポーツ・レク,19,561
奈良県,都市型観光,3,46
奈良県,イベント,14,835
和歌山県,自然,6,47
和歌山県,歴史・文化,25,513
和歌山県,温泉・健康,11,172
和歌山県,スポーツ・レク,37,1180
和歌山県,都市型観光,2,10
和歌山県,イベント,19,952
鳥取県,自然,10,417
鳥取県,歴史・文化,36,758
鳥取県,温泉・健康,19,480
鳥取県,スポーツ・レク,27,261
鳥取県,都市型観光,17,1661
鳥取県,イベント,9,143
島根県,自然,16,713
島根県,歴史・文化,66,3399
島根県,温泉・健康,24,632
島根県,スポーツ・レク,36,506
島根県,都市型観光,14,542
島根県,イベント,6,312
岡山県,自然,18,147
岡山県,歴史・文化,105,1464
岡山県,温泉・健康,30,545
岡山県,スポーツ・レク,62,1783
岡山県,都市型観光,46,1231
岡山県,イベント,26,1311
広島県,自然,23,487
広島県,歴史・文化,88,3356
広島県,温泉・健康,30,645
広島県,スポーツ・レク,93,2107
広島県,都市型観光,17,1089
広島県,イベント,28,5624
山口県,自然,33,659
山口県,歴史・文化,76,2023
山口県,温泉・健康,30,861
山口県,スポーツ・レク,58,1634
山口県,都市型観光,4,534
山口県,イベント,37,997
徳島県,自然,16,508
徳島県,歴史・文化,50,1217
徳島県,温泉・健康,20,292
徳島県,スポーツ・レク,34,813
徳島県,都市型観光,21,1036
徳島県,イベント,19,726
香川県,自然,9,369
香川県,歴史・文化,59,2444
香川県,温泉・健康,18,488
香川県,スポーツ・レク,50,1978
香川県,都市型観光,12,843
香川県,イベント,6,417
愛媛県,自然,44,712
愛媛県,歴史・文化,64,1647
愛媛県,温泉・健康,26,718
愛媛県,スポーツ・レク,37,727
愛媛県,都市型観光,29,291
愛媛県,イベント,17,387
高知県,自然,14,275
高知県,歴史・文化,29,598
高知県,温泉・健康,16,218
高知県,スポーツ・レク,27,419
高知県,都市型観光,22,1446
高知県,イベント,10,376
福岡県,自然,39,927
福岡県,歴史・文化,132,6016
福岡県,温泉・健康,26,845
福岡県,スポーツ・レク,85,2826
福岡県,都市型観光,74,21925
福岡県,イベント,27,2062
佐賀県,自然,15,236
佐賀県,歴史・文化,32,1162
佐賀県,温泉・健康,16,486
佐賀県,スポーツ・レク,29,441
佐賀県,都市型観光,30,2595
佐賀県,イベント,14,1524
長崎県,自然,18,266
長崎県,歴史・文化,63,2072
長崎県,温泉・健康,18,529
長崎県,スポーツ・レク,67,1878
長崎県,都市型観光,12,2913
長崎県,イベント,32,1396
熊本県,自然,27,818
熊本県,歴史・文化,89,2263
熊本県,温泉・健康,43,2244
熊本県,スポーツ・レク,99,1429
熊本県,都市型観光,54,3153
熊本県,イベント,32,1030
大分県,自然,37,719
大分県,歴史・文化,88,2326
大分県,温泉・健康,48,2472
大分県,スポーツ・レク,73,1817
大分県,都市型観光,16,300
大分県,イベント,21,834
宮崎県,自然,19,485
宮崎県,歴史・文化,55,1661
宮崎県,温泉・健康,26,652
宮崎県,スポーツ・レク,83,1278
宮崎県,都市型観光,10,274
宮崎県,イベント,17,714
鹿児島県,自然,38,454
鹿児島県,歴史・文化,66,1609
鹿児島県,温泉・健康,48,740
鹿児島県,スポーツ・レク,99,2442
鹿児島県,都市型観光,41,1202
鹿児島県,イベント,17,691
北海道,自然,108,6834
北海道,歴史・文化,149,9706
北海道,温泉・健康,141,5012
北海道,スポーツ・レク,261,7618
北海道,都市型観光,75,7557
北海道,イベント,177,10939
青森県,自然,46,1788
青森県,歴史・文化,60,2015
青森県,温泉・健康,45,910
青森県,スポーツ・レク,72,1681
青森県,都市型観光,52,4526
青森県,イベント,71,9389
岩手県,自然,35,1922
岩手県,歴史・文化,60,1079
岩手県,温泉・健康,73,1481
岩手県,スポーツ・レク,57,741
岩手県,都市型観光,26,1075
岩手県,イベント,63,3010
宮城県,自然,34,1378
宮城県,歴史・文化,84,2724
宮城県,温泉・健康,36,1485
宮城県,スポーツ・レク,62,2204
宮城県,都市型観光,48,2112
宮城県,イベント,55,5318
秋田県,自然,34,1701
秋田県,歴史・文化,48,1000
秋田県,温泉・健康,62,1228
秋田県,スポーツ・レク,67,1393
秋田県,都市型観光,19,397
秋田県,イベント,64,5186
山形県,自然,39,1241
山形県,歴史・文化,75,2919
山形県,温泉・健康,48,2449
山形県,スポーツ・レク,64,1767
山形県,都市型観光,26,1057
山形県,イベント,45,4406
福島県,自然,50,1663
福島県,歴史・文化,73,2608
福島県,温泉・健康,49,1631
福島県,スポーツ・レク,77,3111
福島県,都市型観光,15,1625
福島県,イベント,46,3523
茨城県,自然,16,1610
茨城県,歴史・文化,50,2529
茨城県,温泉・健康,14,412
茨城県,スポーツ・レク,51,2878
茨城県,都市型観光,9,1865
茨城県,イベント,33,5342
栃木県,自然,35,2037
栃木県,歴史・文化,90,4156
栃木県,温泉・健康,27,1331
栃木県,スポーツ・レク,124,3820
栃木県,都市型観光,19,2794
栃木県,イベント,43,3028
群馬県,自然,56,2774
群馬県,歴史・文化,96,2685
群馬県,温泉・健康,81,3724
群馬県,スポーツ・レク,119,2636
群馬県,都市型観光,27,1358
群馬県,イベント,68,5144
埼玉県,自然,45,2269
埼玉県,歴史・文化,113,3938
埼玉県,温泉・健康,33,1501
埼玉県,スポーツ・レク,165,5353
埼玉県,都市型観光,46,16326
埼玉県,イベント,119,12230
千葉県,自然,33,518
千葉県,歴史・文化,138,4964
千葉県,温泉・健康,24,1327
千葉県,スポーツ・レク,296,18670
千葉県,都市型観光,23,6331
千葉県,イベント,88,11079
東京都,自然,6,643
東京都,歴史・文化,325,19213
東京都,温泉・健康,35,6684
東京都,スポーツ・レク,170,32244
東京都,都市型観光,93,204216
東京都,イベント,140,18013
神奈川県,自然,40,7928
神奈川県,歴史・文化,135,10177
神奈川県,温泉・健康,10,340
神奈川県,スポーツ・レク,96,11077
神奈川県,都市型観光,7,977
神奈川県,イベント,86,10250
新潟県,自然,72,1609
新潟県,歴史・文化,160,3093
新潟県,温泉・健康,109,2611
新潟県,スポーツ・レク,241,4739
新潟県,都市型観光,62,5239
新潟県,イベント,148,8397
富山県,自然,26,1273
富山県,歴史・文化,74,1739
富山県,温泉・健康,23,771
富山県,スポーツ・レク,49,2480
富山県,都市型観光,7,1913
富山県,イベント,53,1875
山梨県,自然,16,3071
山梨県,歴史・文化,83,3059
山梨県,温泉・健康,59,1766
山梨県,スポーツ・レク,86,3115
山梨県,都市型観光,33,1477
山梨県,イベント,26,1503
長野県,自然,61,4891
長野県,歴史・文化,69,5362
長野県,温泉・健康,73,4168
長野県,スポーツ・レク,92,2584
長野県,都市型観光,15,4017
長野県,イベント,54,3076
岐阜県,自然,37,1140
岐阜県,歴史・文化,96,3880
岐阜県,温泉・健康,56,2443
岐阜県,スポーツ・レク,157,3598
岐阜県,都市型観光,27,3085
岐阜県,イベント,63,3442
静岡県,自然,48,4167
静岡県,歴史・文化,180,4864
静岡県,温泉・健康,50,1292
静岡県,スポーツ・レク,284,8150
静岡県,都市型観光,42,5378
静岡県,イベント,139,7633
愛知県,自然,38,2177
愛知県,歴史・文化,139,7446
愛知県,温泉・健康,21,771
愛知県,スポーツ・レク,124,8163
愛知県,都市型観光,44,7678
愛知県,イベント,68,12503
三重県,自然,36,835
三重県,歴史・文化,72,3676
三重県,温泉・健康,29,1790
三重県,スポーツ・レク,130,10029
三重県,都市型観光,24,856
三重県,イベント,29,2008
滋賀県,自然,21,358
滋賀県,歴史・文化,112,2491
滋賀県,温泉・健康,21,411
滋賀県,スポーツ・レク,110,2923
滋賀県,都市型観光,29,1243
滋賀県,イベント,36,1461
京都府,自然,18,288
京都府,歴史・文化,81,15046
京都府,温泉・健康,19,542
京都府,スポーツ・レク,70,2728
京都府,都市型観光,8,412
京都府,イベント,16,527
兵庫県,自然,82,1037
兵庫県,歴史・文化,291,7720
兵庫県,温泉・健康,74,225
兵庫県,スポーツ・レク,365,11168
兵庫県,都市型観光,47,10378
兵庫県,イベント,83,5371
奈良県,自然,25,772
奈良県,歴史・文化,91,4887
奈良県,温泉・健康,26,526
奈良県,スポーツ・レク,19,466
奈良県,都市型観光,3,42
奈良県,イベント,19,1486
和歌山県,自然,16,689
和歌山県,歴史・文化,28,506
和歌山県,温泉・健康,13,243
和歌山県,スポーツ・レク,42,2129
和歌山県,都市型観光,2,13
和歌山県,イベント,14,1366
鳥取県,自然,10,563
鳥取県,歴史・文化,36,1028
鳥取県,温泉・健康,19,604
鳥取県,スポーツ・レク,27,430
鳥取県,都市型観光,17,1965
鳥取県,イベント,17,789
島根県,自然,15,807
島根県,歴史・文化,71,4019
島根県,温泉・健康,23,657
島根県,スポーツ・レク,35,630
島根県,都市型観光,11,536
島根県,イベント,12,990
岡山県,自然,18,232
岡山県,歴史・文化,105,1511
岡山県,温泉・健康,30,718
岡山県,スポーツ・レク,62,1803
岡山県,都市型観光,47,1525
岡山県,イベント,39,2341
広島県,自然,23,674
広島県,歴史・文化,88,3704
広島県,温泉・健康,30,706
広島県,スポーツ・レク,93,2533
広島県,都市型観光,17,1137
広島県,イベント,40,4291
山口県,自然,33,1004
山口県,歴史・文化,76,2097
山口県,温泉・健康,30,983
山口県,スポーツ・レク,58,2164
山口県,都市型観光,4,573
山口県,イベント,32,2092
徳島県,自然,16,597
徳島県,歴史・文化,50,1101
徳島県,温泉・健康,20,301
徳島県,スポーツ・レク,34,898
徳島県,都市型観光,21,1088
徳島県,イベント,24,2242
香川県,自然,9,362
香川県,歴史・文化,59,1661
香川県,温泉・健康,18,555
香川県,スポーツ・レク,50,2186
香川県,都市型観光,12,958
香川県,イベント,19,1304
愛媛県,自然,44,698
愛媛県,歴史・文化,64,1559
愛媛県,温泉・健康,26,827
愛媛県,スポーツ・レク,37,936
愛媛県,都市型観光,29,345
愛媛県,イベント,45,2138
高知県,自然,14,325
高知県,歴史・文化,29,723
