都道府県,目的,地点数,客数
香川県,スポーツ・レク,51,1157
香川県,都市型観光,11,724
香川県,イベント,5,222
愛媛県,自然,44,289
愛媛県,歴史・文化,64,1239
愛媛県,温泉・健康,26,836
愛媛県,スポーツ・レク,37,553
愛媛県,都市型観光,29,245
愛媛県,イベント,6,59
高知県,自然,19,267
高知県,歴史・文化,29,477
高知県,温泉・健康,14,170
高知県,スポーツ・レク,25,246
高知県,都市型観光,23,1335
高知県,イベント,5,72
福岡県,自然,36,504
福岡県,歴史・文化,130,10234
福岡県,温泉・健康,35,1123
福岡県,スポーツ・レク,83,1817
福岡県,都市型観光,66,22721
福岡県,イベント,32,2882
佐賀県,自然,10,76
佐賀県,歴史・文化,31,2509
佐賀県,温泉・健康,17,602
佐賀県,スポーツ・レク,33,362
佐賀県,都市型観光,30,2558
佐賀県,イベント,14,501
長崎県,自然,13,180
長崎県,歴史・文化,50,1569
長崎県,温泉・健康,16,494
長崎県,スポーツ・レク,65,1506
長崎県,都市型観光,9,3048
長崎県,イベント,19,1594
熊本県,自然,25,425
熊本県,歴史・文化,88,2663
熊本県,温泉・健康,42,2314
熊本県,スポーツ・レク,102,1054
熊本県,都市型観光,54,2431
熊本県,イベント,23,1183
大分県,自然,47,369
大分県,歴史・文化,104,2477
大分県,温泉・健康,46,2238
大分県,スポーツ・レク,82,1422
大分県,都市型観光,11,159
大分県,イベント,20,2449
宮崎県,自然,18,497
宮崎県,歴史・文化,59,2891
宮崎県,温泉・健康,26,776
宮崎県,スポーツ・レク,86,1236
宮崎県,都市型観光,10,286
宮崎県,イベント,15,828
鹿児島県,自然,38,399
鹿児島県,歴史・文化,66,2780
鹿児島県,温泉・健康,48,784
鹿児島県,スポーツ・レク,99,1962
鹿児島県,都市型観光,41,1061
鹿児島県,イベント,25,1752
沖縄県,自然,29,1321
沖縄県,歴史・文化,31,2963
沖縄県,温泉・健康,3,78
沖縄県,スポーツ・レク,21,1799
沖縄県,都市型観光,5,807
沖縄県,イベント,15,1131
北海道,自然,92,3579
北海道,歴史・文化,138,6667
北海道,温泉・健康,120,3506
北海道,スポーツ・レク,222,4493
北海道,都市型観光,69,5730
北海道,イベント,54,5152
青森県,自然,47,864
青森県,歴史・文化,59,2054
青森県,温泉・健康,44,771
青森県,スポーツ・レク,72,1160
青森県,都市型観光,52,3497
青森県,イベント,29,3995
岩手県,自然,33,1226
岩手県,歴史・文化,57,895
岩手県,温泉・健康,74,1374
岩手県,スポーツ・レク,54,638
岩手県,都市型観光,23,876
岩手県,イベント,30,1593
宮城県,自然,31,1074
宮城県,歴史・文化,79,2226
宮城県,温泉・健康,36,1215
宮城県,スポーツ・レク,57,2044
宮城県,都市型観光,44,1759
宮城県,イベント,29,2729
秋田県,自然,30,1111
秋田県,歴史・文化,48,953
秋田県,温泉・健康,67,1192
秋田県,スポーツ・レク,67,990
秋田県,都市型観光,20,341
秋田県,イベント,38,2689
山形県,自然,39,1175
山形県,歴史・文化,78,2646
山形県,温泉・健康,49,2075
山形県,スポーツ・レク,68,1492
山形県,都市型観光,30,982
山形県,イベント,31,2775
福島県,自然,49,1912
福島県,歴史・文化,78,3300
福島県,温泉・健康,49,1490
福島県,スポーツ・レク,76,2216
福島県,都市型観光,17,967
福島県,イベント,10,458
茨城県,自然,15,1980
茨城県,歴史・文化,51,3231
茨城県,温泉・健康,13,362
茨城県,スポーツ・レク,52,3088
茨城県,都市型観光,11,2019
茨城県,イベント,26,1252
栃木県,自然,38,2007
栃木県,歴史・文化,88,4049
栃木県,温泉・健康,30,1740
栃木県,スポーツ・レク,128,3308
栃木県,都市型観光,14,2849
栃木県,イベント,29,1844
群馬県,自然,46,2069
群馬県,歴史・文化,78,2910
群馬県,温泉・健康,71,2969
群馬県,スポーツ・レク,94,3263
群馬県,都市型観光,25,1322
群馬県,イベント,34,1476
埼玉県,自然,41,2660
埼玉県,歴史・文化,142,4534
埼玉県,温泉・健康,30,1161
埼玉県,スポーツ・レク,160,3316
埼玉県,都市型観光,41,14022
埼玉県,イベント,131,7683
千葉県,自然,34,871
千葉県,歴史・文化,139,5361
千葉県,温泉・健康,25,1074
千葉県,スポーツ・レク,296,16146
千葉県,都市型観光,24,4939
千葉県,イベント,63,5286
東京都,自然,6,628
東京都,歴史・文化,326,18839
東京都,温泉・健康,35,5777
東京都,スポーツ・レク,167,33211
東京都,都市型観光,86,207439
東京都,イベント,98,11714
神奈川県,自然,62,6589
神奈川県,歴史・文化,111,10867
神奈川県,温泉・健康,8,225
神奈川県,スポーツ・レク,81,9119
神奈川県,都市型観光,7,948
神奈川県,イベント,74,9342
新潟県,自然,76,1291
新潟県,歴史・文化,155,2615
新潟県,温泉・健康,106,2129
新潟県,スポーツ・レク,252,2161
新潟県,都市型観光,62,4352
新潟県,イベント,107,5081
富山県,自然,24,942
富山県,歴史・文化,71,1455
富山県,温泉・健康,19,621
富山県,スポーツ・レク,48,1539
富山県,都市型観光,5,237
富山県,イベント,37,1685
石川県,自然,28,572
石川県,歴史・文化,100,3540
石川県,温泉・健康,26,1280
石川県,スポーツ・レク,74,1814
石川県,都市型観光,16,5231
石川県,イベント,22,1602
山梨県,自然,17,2047
山梨県,歴史・文化,92,2206
山梨県,温泉・健康,59,1357
山梨県,スポーツ・レク,89,2471
山梨県,都市型観光,31,1050
山梨県,イベント,28,907
長野県,自然,64,2023
長野県,歴史・文化,76,4777
長野県,温泉・健康,87,2929
長野県,スポーツ・レク,99,1789
長野県,都市型観光,15,2098
長野県,イベント,25,2193
岐阜県,自然,37,906
岐阜県,歴史・文化,93,3988
岐阜県,温泉・健康,55,2185
岐阜県,スポーツ・レク,151,3439
岐阜県,都市型観光,23,2349
岐阜県,イベント,63,2971
静岡県,自然,46,2868
静岡県,歴史・文化,187,5533
静岡県,温泉・健康,46,964
静岡県,スポーツ・レク,273,5620
静岡県,都市型観光,38,4813
静岡県,イベント,103,7271
愛知県,自然,37,1665
愛知県,歴史・文化,143,8913
愛知県,温泉・健康,21,885
愛知県,スポーツ・レク,139,8664
愛知県,都市型観光,44,6781
愛知県,イベント,69,7103
三重県,自然,36,712
三重県,歴史・文化,69,4342
三重県,温泉・健康,29,1480
三重県,スポーツ・レク,134,5505
三重県,都市型観光,22,890
三重県,イベント,18,583
滋賀県,自然,23,481
滋賀県,歴史・文化,110,2475
滋賀県,温泉・健康,22,377
滋賀県,スポーツ・レク,110,2634
滋賀県,都市型観光,29,1148
滋賀県,イベント,26,695
京都府,自然,18,503
京都府,歴史・文化,83,17876
京都府,温泉・健康,18,472
京都府,スポーツ・レク,73,2430
京都府,都市型観光,7,274
京都府,イベント,9,387
兵庫県,自然,89,1051
兵庫県,歴史・文化,290,7630
兵庫県,温泉・健康,74,1780
兵庫県,スポーツ・レク,361,9361
兵庫県,都市型観光,43,9413
兵庫県,イベント,78,5678
奈良県,自然,25,1288
奈良県,歴史・文化,92,6390
奈良県,温泉・健康,24,357
奈良県,スポーツ・レク,19,308
奈良県,都市型観光,5,175
奈良県,イベント,11,919
和歌山県,自然,6,67
和歌山県,歴史・文化,25,1029
和歌山県,温泉・健康,11,157
和歌山県,スポーツ・レク,37,1590
和歌山県,都市型観光,2,60
和歌山県,イベント,6,92
鳥取県,自然,11,474
鳥取県,歴史・文化,39,876
鳥取県,温泉・健康,19,489
鳥取県,スポーツ・レク,35,279
鳥取県,都市型観光,16,1521
鳥取県,イベント,9,208
島根県,自然,17,741
島根県,歴史・文化,69,3735
島根県,温泉・健康,24,538
島根県,スポーツ・レク,36,518
島根県,都市型観光,14,569
島根県,イベント,5,278
岡山県,自然,20,159
岡山県,歴史・文化,109,1357
岡山県,温泉・健康,33,625
岡山県,スポーツ・レク,80,1750
岡山県,都市型観光,37,1082
岡山県,イベント,22,996
広島県,自然,17,453
広島県,歴史・文化,67,3228
広島県,温泉・健康,26,587
広島県,スポーツ・レク,66,1996
広島県,都市型観光,14,1057
広島県,イベント,34,5518
山口県,自然,28,648
山口県,歴史・文化,71,1852
山口県,温泉・健康,31,872
山口県,スポーツ・レク,58,1457
山口県,都市型観光,4,520
山口県,イベント,39,1263
徳島県,自然,20,482
徳島県,歴史・文化,50,1420
徳島県,温泉・健康,24,318
徳島県,スポーツ・レク,47,762
徳島県,都市型観光,30,1057
徳島県,イベント,21,675
香川県,自然,9,346
香川県,歴史・文化,60,2468
香川県,温泉・健康,18,433
香川県,スポーツ・レク,51,1998
香川県,都市型観光,11,860
香川県,イベント,7,442
愛媛県,自然,44,680
愛媛県,歴史・文化,64,1535
愛媛県,温泉・健康,26,767
愛媛県,スポーツ・レク,37,733
愛媛県,都市型観光,29,347
愛媛県,イベント,17,524
高知県,自然,17,242
高知県,歴史・文化,27,585
高知県,温泉・健康,13,158
高知県,スポーツ・レク,25,331
高知県,都市型観光,21,1353
高知県,イベント,10,375
福岡県,自然,36,947
福岡県,歴史・文化,130,6400
福岡県,温泉・健康,35,998
福岡県,スポーツ・レク,83,2553
福岡県,都市型観光,66,23919
福岡県,イベント,37,2681
佐賀県,自然,9,109
佐賀県,歴史・文化,30,1103
佐賀県,温泉・健康,16,493
佐賀県,スポーツ・レク,31,450
