都道府県,観光地・イベント入込客数,1,2,3,4
10 群馬県,歴史・文化,2209,2910,2871,2738
10 群馬県,温泉・健康,3476,2969,3713,3469
10 群馬県,スポーツ・レク,2732,3263,2642,2492
10 群馬県,都市型観光,1011,1322,1465,1338
10 群馬県,その他,505,1018,1250,1218
10 群馬県,イベント,831,1476,4335,2488
11 埼玉県,自然,791,2660,2247,1402
11 埼玉県,歴史・文化,5214,4534,4021,5003
11 埼玉県,温泉・健康,1220,1161,1259,1242
11 埼玉県,スポーツ・レク,2163,3316,4623,3024
11 埼玉県,都市型観光,14146,14022,14222,14215
11 埼玉県,その他,1263,1597,1528,1404
11 埼玉県,イベント,6617,7683,12004,10739
12 千葉県,自然,1244,871,578,228
12 千葉県,歴史・文化,10251,5361,4734,4898
12 千葉県,温泉・健康,1155,1074,1279,1092
12 千葉県,スポーツ・レク,13675,16146,18898,17290
12 千葉県,都市型観光,4680,4939,5994,4968
12 千葉県,その他,5294,5624,5923,4983
12 千葉県,イベント,4359,5286,11021,5822
13 東京都,自然,400,628,687,855
13 東京都,歴史・文化,13491,18839,16237,16433
13 東京都,温泉・健康,7342,5777,6457,7723
13 東京都,スポーツ・レク,30399,33211,30124,26232
13 東京都,都市型観光,183872,207439,200255,204667
13 東京都,その他,3691,10836,4340,3809
13 東京都,イベント,10540,11714,14119,17305
14 神奈川県,自然,5034,6589,8833,5953
14 神奈川県,歴史・文化,20707,10867,7634,7739
14 神奈川県,温泉・健康,191,225,295,195
14 神奈川県,スポーツ・レク,6122,9119,10845,7346
14 神奈川県,都市型観光,895,948,1060,949
14 神奈川県,その他,5771,7908,8811,9730
14 神奈川県,イベント,2835,9342,9014,4094
15 新潟県,自然,427,1291,1532,1302
15 新潟県,歴史・文化,1763,2615,3035,2307
15 新潟県,温泉・健康,2341,2129,2523,2286
15 新潟県,スポーツ・レク,4763,2161,4312,2193
15 新潟県,都市型観光,2126,4352,5139,4336
15 新潟県,その他,498,925,1084,762
15 新潟県,イベント,2021,5081,7406,2278
16 富山県,自然,222,942,1142,571
16 富山県,歴史・文化,797,1455,1616,1400
16 富山県,温泉・健康,623,621,699,673
16 富山県,スポーツ・レク,780,1539,1907,1033
16 富山県,都市型観光,229,237,241,264
16 富山県,その他,1033,1442,1435,1244
16 富山県,イベント,457,1685,1898,737
17 石川県,自然,222,572,712,572
17 石川県,歴史・文化,2534,3540,3218,2781
17 石川県,温泉・健康,1477,1280,1538,1446
17 石川県,スポーツ・レク,903,1814,1759,1188
17 石川県,都市型観光,3415,5231,5227,4944
17 石川県,その他,276,503,578,367
17 石川県,イベント,424,1602,284,171
19 山梨県,自然,453,2047,2652,1450
19 山梨県,歴史・文化,1691,2206,3353,2012
19 山梨県,温泉・健康,1216,1357,1800,1344
19 山梨県,スポーツ・レク,1384,2471,3092,2095
19 山梨県,都市型観光,584,1050,1431,982
19 山梨県,その他,656,1393,1909,1267
19 山梨県,イベント,292,907,1489,827
20 長野県,自然,1253,2023,4512,1411
20 長野県,歴史・文化,2603,4777,4848,3710
20 長野県,温泉・健康,3290,2929,3889,3382
20 長野県,スポーツ・レク,4943,1789,2410,2046
20 長野県,都市型観光,1487,2098,4341,2505
20 長野県,その他,618,1286,1545,1090
20 長野県,イベント,1142,2193,3366,1628
21 岐阜県,自然,307,906,1091,617
21 岐阜県,歴史・文化,4496,3988,3835,4106
21 岐阜県,温泉・健康,2680,2185,2351,2096
21 岐阜県,スポーツ・レク,3377,3439,3392,3016
21 岐阜県,都市型観光,2010,2349,2492,2614
21 岐阜県,その他,2935,4381,5243,4002
21 岐阜県,イベント,548,2971,2754,2822
22 静岡県,自然,2483,2868,3995,3224
22 静岡県,歴史・文化,7145,5533,5045,4817
22 静岡県,温泉・健康,1078,964,1102,903
22 静岡県,スポーツ・レク,4237,5620,8504,5129
22 静岡県,都市型観光,4485,4813,5256,5133
22 静岡県,その他,2519,2394,3279,2455
22 静岡県,イベント,4626,7271,7608,6510
23 愛知県,自然,1139,1665,1875,2160
23 愛知県,歴史・文化,18112,8913,7473,7830
23 愛知県,温泉・健康,874,885,815,833
23 愛知県,スポーツ・レク,5416,8664,7950,6721
23 愛知県,都市型観光,6951,6781,7606,6793
23 愛知県,その他,1168,1533,1169,1190
23 愛知県,イベント,2120,7103,11330,7477
24 三重県,自然,281,712,755,498
24 三重県,歴史・文化,8752,4342,3812,4160
24 三重県,温泉・健康,1639,1480,1667,1630
24 三重県,スポーツ・レク,5621,5505,7394,5792
24 三重県,都市型観光,827,890,833,1024
24 三重県,その他,1370,1334,1511,1408
24 三重県,イベント,310,583,1955,1082
25 滋賀県,自然,160,481,464,177
25 滋賀県,歴史・文化,3711,2475,2399,2124
25 滋賀県,温泉・健康,408,377,411,328
25 滋賀県,スポーツ・レク,1884,2634,2962,1690
25 滋賀県,都市型観光,821,1148,1275,768
25 滋賀県,その他,1832,2672,2722,2009
25 滋賀県,イベント,511,695,1448,588
26 京都府,自然,138,503,257,344
26 京都府,歴史・文化,16424,17876,13444,15260
26 京都府,温泉・健康,510,472,550,564
26 京都府,スポーツ・レク,1073,2430,2375,1957
26 京都府,都市型観光,200,274,344,295
26 京都府,その他,333,518,548,527
26 京都府,イベント,74,387,331,644
28 兵庫県,自然,666,1051,1281,956
28 兵庫県,歴史・文化,11803,7630,7236,5998
28 兵庫県,温泉・健康,2122,1780,2144,1916
28 兵庫県,スポーツ・レク,6473,9361,10325,7747
28 兵庫県,都市型観光,3051,9413,10127,4969
28 兵庫県,その他,2374,2446,2714,3091
28 兵庫県,イベント,5233,5678,4875,8880
29 奈良県,自然,378,1288,912,1063
29 奈良県,歴史・文化,7787,6390,3996,5492
29 奈良県,温泉・健康,348,357,454,354
29 奈良県,スポーツ・レク,92,308,344,194
29 奈良県,都市型観光,121,175,151,162
29 奈良県,その他,634,999,807,846
29 奈良県,イベント,1359,919,1453,728
30 和歌山県,自然,156,67,170,153
30 和歌山県,歴史・文化,4176,1029,1064,1135
30 和歌山県,温泉・健康,329,157,195,160
30 和歌山県,スポーツ・レク,983,1590,2739,1201
30 和歌山県,都市型観光,68,60,48,56
30 和歌山県,その他,416,436,423,436
30 和歌山県,イベント,191,92,704,370
31 鳥取県,自然,247,474,532,389
31 鳥取県,歴史・文化,465,876,923,842
31 鳥取県,温泉・健康,542,489,564,564
31 鳥取県,スポーツ・レク,380,279,385,195
31 鳥取県,都市型観光,1154,1521,1910,1541
31 鳥取県,その他,873,1242,1405,1145
31 鳥取県,イベント,153,208,718,200
32 島根県,自然,376,741,764,551
32 島根県,歴史・文化,3880,3735,3918,3395
32 島根県,温泉・健康,646,538,665,678
32 島根県,スポーツ・レク,501,518,677,419
32 島根県,都市型観光,463,569,556,590
32 島根県,その他,545,753,775,703
32 島根県,イベント,256,278,749,244
33 岡山県,自然,83,159,255,145
33 岡山県,歴史・文化,1091,1357,1296,1234
33 岡山県,温泉・健康,669,625,760,628
33 岡山県,スポーツ・レク,1213,1750,1821,1523
33 岡山県,都市型観光,772,1082,1232,1099
33 岡山県,その他,752,993,1032,919
33 岡山県,イベント,363,996,1994,1684
34 広島県,自然,256,453,549,626
34 広島県,歴史・文化,2867,3228,3240,3120
34 広島県,温泉・健康,585,587,632,625
34 広島県,スポーツ・レク,1739,1996,2324,2159
34 広島県,都市型観光,841,1057,1089,977
34 広島県,その他,990,1545,1544,1556
34 広島県,イベント,1681,5518,3862,3490
35 山口県,自然,634,648,885,651
35 山口県,歴史・文化,1805,1852,1915,1875
35 山口県,温泉・健康,970,872,982,929
35 山口県,スポーツ・レク,1048,1457,1653,1118
35 山口県,都市型観光,548,520,551,550
35 山口県,その他,1691,2164,2291,2013
35 山口県,イベント,810,1263,1990,1358
36 徳島県,自然,213,482,510,295
36 徳島県,歴史・文化,1749,1420,1145,1120
36 徳島県,温泉・健康,338,318,299,296
36 徳島県,スポーツ・レク,541,762,694,533
36 徳島県,都市型観光,943,1057,1124,1025
36 徳島県,その他,210,301,260,236
36 徳島県,イベント,476,675,1955,775
37 香川県,自然,232,346,370,418
37 香川県,歴史・文化,2912,2468,1763,2235
37 香川県,温泉・健康,503,433,540,483
37 香川県,スポーツ・レク,1157,1998,2072,1431
37 香川県,都市型観光,724,860,969,865
37 香川県,その他,980,1135,1324,1075
37 香川県,イベント,222,442,1114,302
38 愛媛県,自然,289,680,697,487
38 愛媛県,歴史・文化,1239,1535,1484,1336
38 愛媛県,温泉・健康,836,767,834,761
38 愛媛県,スポーツ・レク,553,733,936,637
38 愛媛県,都市型観光,245,347,356,280
38 愛媛県,その他,1408,2097,2074,1815
38 愛媛県,イベント,59,524,1317,819
39 高知県,自然,267,242,282,198
39 高知県,歴史・文化,477,585,534,458
39 高知県,温泉・健康,170,158,160,147
39 高知県,スポーツ・レク,246,331,373,256
39 高知県,都市型観光,1335,1353,1401,1314
39 高知県,その他,552,780,761,623
39 高知県,イベント,72,375,1303,227
40 福岡県,自然,504,947,934,777
40 福岡県,歴史・文化,10234,6400,6047,6387
40 福岡県,温泉・健康,1123,998,1026,1079
40 福岡県,スポーツ・レク,1817,2553,3072,2183
40 福岡県,都市型観光,22721,23919,25381,25107
40 福岡県,その他,2637,2853,3124,2932
40 福岡県,イベント,2882,2681,3819,2582
41 佐賀県,自然,76,109,135,104
41 佐賀県,歴史・文化,2509,1103,783,1186
41 佐賀県,温泉・健康,602,493,551,541
41 佐賀県,スポーツ・レク,362,450,433,447
41 佐賀県,都市型観光,2558,2340,2426,2571
41 佐賀県,その他,144,207,283,201
41 佐賀県,イベント,501,1561,1133,2482
42 長崎県,自然,180,267,264,272
42 長崎県,歴史・文化,1569,2048,1850,1900
42 長崎県,温泉・健康,494,607,632,609
42 長崎県,スポーツ・レク,1506,1809,1813,1798
42 長崎県,都市型観光,3048,2863,3163,3028
42 長崎県,その他,697,977,847,968
42 長崎県,イベント,1594,1381,1415,1443
43 熊本県,自然,425,912,893,602
43 熊本県,歴史・文化,2663,2221,1978,2109
43 熊本県,温泉・健康,2314,2394,2325,2138
43 熊本県,スポーツ・レク,1054,1532,1640,1260
43 熊本県,都市型観光,2431,2979,2781,2657
43 熊本県,その他,1335,1768,1494,1488
43 熊本県,イベント,1183,1064,1721,1100
44 大分県,自然,369,649,1634,509
44 大分県,歴史・文化,2477,2323,2542,3371
44 大分県,温泉・健康,2238,2389,2398,2143
44 大分県,スポーツ・レク,1422,1836,2206,1612
44 大分県,都市型観光,159,192,223,183
44 大分県,その他,1427,1967,2163,2111
44 大分県,イベント,2449,1062,1137,1350
45 宮崎県,自然,497,563,416,432
45 宮崎県,歴史・文化,2891,1603,1602,1382
45 宮崎県,温泉・健康,776,582,666,672
45 宮崎県,スポーツ・レク,1236,1322,1649,1152
45 宮崎県,都市型観光,286,270,271,284
45 宮崎県,その他,847,1014,888,806
45 宮崎県,イベント,828,724,1404,1016
46 鹿児島県,自然,399,478,417,558
46 鹿児島県,歴史・文化,2780,1770,1894,1656
46 鹿児島県,温泉・健康,784,675,656,710
46 鹿児島県,スポーツ・レク,1962,2397,2319,1932
46 鹿児島県,都市型観光,1061,1228,1271,1141
46 鹿児島県,その他,686,752,749,681
46 鹿児島県,イベント,1752,797,1258,1121
