都道府県,観光地・イベント入込客数,1,2,3,4
01 北海道,自然,1193,3579,5908,2749
01 北海道,歴史・文化,3344,6667,9176,4400
01 北海道,温泉・健康,3510,3506,5185,3711
01 北海道,スポーツ・レク,4452,4493,7485,3378
01 北海道,都市型観光,4055,5730,7329,5251
01 北海道,その他,2752,5400,7982,3845
01 北海道,イベント,7138,5152,13877,2776
02 青森県,自然,116,864,1649,642
02 青森県,歴史・文化,470,2054,1799,963
02 青森県,温泉・健康,753,771,872,805
02 青森県,スポーツ・レク,672,1160,1644,757
02 青森県,都市型観光,2110,3497,4499,3271
02 青森県,その他,623,1251,1490,1060
02 青森県,イベント,722,3995,9299,856
03 岩手県,自然,604,1226,1706,914
03 岩手県,歴史・文化,575,895,1070,733
03 岩手県,温泉・健康,1294,1374,1447,1390
03 岩手県,スポーツ・レク,880,638,767,539
03 岩手県,都市型観光,471,876,1067,872
03 岩手県,その他,416,822,1057,582
03 岩手県,イベント,799,1593,2887,960
04 宮城県,自然,586,1074,1472,1102
04 宮城県,歴史・文化,3128,2226,2070,1708
04 宮城県,温泉・健康,1176,1215,1231,1231
04 宮城県,スポーツ・レク,846,2044,2087,1426
04 宮城県,都市型観光,1372,1759,2065,1838
04 宮城県,その他,1437,2056,2268,1958
04 宮城県,イベント,630,2729,5295,4511
05 秋田県,自然,123,1111,1690,1029
05 秋田県,歴史・文化,236,953,999,591
05 秋田県,温泉・健康,1062,1192,1360,1187
05 秋田県,スポーツ・レク,728,990,1266,752
05 秋田県,都市型観光,153,341,400,334
05 秋田県,その他,748,1519,1826,1263
05 秋田県,イベント,938,2689,5198,1376
07 福島県,自然,310,1912,1825,1956
07 福島県,歴史・文化,1536,3300,2409,2010
07 福島県,温泉・健康,1467,1490,1587,1584
07 福島県,スポーツ・レク,2257,2216,2831,1740
07 福島県,都市型観光,682,967,1282,930
07 福島県,その他,928,1746,1956,1972
07 福島県,イベント,653,458,3293,795
08 茨城県,自然,1186,1980,1616,2034
08 茨城県,歴史・文化,2357,3231,2640,3384
08 茨城県,温泉・健康,388,362,424,388
08 茨城県,スポーツ・レク,1667,3088,3034,2457
08 茨城県,都市型観光,1693,2019,1944,1895
08 茨城県,その他,307,368,545,477
08 茨城県,イベント,2434,1252,5446,2138
09 栃木県,自然,1096,2007,2178,2507
09 栃木県,歴史・文化,3593,4049,3856,4514
09 栃木県,温泉・健康,1279,1740,1711,1612
09 栃木県,スポーツ・レク,2342,3308,4060,3064
09 栃木県,都市型観光,2537,2849,2804,2550
09 栃木県,その他,3455,4781,4846,4630
09 栃木県,イベント,467,1844,2810,2011
10 群馬県,自然,740,2069,2913,1977
