都道府県,観光地・イベント入込客数,1,2,3,4
09 栃木県,歴史・文化,4170,4695,4100,4958
09 栃木県,温泉・健康,1062,1137,1308,1239
09 栃木県,スポーツ・レク,1881,2826,3370,2922
09 栃木県,都市型観光,1805,1851,2692,2817
09 栃木県,その他,3465,4102,4783,4957
09 栃木県,イベント,661,1760,2913,2028
10 群馬県,自然,796,2066,2702,2037
10 群馬県,歴史・文化,2301,2778,2329,2287
10 群馬県,温泉・健康,3476,3037,3633,3453
10 群馬県,スポーツ・レク,2766,3405,2391,2608
10 群馬県,都市型観光,1019,1240,1278,1237
10 群馬県,その他,967,1584,1792,1677
10 群馬県,イベント,906,1559,5260,2524
11 埼玉県,自然,1257,3658,2752,2116
11 埼玉県,歴史・文化,5554,5077,3819,5409
11 埼玉県,温泉・健康,1405,1295,1386,1349
11 埼玉県,スポーツ・レク,3048,4275,5023,3931
11 埼玉県,都市型観光,16374,16386,17279,16690
11 埼玉県,その他,1293,1549,1305,1424
11 埼玉県,イベント,5854,6242,11278,11056
12 千葉県,自然,1326,871,473,262
12 千葉県,歴史・文化,10664,5629,4907,5343
12 千葉県,温泉・健康,1178,1084,1256,1041
12 千葉県,スポーツ・レク,14971,16090,19033,17406
12 千葉県,都市型観光,5794,5876,5875,5876
12 千葉県,その他,6197,6254,6429,5972
12 千葉県,イベント,4886,5370,11521,5948
13 東京都,自然,554,710,812,1211
13 東京都,歴史・文化,16554,20485,19907,17174
13 東京都,温泉・健康,9132,5705,6782,7185
13 東京都,スポーツ・レク,39396,47703,36139,36039
13 東京都,都市型観光,206661,210022,204235,203444
13 東京都,その他,3943,10311,4903,3920
13 東京都,イベント,8157,12197,18708,18784
14 神奈川県,自然,4850,6733,8741,7085
14 神奈川県,歴史・文化,22544,11449,9126,8548
14 神奈川県,温泉・健康,243,260,329,223
14 神奈川県,スポーツ・レク,7582,10802,10847,9362
14 神奈川県,都市型観光,805,796,866,814
14 神奈川県,その他,5477,7125,8393,10331
14 神奈川県,イベント,3921,9274,11227,3947
15 新潟県,自然,429,1219,1461,1291
15 新潟県,歴史・文化,1858,2694,3006,2455
15 新潟県,温泉・健康,2363,2079,2473,2293
15 新潟県,スポーツ・レク,4732,2102,4498,2128
15 新潟県,都市型観光,2481,4378,5054,4625
15 新潟県,その他,645,1020,1204,916
15 新潟県,イベント,2490,4699,7494,2069
16 富山県,自然,277,986,1168,570
16 富山県,歴史・文化,1008,1696,1798,1629
16 富山県,温泉・健康,524,576,628,597
16 富山県,スポーツ・レク,780,1872,2106,1264
16 富山県,都市型観光,1331,1285,1272,1300
16 富山県,その他,1040,1522,1514,1409
16 富山県,イベント,531,1979,1844,760
18 福井県,自然,555,1330,1427,1353
18 福井県,歴史・文化,1599,2612,2824,2154
18 福井県,温泉・健康,622,594,1059,628
18 福井県,スポーツ・レク,792,1376,1645,835
18 福井県,都市型観光,402,539,571,672
18 福井県,その他,757,1150,1294,1123
18 福井県,イベント,201,1102,1350,479
19 山梨県,自然,1001,2865,3093,1699
19 山梨県,歴史・文化,2059,2169,3135,2055
19 山梨県,温泉・健康,1242,1358,1673,1306
19 山梨県,スポーツ・レク,1660,2706,3122,2410
19 山梨県,都市型観光,686,1133,1430,1077
19 山梨県,その他,857,1645,2100,1448
19 山梨県,イベント,363,905,1613,837
20 長野県,自然,1293,2062,4633,1544
20 長野県,歴史・文化,2990,6274,5563,4694
20 長野県,温泉・健康,2899,3172,4160,3507
20 長野県,スポーツ・レク,4118,1806,2304,1718
20 長野県,都市型観光,2031,2806,3995,2721
20 長野県,その他,702,1206,1536,1239
20 長野県,イベント,1745,3968,3087,1676
21 岐阜県,自然,350,929,1210,808
21 岐阜県,歴史・文化,4840,4350,4005,4508
21 岐阜県,温泉・健康,2422,2091,2370,2232
21 岐阜県,スポーツ・レク,3343,3586,3404,3178
21 岐阜県,都市型観光,2543,2821,3066,3007
21 岐阜県,その他,3026,4487,5222,4323
21 岐阜県,イベント,613,3071,3402,3107
22 静岡県,自然,3376,3483,4025,3477
22 静岡県,歴史・文化,6397,5263,5200,4761
22 静岡県,温泉・健康,1054,979,1176,959
22 静岡県,スポーツ・レク,3953,5396,8100,4625
22 静岡県,都市型観光,5234,5348,5774,5320
22 静岡県,その他,3101,3222,4129,3139
22 静岡県,イベント,4767,6584,7771,5270
23 愛知県,自然,1204,1942,2029,1947
23 愛知県,歴史・文化,13756,8917,7877,7708
23 愛知県,温泉・健康,726,622,690,681
23 愛知県,スポーツ・レク,5551,7892,7828,6450
23 愛知県,都市型観光,7078,6682,7399,6732
23 愛知県,その他,1159,1421,1285,1311
23 愛知県,イベント,4944,8401,12498,8114
24 三重県,自然,233,602,782,533
24 三重県,歴史・文化,7188,3383,3831,4032
24 三重県,温泉・健康,1389,1361,1756,1648
24 三重県,スポーツ・レク,7379,7126,9698,7855
24 三重県,都市型観光,879,833,1113,1193
24 三重県,その他,1062,1118,1468,1330
24 三重県,イベント,225,576,2283,886
25 滋賀県,自然,99,347,327,214
25 滋賀県,歴史・文化,3631,2642,2456,2868
25 滋賀県,温泉・健康,395,344,372,332
25 滋賀県,スポーツ・レク,1651,2584,2921,2305
25 滋賀県,都市型観光,1172,1541,1958,1755
25 滋賀県,その他,2274,3110,3304,3023
25 滋賀県,イベント,537,788,1444,786
26 京都府,自然,94,211,171,167
26 京都府,歴史・文化,17992,16608,13434,15712
26 京都府,温泉・健康,657,679,751,728
26 京都府,スポーツ・レク,1268,2727,2894,2282
26 京都府,都市型観光,251,285,338,300
26 京都府,その他,1279,1106,1337,1202
26 京都府,イベント,82,516,544,724
28 兵庫県,自然,442,864,1078,703
28 兵庫県,歴史・文化,12271,7579,7192,7491
28 兵庫県,温泉・健康,2130,1717,2108,2124
28 兵庫県,スポーツ・レク,6707,8879,9794,8175
28 兵庫県,都市型観光,4488,3088,3233,9605
28 兵庫県,その他,2997,3191,3495,3313
28 兵庫県,イベント,5166,5559,5069,8278
29 奈良県,自然,441,998,789,844
29 奈良県,歴史・文化,6832,8107,5034,6403
29 奈良県,温泉・健康,380,421,537,392
29 奈良県,スポーツ・レク,256,556,492,305
29 奈良県,都市型観光,88,108,85,189
29 奈良県,その他,783,1054,1021,1048
29 奈良県,イベント,3399,936,1487,1086
30 和歌山県,自然,141,206,241,155
30 和歌山県,歴史・文化,2974,1653,1688,1956
30 和歌山県,温泉・健康,197,216,244,212
30 和歌山県,スポーツ・レク,879,1416,2745,1515
30 和歌山県,都市型観光,197,225,257,234
30 和歌山県,その他,339,383,379,417
30 和歌山県,イベント,109,125,957,449
31 鳥取県,自然,266,403,538,343
31 鳥取県,歴史・文化,615,872,952,781
31 鳥取県,温泉・健康,564,498,612,549
31 鳥取県,スポーツ・レク,240,259,385,157
31 鳥取県,都市型観光,1155,1563,1842,1453
31 鳥取県,その他,1139,1499,1831,1481
31 鳥取県,イベント,142,145,796,181
32 島根県,自然,344,705,734,486
32 島根県,歴史・文化,4035,3701,3844,3440
32 島根県,温泉・健康,589,615,638,635
32 島根県,スポーツ・レク,370,341,652,335
32 島根県,都市型観光,401,461,465,491
32 島根県,その他,578,782,831,768
32 島根県,イベント,343,491,968,365
33 岡山県,自然,73,143,205,120
33 岡山県,歴史・文化,1285,1660,1480,1435
33 岡山県,温泉・健康,571,539,673,518
33 岡山県,スポーツ・レク,1192,1697,1717,1336
33 岡山県,都市型観光,957,1256,1431,1361
33 岡山県,その他,915,1192,1291,1144
33 岡山県,イベント,869,1304,2549,2684
34 広島県,自然,276,493,657,665
34 広島県,歴史・文化,3071,3435,3777,3610
34 広島県,温泉・健康,688,629,642,651
34 広島県,スポーツ・レク,1909,2260,2703,2430
34 広島県,都市型観光,851,1054,1335,1110
34 広島県,その他,1270,1649,1894,1818
34 広島県,イベント,1865,5390,4324,3871
35 山口県,自然,589,737,1070,838
35 山口県,歴史・文化,2035,1817,1763,1862
35 山口県,温泉・健康,837,802,919,858
35 山口県,スポーツ・レク,1202,1689,2042,1439
35 山口県,都市型観光,464,473,551,541
35 山口県,その他,1917,2291,2491,2177
35 山口県,イベント,680,1171,2047,1285
36 徳島県,自然,245,483,577,361
36 徳島県,歴史・文化,1519,1120,1309,1174
36 徳島県,温泉・健康,316,298,303,295
36 徳島県,スポーツ・レク,544,779,865,723
36 徳島県,都市型観光,841,1020,1042,1010
36 徳島県,その他,168,217,215,201
36 徳島県,イベント,484,734,2227,1069
37 香川県,自然,266,368,379,428
37 香川県,歴史・文化,2942,2613,1867,2030
37 香川県,温泉・健康,502,461,548,496
37 香川県,スポーツ・レク,1226,2122,2137,1647
37 香川県,都市型観光,745,838,1022,960
37 香川県,その他,1029,1210,1351,1083
37 香川県,イベント,188,418,1221,140
38 愛媛県,自然,255,666,683,478
38 愛媛県,歴史・文化,1246,1656,1496,1416
38 愛媛県,温泉・健康,823,743,809,754
38 愛媛県,スポーツ・レク,457,808,1071,688
38 愛媛県,都市型観光,245,284,339,294
38 愛媛県,その他,1746,2072,2150,2082
38 愛媛県,イベント,58,470,1877,643
39 高知県,自然,183,254,331,218
39 高知県,歴史・文化,441,525,596,462
39 高知県,温泉・健康,132,154,181,158
39 高知県,スポーツ・レク,326,366,401,338
39 高知県,都市型観光,1711,1858,1872,1803
39 高知県,その他,618,752,822,686
39 高知県,イベント,79,333,1546,254
40 福岡県,自然,494,788,771,669
40 福岡県,歴史・文化,11266,6506,6227,6138
40 福岡県,温泉・健康,1219,974,1038,1091
40 福岡県,スポーツ・レク,1985,2723,3678,2510
40 福岡県,都市型観光,28997,28877,31667,30224
40 福岡県,その他,3089,3273,3773,3317
40 福岡県,イベント,2153,2659,4477,2351
41 佐賀県,自然,88,190,224,144
41 佐賀県,歴史・文化,2553,1158,882,1186
41 佐賀県,温泉・健康,559,465,452,448
41 佐賀県,スポーツ・レク,389,536,589,592
41 佐賀県,都市型観光,2591,2629,2646,2859
41 佐賀県,その他,254,287,203,262
41 佐賀県,イベント,422,1427,1136,2990
43 熊本県,自然,445,303,525,329
43 熊本県,歴史・文化,2561,1090,1594,1934
43 熊本県,温泉・健康,2217,1479,1238,1347
43 熊本県,スポーツ・レク,1261,815,1368,1046
43 熊本県,都市型観光,3023,2504,3004,2984
43 熊本県,その他,1922,1587,2000,1881
43 熊本県,イベント,1734,424,1559,1355
44 大分県,自然,295,383,630,755
44 大分県,歴史・文化,3336,1625,2581,2792
44 大分県,温泉・健康,2199,1028,2309,2200
44 大分県,スポーツ・レク,1502,1273,2105,1601
44 大分県,都市型観光,221,211,293,305
44 大分県,その他,1737,1636,2078,2065
44 大分県,イベント,450,787,1309,1124
45 宮崎県,自然,431,395,439,578
45 宮崎県,歴史・文化,2817,1456,1591,1488
45 宮崎県,温泉・健康,823,589,640,637
45 宮崎県,スポーツ・レク,1203,1248,1875,1199
45 宮崎県,都市型観光,274,349,294,298
45 宮崎県,その他,1062,1084,1096,1100
45 宮崎県,イベント,279,448,828,804
46 鹿児島県,自然,336,403,413,510
46 鹿児島県,歴史・文化,1868,1344,1832,1639
46 鹿児島県,温泉・健康,823,667,677,584
46 鹿児島県,スポーツ・レク,1840,2335,2354,2028
46 鹿児島県,都市型観光,909,1063,1126,1093
46 鹿児島県,その他,582,536,662,650
46 鹿児島県,イベント,1386,662,1313,1067
