都道府県,観光地・イベント入込客数,1,2,3,4
01 北海道,自然,1742,3820,6683,3130
01 北海道,歴史・文化,4031,7608,9653,5763
01 北海道,温泉・健康,3798,3585,5031,3469
01 北海道,スポーツ・レク,5397,4934,7357,3962
01 北海道,都市型観光,4142,6516,7981,5346
01 北海道,その他,4398,7311,10983,5127
01 北海道,イベント,7517,5336,14156,2838
02 青森県,自然,153,886,1465,633
02 青森県,歴史・文化,526,1974,1850,983
02 青森県,温泉・健康,743,782,871,769
02 青森県,スポーツ・レク,611,1272,1461,627
02 青森県,都市型観光,2257,3583,4491,3295
02 青森県,その他,667,1332,1639,1131
02 青森県,イベント,872,4053,9923,876
03 岩手県,自然,476,1264,1518,868
03 岩手県,歴史・文化,637,937,1052,697
03 岩手県,温泉・健康,1333,1300,1426,1353
03 岩手県,スポーツ・レク,741,599,656,446
03 岩手県,都市型観光,480,798,952,677
03 岩手県,その他,430,890,1109,656
03 岩手県,イベント,719,1527,2997,1046
04 宮城県,自然,530,995,1349,1089
04 宮城県,歴史・文化,3421,2753,2532,2055
04 宮城県,温泉・健康,1390,1391,1423,1663
04 宮城県,スポーツ・レク,922,1899,1919,1385
04 宮城県,都市型観光,1679,2089,2142,1933
04 宮城県,その他,1608,2065,2238,2099
04 宮城県,イベント,775,2860,5789,4500
05 秋田県,自然,135,945,1314,900
05 秋田県,歴史・文化,293,944,935,584
05 秋田県,温泉・健康,964,1065,1192,1065
05 秋田県,スポーツ・レク,658,1098,1480,732
05 秋田県,都市型観光,212,396,459,339
05 秋田県,その他,1074,1975,2377,1711
05 秋田県,イベント,839,2915,5304,1368
06 山形県,自然,307,1199,1180,533
06 山形県,歴史・文化,1333,2454,2645,1801
06 山形県,温泉・健康,1998,1984,2491,2117
06 山形県,スポーツ・レク,1071,1334,1519,664
06 山形県,都市型観光,716,1043,1130,955
06 山形県,その他,1442,3087,3444,2420
06 山形県,イベント,1016,948,1250,648
07 福島県,自然,389,2177,1841,1866
07 福島県,歴史・文化,1559,3278,2646,2050
07 福島県,温泉・健康,1501,1517,1645,1547
07 福島県,スポーツ・レク,2307,2409,3443,1863
07 福島県,都市型観光,740,986,1229,965
07 福島県,その他,1873,3502,3815,2999
07 福島県,イベント,735,652,3779,869
08 茨城県,自然,1162,2368,1543,2220
08 茨城県,歴史・文化,2544,3020,2023,2821
08 茨城県,温泉・健康,527,479,499,477
08 茨城県,スポーツ・レク,2160,2858,3079,2561
08 茨城県,都市型観光,1875,2191,2024,2085
08 茨城県,その他,1962,2293,2370,2262
08 茨城県,イベント,3614,1995,5758,2506
09 栃木県,自然,1265,2098,2036,1954
09 栃木県,歴史・文化,4515,5770,4793,5631
09 栃木県,温泉・健康,1308,1352,2006,1874
09 栃木県,スポーツ・レク,2770,3773,4825,3199
09 栃木県,都市型観光,2856,3186,3022,2834
09 栃木県,その他,4098,5056,4087,3881
09 栃木県,イベント,702,1797,2130,1377
10 群馬県,自然,819,1969,2574,1847
10 群馬県,歴史・文化,2178,2648,2353,2229
10 群馬県,温泉・健康,3584,3155,3787,3425
10 群馬県,スポーツ・レク,2991,3427,2562,2470
10 群馬県,都市型観光,1121,1344,1495,1381
10 群馬県,その他,994,1651,1877,1783
10 群馬県,イベント,1213,1594,5185,2283
11 埼玉県,自然,1626,4158,2842,2150
