都道府県,種類,1,2,3,4
01 北海道,①,7739,13193,18214,7038
01 北海道,②,122606,111141,136739,115165
02 青森県,①,1982,3617,3385,2829
02 青森県,②,50930,52951,47735,52123
03 岩手県,①,1971,1722,2675,1555
03 岩手県,②,46961,62266,57520,60615
04 宮城県,①,5080,6388,6624,4541
04 宮城県,②,50113,56449,61213,54541
05 秋田県,①,1754,2370,3440,2415
05 秋田県,②,77452,86931,80738,94672
06 山形県,②,48542,62474,58377,54979
06 山形県,①,3574,5206,5434,3404
07 福島県,①,3360,4562,6049,3252
07 福島県,②,45524,63620,73242,55616
08 茨城県,①,5544,7454,6376,8451
08 茨城県,②,46838,45515,44863,38678
09 栃木県,①,8807,10033,11301,10118
09 栃木県,②,53078,59492,51673,48636
10 群馬県,①,3882,7522,7842,6428
10 群馬県,②,42062,42149,43818,51564
11 埼玉県,②,51924,30704,38665,31107
11 埼玉県,①,24557,22658,23783,20610
12 千葉県,①,22861,14817,21984,19063
12 千葉県,②,64030,60601,82845,83102
13 東京都,①,112813,113840,117166,111020
13 東京都,②,87942,91393,92349,91360
14 神奈川県,①,30619,22703,22441,18061
14 神奈川県,②,59832,57224,60749,73119
15 新潟県,①,6353,8704,10152,6926
15 新潟県,②,31800,60623,67133,63573
16 富山県,②,42972,51775,48607,50033
16 富山県,①,1647,2308,3178,2863
17 石川県,①,3160,3565,4854,3369
17 石川県,②,63458,68111,67991,79307
19 山梨県,①,4758,6400,9492,5821
19 山梨県,②,37759,39185,44773,44763
20 長野県,①,6195,6479,9881,7980
20 長野県,②,67383,62649,96229,70766
21 岐阜県,①,7365,9146,8622,8850
21 岐阜県,②,56401,62192,47161,57004
22 静岡県,①,9054,16845,18083,14463
22 静岡県,②,37494,32456,34387,35099
23 愛知県,②,56272,36208,52394,47711
23 愛知県,①,29764,19995,20435,20195
24 三重県,①,6595,6853,6737,7027
24 三重県,②,67021,61736,53871,47957
25 滋賀県,①,3684,4033,5107,3206
25 滋賀県,②,41068,50337,59217,37954
26 京都府,①,16390,16296,11044,10947
26 京都府,②,64198,47625,40274,63715
28 兵庫県,①,17338,19711,21354,14492
28 兵庫県,②,70778,65163,84230,90628
29 奈良県,②,41973,43185,57241,59309
29 奈良県,①,6833,4561,3920,4229
30 和歌山県,①,3144,2205,2325,1843
30 和歌山県,②,51372,55758,60507,63324
31 鳥取県,①,1863,2104,1813,2059
31 鳥取県,②,70117,58094,53205,45614
32 島根県,①,2976,2356,2724,2539
32 島根県,②,54509,47958,42878,48685
33 岡山県,①,1568,2703,2953,3133
33 岡山県,②,45529,56930,58770,66722
34 広島県,②,40013,37067,51631,41597
34 広島県,①,4248,4678,4744,4630
35 山口県,②,44769,54536,58780,84894
35 山口県,①,3586,4021,4180,3490
36 徳島県,①,2512,2660,2461,2209
36 徳島県,②,48076,48705,37112,36068
37 香川県,①,4026,3535,4136,3557
37 香川県,②,50563,49782,50774,63389
38 愛媛県,①,2634,3501,3792,3061
38 愛媛県,②,47980,47236,47385,47753
39 高知県,①,956,1209,1247,1025
39 高知県,②,60071,60259,63509,59352
40 福岡県,②,77564,74060,70632,68301
40 福岡県,①,22261,26243,23507,19642
41 佐賀県,①,4324,3846,4225,3980
41 佐賀県,②,46329,91102,95979,77033
42 長崎県,①,3307,2802,2770,2562
42 長崎県,②,46848,76320,91200,96572
43 熊本県,①,6706,4860,5107,4951
43 熊本県,②,69755,86952,83452,81954
44 大分県,①,3433,3791,4604,4592
44 大分県,②,58895,58709,60059,56089
45 宮崎県,①,3492,3074,2749,3001
45 宮崎県,②,52281,51523,50168,61933
46 鹿児島県,①,4014,3561,3473,3237
46 鹿児島県,②,98342,82761,76080,64450
