都道府県,種類,1,2,3,4
01 北海道,①,7882,12769,18062,6680
01 北海道,②,129564,119619,144119,124196
02 青森県,①,2476,2726,3796,3183
02 青森県,②,58524,58867,53719,62976
03 岩手県,①,2007,2205,2644,1964
03 岩手県,②,54455,59598,59582,59650
04 宮城県,①,6250,6586,6221,5375
04 宮城県,②,49511,59761,70038,67578
05 秋田県,②,47464,39452,44147,42802
05 秋田県,①,2567,3930,3148,2576
06 山形県,①,3603,4876,5990,4253
06 山形県,②,57195,73346,56035,57670
07 福島県,①,4366,3962,6336,3782
07 福島県,②,49399,63658,64924,60416
08 茨城県,①,7711,9211,7105,9878
08 茨城県,②,42932,40393,37854,37389
09 栃木県,①,13064,13430,12222,11398
09 栃木県,②,66066,54334,62817,60838
10 群馬県,②,44615,66473,57746,91223
10 群馬県,①,5870,7122,7059,5379
11 埼玉県,①,24984,28636,28846,26429
11 埼玉県,②,41917,41164,41974,41245
12 千葉県,①,34783,29502,33773,22005
12 千葉県,②,66876,54904,68067,62146
13 東京都,①,121577,119594,118708,112492
13 東京都,②,83744,95875,87510,94022
14 神奈川県,②,54189,61290,63060,76211
14 神奈川県,①,34286,18634,19254,18606
15 新潟県,②,57927,58686,45690,49856
15 新潟県,①,6723,7108,8785,6575
16 富山県,①,1776,4003,4554,2957
16 富山県,②,53176,60396,56279,59500
18 福井県,①,1708,3259,3318,2091
18 福井県,②,34349,39091,33993,41036
19 山梨県,①,4842,8632,8731,5830
19 山梨県,②,62395,55048,68539,69750
20 長野県,②,70622,80304,84921,65841
20 長野県,①,8077,8160,10732,6126
21 岐阜県,②,54052,65774,50363,55889
21 岐阜県,①,10457,11640,12068,8147
23 愛知県,①,33692,26683,22441,21598
23 愛知県,②,40322,42333,52501,52581
24 三重県,①,12098,10679,12475,10734
24 三重県,②,52808,53671,59003,60332
25 滋賀県,①,3336,6226,6945,6184
25 滋賀県,②,33623,26858,34294,38441
26 京都府,①,15610,13561,7229,5861
26 京都府,②,57358,80107,95679,141358
29 奈良県,②,47078,56023,58859,57010
29 奈良県,①,5343,6306,5307,4592
30 和歌山県,①,2260,2791,3264,2464
30 和歌山県,②,52798,45643,63222,63608
31 鳥取県,①,1441,2110,1918,1797
31 鳥取県,②,54003,39244,37753,43896
32 島根県,①,2586,2228,2212,2409
32 島根県,②,56982,50236,47402,54844
33 岡山県,②,41343,47586,49665,62561
33 岡山県,①,2548,2989,3315,2722
34 広島県,②,76037,55150,37422,40173
34 広島県,①,3059,4821,3935,4201
35 山口県,①,3794,4227,4316,4096
35 山口県,②,52157,56476,54117,56577
36 徳島県,①,2413,2771,2809,1873
36 徳島県,②,49993,47087,36558,47997
37 香川県,①,3277,2955,3434,3219
37 香川県,②,43130,43858,55092,54708
38 愛媛県,①,2953,3469,3431,3010
38 愛媛県,②,47399,47975,48186,48444
40 福岡県,②,75037,86893,85994,76253
40 福岡県,①,22790,23746,23523,13977
41 佐賀県,①,3612,4281,4160,3690
41 佐賀県,②,60937,62735,63875,53373
43 熊本県,①,6086,7672,7331,6398
43 熊本県,②,71765,60836,48159,49906
44 大分県,①,4009,3629,4403,3140
44 大分県,②,46054,42566,51849,63590
45 宮崎県,①,2910,3474,3155,3132
45 宮崎県,②,51365,51748,54144,50225
