都道府県,種類,1,2,3,4
01 北海道,①,7884,13004,17520,7035
01 北海道,②,125729,116131,143402,119390
02 青森県,①,2247,3154,3665,2813
02 青森県,②,60226,69772,58581,60838
03 岩手県,①,2159,2217,2251,1881
03 岩手県,②,55255,56842,62286,55085
04 宮城県,①,5118,5876,6802,5708
04 宮城県,②,76758,52743,59717,62423
05 秋田県,②,44301,48233,45129,49351
05 秋田県,①,1961,3148,3418,2723
06 山形県,①,3142,4667,6292,3575
06 山形県,②,52435,67001,57657,63817
07 福島県,①,3713,6644,3476,3798
07 福島県,②,59476,62133,59733,60796
08 茨城県,①,7271,8923,8162,10553
08 茨城県,②,42000,55865,42525,39294
09 栃木県,①,10991,11599,11543,12385
09 栃木県,②,57493,58717,68250,56321
10 群馬県,①,5327,7907,6828,6711
10 群馬県,②,41052,41310,40485,44951
11 埼玉県,②,37273,36371,40525,38113
11 埼玉県,①,25036,27952,27477,26858
12 千葉県,①,30378,20802,20701,20894
12 千葉県,②,68408,97741,72365,62214
13 東京都,①,122187,115953,115213,112983
13 東京都,②,85099,95546,88368,91247
14 神奈川県,①,30864,22416,24273,16054
14 神奈川県,②,46514,55843,60309,44417
15 新潟県,①,6868,7757,9521,6771
15 新潟県,②,52348,55056,58161,60277
16 富山県,②,73630,42998,63330,52767
16 富山県,①,2273,3043,4147,4180
18 福井県,①,2600,3451,3006,1565
18 福井県,②,32049,35475,30195,43309
19 山梨県,①,5693,6974,8203,6288
19 山梨県,②,62820,62422,65669,52900
20 長野県,①,6690,7632,11680,7865
20 長野県,②,72822,81671,103042,71313
21 岐阜県,①,9202,11024,11889,11249
21 岐阜県,②,54392,46073,63009,60560
22 静岡県,②,81567,33817,54304,44626
22 静岡県,①,17229,14899,17654,16421
23 愛知県,②,44724,60011,58414,55601
23 愛知県,①,28138,20473,24114,21355
24 三重県,①,10396,9809,11213,10365
24 三重県,②,62113,61789,58293,73532
25 滋賀県,①,6340,3834,4042,3554
25 滋賀県,②,36713,33471,36067,42978
26 京都府,①,14225,17172,9768,9050
26 京都府,②,57634,57312,74457,69668
28 兵庫県,①,14901,14896,17167,17595
28 兵庫県,②,74753,67683,88043,88172
29 奈良県,①,6031,6277,4716,5383
29 奈良県,②,50099,64695,51566,55739
30 和歌山県,②,52736,46267,50473,53575
30 和歌山県,①,2330,2765,3203,3292
31 鳥取県,①,1758,1800,2151,1640
31 鳥取県,②,56703,36819,47639,55740
32 島根県,①,2517,2784,2331,2066
32 島根県,②,67395,57893,50630,51522
33 岡山県,①,3429,3554,3561,3405
33 岡山県,②,59625,53146,42636,47167
34 広島県,①,3439,3688,4323,3501
34 広島県,②,42981,47162,38276,65924
35 山口県,②,44717,47947,58312,57483
35 山口県,①,4593,4051,4558,3893
36 徳島県,①,2107,2184,2866,2514
36 徳島県,②,49672,51127,42486,42826
37 香川県,①,3534,3149,3044,3844
37 香川県,②,54306,48912,54541,62252
38 愛媛県,①,2861,3482,3688,3214
38 愛媛県,②,48628,47551,47848,47973
39 高知県,①,1034,1331,1553,1333
39 高知県,②,65775,60473,57769,58836
40 福岡県,②,59710,112275,101279,84726
40 福岡県,①,27732,24267,22592,18177
41 佐賀県,①,3979,3856,3721,4052
41 佐賀県,②,76208,70057,92258,55743
43 熊本県,①,4680,6102,7097,7853
43 熊本県,②,81367,54012,53409,37177
44 大分県,①,4302,4044,4212,3987
44 大分県,②,55310,44054,51473,46612
45 宮崎県,①,3376,2868,3390,3226
45 宮崎県,②,54970,51033,51456,44527
46 鹿児島県,①,3171,2940,3708,3282
46 鹿児島県,②,58131,72125,62199,61082
