都道府県,種類,1,2,3,4
01 北海道,①,1327,1499,1924,1248
01 北海道,②,60364,52707,49743,50131
02 青森県,①,610,795,1000,699
02 青森県,②,53954,70895,49277,48875
03 岩手県,①,707,939,1057,824
03 岩手県,②,44549,70895,49277,48875
04 宮城県,①,1499,2007,2033,1600
04 宮城県,②,55558,69014,49277,48875
05 秋田県,①,382,535,615,499
05 秋田県,②,58497,52017,48400,50131
06 山形県,②,55259,70895,49277,49326
06 山形県,①,494,603,744,561
07 福島県,①,950,836,1158,1192
07 福島県,②,55259,40568,56798,45281
08 茨城県,①,1026,1547,1540,1404
08 茨城県,②,58497,44298,48400,50131
09 栃木県,①,874,1210,1324,1160
09 栃木県,②,53835,46138,45718,49571
10 群馬県,①,740,1045,1163,1119
10 群馬県,②,53835,46138,45718,49571
11 埼玉県,②,53835,46138,45718,49571
11 埼玉県,①,884,1310,1283,1240
12 千葉県,①,1597,1800,1799,2614
12 千葉県,②,53835,46138,45718,49571
13 東京都,①,11024,14100,14469,11817
13 東京都,②,113758,109430,109376,97590
14 神奈川県,①,2073,2526,2693,2506
14 神奈川県,②,53835,46137,45718,49571
15 新潟県,①,948,1210,1372,1487
15 新潟県,②,55449,42506,44919,49191
16 富山県,②,54683,29763,25367,59309
16 富山県,①,368,531,606,517
17 石川県,①,559,898,803,641
17 石川県,②,54385,56939,43081,64403
19 山梨県,①,396,564,734,587
19 山梨県,②,53835,46138,45718,49571
20 長野県,①,655,1390,1512,1297
20 長野県,②,69409,42932,43081,49191
21 岐阜県,①,485,530,623,648
21 岐阜県,②,49944,42117,43919,45391
22 静岡県,①,2094,2447,2825,2212
22 静岡県,②,49944,42117,42072,35942
23 愛知県,②,49944,42117,42072,45391
23 愛知県,①,2986,3840,3811,3402
24 三重県,①,1513,864,1163,1041
24 三重県,②,49944,42117,42072,45391
25 滋賀県,①,476,726,684,657
25 滋賀県,②,49449,44044,47413,45598
26 京都府,①,1521,2288,1838,1799
26 京都府,②,49449,47141,47413,45598
28 兵庫県,①,1422,1597,1657,1503
28 兵庫県,②,49449,47141,47413,48450
29 奈良県,②,49449,47141,47413,45598
29 奈良県,①,193,255,280,253
30 和歌山県,①,339,479,424,447
30 和歌山県,②,49449,45035,47413,55623
31 鳥取県,①,233,306,443,338
31 鳥取県,②,60829,42409,47379,43388
32 島根県,①,546,473,556,438
32 島根県,②,43488,43093,41773,43388
33 岡山県,①,808,987,999,965
33 岡山県,②,46568,42472,41773,43388
34 広島県,②,46568,42472,48210,27215
34 広島県,①,1250,1422,1510,1268
35 山口県,②,46568,42472,41773,43388
35 山口県,①,411,534,689,589
36 徳島県,①,308,387,442,328
36 徳島県,②,58497,52017,48400,50131
37 香川県,①,355,432,543,426
37 香川県,②,58497,52017,48400,50131
38 愛媛県,①,415,392,446,369
38 愛媛県,②,58497,52017,48400,50131
39 高知県,①,197,366,372,354
39 高知県,②,58497,52017,48400,50131
40 福岡県,②,99090,73999,69452,64553
40 福岡県,①,2179,1661,1989,2493
41 佐賀県,①,406,577,533,582
41 佐賀県,②,99090,73999,55636,64553
42 長崎県,①,619,643,576,664
42 長崎県,②,108959,68261,69449,64549
43 熊本県,①,764,975,1153,829
43 熊本県,②,95773,73999,69452,64553
44 大分県,①,491,547,475,586
44 大分県,②,99090,73999,69452,64553
45 宮崎県,①,471,402,566,585
45 宮崎県,②,66164,73999,69452,64553
46 鹿児島県,①,813,823,933,953
46 鹿児島県,②,88307,52110,69452,64553
