都道府県,種類,1,2,3,4
01 北海道,①,1346,1764,2475,1137
01 北海道,②,53188,52089,55364,56825
02 青森県,①,619,684,827,724
02 青森県,②,50636,53226,53317,62527
03 岩手県,①,548,763,922,775
03 岩手県,②,50636,53226,53317,61946
04 宮城県,①,1260,1302,1020,1488
04 宮城県,②,51499,51268,52956,64978
05 秋田県,②,50752,53226,53317,61946
05 秋田県,①,443,416,572,450
06 山形県,①,446,567,911,606
06 山形県,②,50636,53226,53317,86155
07 福島県,①,1097,1153,569,602
07 福島県,②,51175,53221,60046,61946
08 茨城県,①,1527,1881,1532,1290
08 茨城県,②,45833,52089,52673,55537
09 栃木県,①,1165,1274,1379,1059
09 栃木県,②,50124,49010,49044,51053
10 群馬県,①,1107,1125,1241,955
10 群馬県,②,50124,49010,49044,51053
11 埼玉県,②,50124,49010,49044,51053
11 埼玉県,①,1846,1928,2344,1801
12 千葉県,①,1866,2335,2084,1877
12 千葉県,②,50124,49010,51230,51053
13 東京都,①,11271,12786,13449,10457
13 東京都,②,92204,101981,103374,97411
14 神奈川県,①,2837,2878,3165,2608
14 神奈川県,②,50124,50504,49044,51053
15 新潟県,①,783,1106,1318,974
15 新潟県,②,46071,52087,66149,49031
16 富山県,②,53639,52179,54782,50342
16 富山県,①,309,372,388,381
18 福井県,①,469,461,507,468
18 福井県,②,41180,44128,50600,50622
19 山梨県,①,548,580,764,481
19 山梨県,②,50124,49010,48179,51053
20 長野県,①,910,1098,1320,1083
20 長野県,②,51472,52179,54782,50342
21 岐阜県,①,608,686,641,628
21 岐阜県,②,41180,44128,50600,50622
22 静岡県,②,41180,42773,50600,50622
22 静岡県,①,2800,2976,2749,2506
23 愛知県,②,26381,41469,31848,35370
23 愛知県,①,3210,3591,2745,3628
24 三重県,①,1380,1339,1415,1439
24 三重県,②,41180,44128,50600,50622
25 滋賀県,①,504,596,564,590
25 滋賀県,②,47086,48177,50538,52860
26 京都府,①,932,997,1146,1130
26 京都府,②,44669,48177,50538,52860
28 兵庫県,①,1386,1455,1476,1566
28 兵庫県,②,47086,48177,50538,52860
29 奈良県,①,167,212,220,227
29 奈良県,②,47086,49000,50558,52565
30 和歌山県,②,47083,48174,50536,52859
30 和歌山県,①,324,340,358,370
31 鳥取県,①,255,350,363,299
31 鳥取県,②,57277,56722,55364,86814
32 島根県,①,402,489,509,501
32 島根県,②,49825,70329,46574,85566
33 岡山県,①,719,914,793,834
33 岡山県,②,69930,48322,54071,50791
34 広島県,①,1165,1344,1540,1385
34 広島県,②,49825,70329,82563,55317
35 山口県,②,49825,70329,82563,53666
35 山口県,①,543,320,448,400
36 徳島県,①,198,220,295,321
36 徳島県,②,49073,52089,54219,57986
37 香川県,①,460,495,534,570
37 香川県,②,49073,52089,54219,57986
38 愛媛県,①,390,2636,434,390
38 愛媛県,②,49903,52089,54219,57986
39 高知県,①,308,340,347,312
39 高知県,②,49073,52089,54219,52263
40 福岡県,②,51189,56086,59189,57870
40 福岡県,①,2242,2406,3099,2670
41 佐賀県,①,542,671,571,504
41 佐賀県,②,51189,56086,59189,56698
43 熊本県,①,775,743,887,863
43 熊本県,②,51189,56086,59189,57870
44 大分県,①,616,535,609,561
44 大分県,②,38180,34612,39766,42407
45 宮崎県,①,542,543,612,558
45 宮崎県,②,51189,56086,59189,57870
46 鹿児島県,①,889,819,847,746
46 鹿児島県,②,105244,81807,75204,49481
