都道府県,種類,1,2,3,4
01 北海道,①,1542,2139,2415,1699
01 北海道,②,56427,57296,51957,52777
02 青森県,①,572,796,784,629
02 青森県,②,79207,62668,65253,70090
03 岩手県,①,773,899,1067,783
03 岩手県,②,55954,63079,55675,56493
04 宮城県,①,1289,1495,1692,1141
04 宮城県,②,55954,63080,55675,56493
05 秋田県,②,55954,63079,55675,55013
05 秋田県,①,380,541,646,322
06 山形県,①,533,693,844,540
06 山形県,②,55954,63079,55675,58402
07 福島県,①,1152,1180,1280,917
07 福島県,②,55954,63080,53484,52793
08 茨城県,①,1330,1395,1364,1330
08 茨城県,②,54950,56118,48611,52777
09 栃木県,①,1104,1184,1242,1579
09 栃木県,②,47991,47989,46958,46975
10 群馬県,②,47991,49154,46956,46974
10 群馬県,①,931,950,1052,1321
11 埼玉県,①,2240,2421,2463,2687
11 埼玉県,②,47991,49154,46956,45141
12 千葉県,①,1938,2507,2049,2684
12 千葉県,②,47991,49154,46956,46974
13 東京都,①,12163,13489,14039,11240
13 東京都,②,91687,103742,103193,101700
14 神奈川県,②,47991,49154,46956,46974
14 神奈川県,①,2490,2689,2764,3580
15 新潟県,②,56427,56118,51957,52777
15 新潟県,①,942,976,1024,1044
16 富山県,①,708,549,718,802
16 富山県,②,37003,33035,56614,14117
18 福井県,①,395,391,484,395
18 福井県,②,50743,50834,50120,49419
19 山梨県,①,408,444,528,634
19 山梨県,②,31091,32334,31408,31478
20 長野県,②,60788,59093,53408,58969
20 長野県,①,978,1121,1293,1109
21 岐阜県,②,50743,50834,50120,49419
21 岐阜県,①,612,554,628,529
23 愛知県,①,2940,2929,3029,3054
23 愛知県,②,33843,27323,32126,34495
24 三重県,①,851,930,967,856
24 三重県,②,50743,50834,50120,49419
25 滋賀県,①,672,661,639,685
25 滋賀県,②,51700,53288,50324,52911
26 京都府,①,8832,1227,1242,1384
26 京都府,②,33148,36468,34778,45527
29 奈良県,②,51327,52400,50500,52752
29 奈良県,①,239,296,271,252
30 和歌山県,①,476,467,504,513
30 和歌山県,②,31325,32561,30725,33258
31 鳥取県,①,308,357,332,343
31 鳥取県,②,89979,56118,51957,52777
32 島根県,①,496,537,521,505
32 島根県,②,89568,80745,54179,50421
33 岡山県,②,43208,66627,49589,65043
33 岡山県,①,929,899,937,900
34 広島県,②,28276,45130,51963,49907
34 広島県,①,1291,1501,1358,1445
35 山口県,①,387,582,622,551
35 山口県,②,50117,36164,53377,50421
36 徳島県,①,256,322,219,335
36 徳島県,②,54569,52764,51957,52777
37 香川県,①,453,498,310,401
37 香川県,②,54569,52764,51957,52777
38 愛媛県,①,409,463,443,462
38 愛媛県,②,54569,52765,51957,52777
40 福岡県,②,61595,57624,54518,56728
40 福岡県,①,2293,2692,2654,2861
41 佐賀県,①,394,559,423,634
41 佐賀県,②,61595,57624,54518,56728
43 熊本県,①,1023,1037,737,702
43 熊本県,②,61595,57624,54518,56728
44 大分県,①,368,514,516,702
44 大分県,②,41969,38170,38958,43585
45 宮崎県,①,496,556,591,699
45 宮崎県,②,61595,57624,54518,56728
